res_state,res_county,res_state_name,res_county_name,work_state,work_county,work_state_name,work_county_name,workers,error
27,001,Minnesota,Aitkin County,027,001,Minnesota,Aitkin County,"4,188",167
27,001,Minnesota,Aitkin County,027,003,Minnesota,Anoka County,54,24
27,001,Minnesota,Aitkin County,027,009,Minnesota,Benton County,5,7
27,001,Minnesota,Aitkin County,027,013,Minnesota,Blue Earth County,1,4
27,001,Minnesota,Aitkin County,027,017,Minnesota,Carlton County,110,26
27,001,Minnesota,Aitkin County,027,019,Minnesota,Carver County,7,7
27,001,Minnesota,Aitkin County,027,021,Minnesota,Cass County,53,27
27,001,Minnesota,Aitkin County,027,023,Minnesota,Chippewa County,1,3
27,001,Minnesota,Aitkin County,027,025,Minnesota,Chisago County,3,5
27,001,Minnesota,Aitkin County,027,035,Minnesota,Crow Wing County,564,86
27,001,Minnesota,Aitkin County,027,037,Minnesota,Dakota County,29,20
27,001,Minnesota,Aitkin County,027,041,Minnesota,Douglas County,3,8
27,001,Minnesota,Aitkin County,027,049,Minnesota,Goodhue County,2,2
27,001,Minnesota,Aitkin County,027,053,Minnesota,Hennepin County,88,26
27,001,Minnesota,Aitkin County,027,057,Minnesota,Hubbard County,1,3
27,001,Minnesota,Aitkin County,027,059,Minnesota,Isanti County,2,2
27,001,Minnesota,Aitkin County,027,061,Minnesota,Itasca County,419,72
27,001,Minnesota,Aitkin County,027,065,Minnesota,Kanabec County,53,33
27,001,Minnesota,Aitkin County,027,075,Minnesota,Lake County,5,5
27,001,Minnesota,Aitkin County,027,085,Minnesota,McLeod County,6,8
27,001,Minnesota,Aitkin County,027,095,Minnesota,Mille Lacs County,310,60
27,001,Minnesota,Aitkin County,027,097,Minnesota,Morrison County,10,8
27,001,Minnesota,Aitkin County,027,109,Minnesota,Olmsted County,3,4
27,001,Minnesota,Aitkin County,027,113,Minnesota,Pennington County,1,2
27,001,Minnesota,Aitkin County,027,115,Minnesota,Pine County,71,19
27,001,Minnesota,Aitkin County,027,123,Minnesota,Ramsey County,55,24
27,001,Minnesota,Aitkin County,027,137,Minnesota,St. Louis County,131,41
27,001,Minnesota,Aitkin County,027,139,Minnesota,Scott County,2,3
27,001,Minnesota,Aitkin County,027,141,Minnesota,Sherburne County,12,11
27,001,Minnesota,Aitkin County,027,143,Minnesota,Sibley County,2,3
27,001,Minnesota,Aitkin County,027,145,Minnesota,Stearns County,7,7
27,001,Minnesota,Aitkin County,027,153,Minnesota,Todd County,11,12
27,001,Minnesota,Aitkin County,027,159,Minnesota,Wadena County,1,2
27,001,Minnesota,Aitkin County,027,163,Minnesota,Washington County,19,13
27,001,Minnesota,Aitkin County,027,171,Minnesota,Wright County,3,5
27,001,Minnesota,Aitkin County,055,031,Wisconsin,Douglas County,1,3
27,001,Minnesota,Aitkin County,055,039,Wisconsin,Fond du Lac County,1,3
27,001,Minnesota,Aitkin County,055,129,Wisconsin,Washburn County,2,2
27,003,Minnesota,Anoka County,027,003,Minnesota,Anoka County,"69,988","1,481"
27,003,Minnesota,Anoka County,027,007,Minnesota,Beltrami County,15,25
27,003,Minnesota,Anoka County,027,009,Minnesota,Benton County,11,14
27,003,Minnesota,Anoka County,027,013,Minnesota,Blue Earth County,58,48
27,003,Minnesota,Anoka County,027,015,Minnesota,Brown County,39,36
27,003,Minnesota,Anoka County,027,017,Minnesota,Carlton County,6,8
27,003,Minnesota,Anoka County,027,019,Minnesota,Carver County,542,171
27,003,Minnesota,Anoka County,027,021,Minnesota,Cass County,23,26
27,003,Minnesota,Anoka County,027,025,Minnesota,Chisago County,"1,100",192
27,003,Minnesota,Anoka County,027,035,Minnesota,Crow Wing County,20,23
27,003,Minnesota,Anoka County,027,037,Minnesota,Dakota County,"2,711",288
27,003,Minnesota,Anoka County,027,041,Minnesota,Douglas County,18,29
27,003,Minnesota,Anoka County,027,049,Minnesota,Goodhue County,41,41
27,003,Minnesota,Anoka County,027,051,Minnesota,Grant County,24,41
27,003,Minnesota,Anoka County,027,053,Minnesota,Hennepin County,"63,008","1,383"
27,003,Minnesota,Anoka County,027,055,Minnesota,Houston County,8,12
27,003,Minnesota,Anoka County,027,059,Minnesota,Isanti County,895,165
27,003,Minnesota,Anoka County,027,061,Minnesota,Itasca County,9,13
27,003,Minnesota,Anoka County,027,063,Minnesota,Jackson County,28,24
27,003,Minnesota,Anoka County,027,065,Minnesota,Kanabec County,15,19
27,003,Minnesota,Anoka County,027,069,Minnesota,Kittson County,3,5
27,003,Minnesota,Anoka County,027,075,Minnesota,Lake County,29,31
27,003,Minnesota,Anoka County,027,079,Minnesota,Le Sueur County,8,13
27,003,Minnesota,Anoka County,027,083,Minnesota,Lyon County,33,30
27,003,Minnesota,Anoka County,027,085,Minnesota,McLeod County,62,39
27,003,Minnesota,Anoka County,027,087,Minnesota,Mahnomen County,40,35
27,003,Minnesota,Anoka County,027,095,Minnesota,Mille Lacs County,207,84
27,003,Minnesota,Anoka County,027,097,Minnesota,Morrison County,30,31
27,003,Minnesota,Anoka County,027,103,Minnesota,Nicollet County,16,25
27,003,Minnesota,Anoka County,027,109,Minnesota,Olmsted County,7,11
27,003,Minnesota,Anoka County,027,111,Minnesota,Otter Tail County,16,22
