coefficient_name,coefficient_name,value,constrain
coef_TEhwyacc10,Accessibility Tot emp 10,0.27692206,F
coef_TETRacc15,Accessibility Trn Retail emp 15,-0.30669352,F
coef_MEhwyacc10,Accessibility MnPass Tot emp 10,0.34878925,F
coef_cars_gt_wrk,cars gt workers,-0.28396352,F
coef_work_in_cbd,workplace in cbd,0.19078540,F
coef_work_in_suburb,workplace in suburb,-0.12421783,F
coef_hhworkers,n workers in hh,0.20671718,F
coef_inc3_mnpass,income 3,0.92166194,F
coef_inc4_mnpass,income 4,1.78579866,F
coef_inc5_mnpass,income 5,2.43660267,F
coef_suburb3,suburb 3,0.089,F
coef_pass_asc,Constant,-9.070,F
