coefficient_name,value,constrain
coef_one,1.0,T
coef_nest_root,1.0,T
coef_nest_AUTO,0.72,T
coef_nest_NONMOTORIZED,0.72,T
coef_nest_TRANSIT,0.72,T
#coef_nest_WALKACCESS,0.5,T
#coef_nest_PNRACCESS,0.5,T
#coef_nest_KNRACCESS,0.5,T
coef_nest_SCHOOL_BUS,0.72,T
coef_nest_RIDEHAIL,0.36,T
coef_ivt_othmaint_social,-0.02,F
coef_ivt_work,-0.02,F
coef_ivt_univ_school,-0.03,F
coef_ivt_escort_shopping_eatout_othdiscr_atwork,-0.03,F
coef_age1619_da,0.0,F
coef_age010_trn,0.0,F
coef_age16p_sr,0.0,F
coef_hhsize1_sr,-0.73,F
coef_hhsize2_sr,0.0,F
coef_walktimeshort_atwork,1.35,F
coef_walktimeshort_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_biketimeshort_atwork,2.7,F
coef_biketimeshort_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,4.0,T
coef_dtim_atwork,1.35,F
coef_dtim_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_ivt_pmov_multiplier,1.0,T
coef_ivt_stcar_multiplier,0.9,T
coef_ivt_brt_multiplier,0.9,T
coef_ivt_urb_multiplier,0.8,T
coef_ivt_com_multiplier,0.7,T
coef_long_iwait_atwork,0.67,F
coef_long_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,1.0,T
coef_short_iwait_atwork,1.35,F
coef_short_iwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_wacc_atwork,1.35,F
coef_wacc_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_waux_atwork,1.35,F
coef_waux_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_wegr_atwork,1.35,F
coef_wegr_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_xwait_atwork,1.35,F
coef_xwait_work_univ_school_escort_shopping_eatout_othmaint_social_othdiscr,2.0,T
coef_bike_ASC_walk_atwork,-2.958644111703813,F
coef_bike_ASC_walk_eatout,-2.1837387116636786,F
coef_bike_ASC_walk_escort,-1.8793051296161492,F
coef_bike_ASC_walk_othdiscr,-2.1837387116636786,F
coef_bike_ASC_walk_othmaint,-1.8793051296161492,F
coef_bike_ASC_walk_school,-3.0,F
coef_bike_ASC_walk_shopping,-1.8793051296161492,F
coef_bike_ASC_walk_social,-2.1837387116636786,F
coef_bike_ASC_walk_univ,-0.44440603067729506,F
coef_bike_ASC_walk_work,-2.2185191493393144,F
coef_joint_sr2_ASC_walk,0.1870062482012652,F
coef_joint_sr3p_ASC_sr2,5.09805201169892,F
coef_joint_sr3p_ASC_walk,-4.4507300662892995,F
coef_joint_walk_transit_ASC_sr2,-4.296718247276436,F
coef_joint_walk_transit_ASC_sr3p,-2.012618105849057,F
coef_joint_walk_transit_ASC_walk,0.359265433275453,F
coef_joint_walk_transit_ASC_taxi,-6.0,F
coef_joint_walk_transit_ASC_tnc_single,-6.0,F
coef_joint_walk_transit_ASC_tnc_shared,-6.0,F
coef_joint_drive_transit_ASC_taxi,-6.0,F
coef_joint_drive_transit_ASC_tnc_single,-6.0,F
coef_joint_drive_transit_ASC_tnc_shared,-10.0,F
coef_schoolbus_ASC_sr2_atwork,0.0,F
coef_schoolbus_ASC_sr2_eatout,0.0,F
coef_schoolbus_ASC_sr2_escort,0.0,F
coef_schoolbus_ASC_sr2_othdiscr,0.0,F
coef_schoolbus_ASC_sr2_othmaint,0.0,F
coef_schoolbus_ASC_sr2_school,-8.300295658171267,F
coef_schoolbus_ASC_sr2_shopping,0.0,F
coef_schoolbus_ASC_sr2_social,0.0,F
coef_schoolbus_ASC_sr2_univ,0.0,F
coef_schoolbus_ASC_sr2_work,0.0,F
coef_schoolbus_ASC_sr3p_atwork,0.0,F
