"SAMPN","HH_SIZE","HH_SIZE_CAT","HH_INC_CAT","HH_WORKERS","HH_WORKERS_CAT","HH_DRIVERS","HH_DRIVERS_CAT","HH_VEH_CAT","HHEXPFAC","HH_UNO","HH_ZONE_ID","bg_geoid","AREA"
18112062,5,5,3,1,1,2,2,3,52.3991217760297,1,756,270370614012,0
18114244,6,5,1,0,0,2,2,0,803.503857482325,1,1191,270531009001,0
18114304,1,1,4,1,1,1,1,1,99.8578948780212,1,2931,551091202011,0
18114536,2,2,3,0,0,2,2,2,406.861450918795,1,2583,271410305042,0
18114695,4,4,4,2,2,2,2,2,51.0655008411185,1,2651,271711007011,0
18115411,2,2,5,2,2,2,2,2,234.177003599992,1,2666,271711008022,0
18115821,1,1,2,1,1,1,1,2,851.996288815404,1,1927,271230323002,0
18116352,1,1,2,0,0,1,1,1,34.3556362378976,1,1240,270530038001,0
18116453,2,2,3,2,2,2,2,2,34.3556362378976,1,1195,270531007004,0
18116766,1,1,2,1,1,1,1,1,287.741615606712,1,3020,550959611003,0
18117100,1,1,5,1,1,1,1,1,48.5470750551876,1,2042,271230352001,0
18117111,4,4,5,1,1,2,2,2,49.5026560875357,1,1630,270530259064,0
18117117,1,1,3,1,1,1,1,1,48.5470750551876,1,2034,271230358002,0
18117219,1,1,1,0,0,1,1,0,656.730404208275,1,1394,270530228021,0
18118923,2,2,3,2,2,2,2,2,281.424283692195,1,2175,271390803021,0
18119034,1,1,1,0,0,1,1,1,56.5262080234588,1,1626,270530259071,0
18119342,4,4,5,2,2,2,2,3,49.7286783373982,1,2785,271310709013,0
18119982,4,4,5,2,2,2,2,4,149.186026826277,1,1058,270530265102,0
18120420,1,1,2,0,0,1,1,1,48.6773461441671,1,1595,270530240033,0
18120511,5,5,5,2,2,2,2,2,103.961834638183,1,1752,271230407051,0
18121027,1,1,2,1,1,1,1,1,48.5470750551876,1,2034,271230358003,0
18121364,1,1,2,1,1,0,0,1,634.807007605145,1,1954,271230304003,0
18121526,2,2,4,0,0,2,2,2,34.5813863333664,1,1123,270530215021,0
18122356,1,1,999,0,0,1,1,1,42.872697301789,1,1339,270531052041,0
18123057,2,2,4,2,2,1,1,3,944.822731160602,1,1624,270530259032,0
18123180,2,2,3,2,2,2,2,2,34.3556362378976,1,1205,270531028002,0
18123835,2,2,3,2,2,2,2,2,63.1419294740941,1,864,270530267071,0
18124224,5,5,4,2,2,3,3,2,213.961992489777,1,1915,271230322003,0
18124825,2,2,5,2,2,2,2,3,50.4325239152422,1,2869,550939602002,0
18124859,2,2,5,2,2,0,0,3,970.941501103753,1,1138,270530210015,0
18125059,2,2,4,0,0,2,2,3,49.6116954625898,1,547,270370607111,0
18125134,1,1,5,1,1,1,1,1,48.5470750551876,1,1451,270531114002,0
18125984,2,2,999,1,1,2,2,2,59.1092510976592,1,1899,271230301005,0
18126077,2,2,3,2,2,2,2,1,51.2942606690605,1,278,270030514004,0
18126102,2,2,5,1,1,2,2,3,110.540754626106,1,2679,271711002033,0
18126714,3,3,999,3,3,3,3,4,35.8692932532156,1,983,270530262071,0
18126747,1,1,5,1,1,1,1,2,52.0495472999039,1,1443,270531113006,0
18126783,2,2,5,2,2,2,2,2,186.889745028997,1,1728,271230412003,0
18127419,2,2,4,2,2,2,2,2,50.3575220502879,1,607,270370608262,0
18127476,2,2,999,2,2,2,2,2,150.10727465254,1,1458,270530107001,0
18127600,4,4,3,2,2,2,2,3,264.352116081782,1,142,270030501091,0
18127605,2,2,1,1,1,2,2,2,412.884657240683,1,1064,270530265091,0
18127925,2,2,5,0,0,2,2,2,49.6116954625898,1,664,270370608152,0
18128188,2,2,2,1,1,1,1,1,52.4416281945782,1,1508,270531111003,0
18128990,1,1,4,1,1,1,1,1,48.5470750551876,1,1296,270531075002,0
18129401,2,2,3,1,1,2,2,2,253.807486614887,1,548,270370607371,0
18129866,2,2,5,2,2,2,2,2,48.8677293521652,1,1716,271230411041,0
18130385,1,1,2,1,1,1,1,0,48.5470750551876,1,2062,271230430006,0
18130457,4,4,5,2,2,2,2,2,50.3878534371951,1,2969,551091210003,0
18130554,2,2,3,2,2,1,1,2,50.548387178409,1,2248,271390810001,0
18131242,1,1,2,0,0,1,1,1,48.6773461441671,1,885,270530265144,0
18131773,4,4,4,2,2,2,2,2,48.8877530368954,1,882,270530266121,0
18132032,2,2,4,0,0,2,2,3,50.8891835213624,1,2772,271310703003,0
18133990,2,2,3,0,0,2,2,4,52.3991217760297,1,729,270370610011,0
18134412,3,3,4,2,2,2,2,3,426.510057890792,1,2589,271410305022,0
18134758,2,2,4,2,2,2,2,2,639.622352749532,1,1054,270530265051,0
18135206,2,2,1,0,0,1,1,2,60.5597439413799,1,2030,271230335002,0
18135569,1,1,5,1,1,1,1,1,52.6656149823671,1,910,270530271013,0
18135819,3,3,3,3,3,2,2,2,878.382365147919,1,1112,270530268072,0
18137131,5,5,5,2,2,2,2,2,575.381663258428,1,1826,271230427002,0
18137291,2,2,5,2,2,2,2,1,48.5470750551876,1,1255,270531012003,0
18137515,2,2,5,1,1,2,2,2,54.1779997535481,1,1725,271230411071,0
18137717,2,2,999,0,0,2,2,2,50.6368313235684,1,204,270030508101,0
18137783,1,1,2,0,0,1,1,1,61.6392203036342,1,169,270030502362,0
18138144,3,3,4,1,1,2,2,2,49.6116954625898,1,504,270370607311,0
18138240,1,1,3,1,1,1,1,1,304.926529763181,1,248,270030508113,0
18138745,2,2,3,2,2,2,2,2,78.5785181723067,1,278,270030515012,0
18138814,1,1,3,1,1,1,1,2,255.738216354608,1,178,270030502292,0
18139584,8,5,3,2,2,2,2,3,279.834596909611,1,2577,271410304033,0
18140014,2,2,5,2,2,2,2,3,50.5670826378388,1,644,270370609021,0
18140091,1,1,5,0,0,1,1,2,52.0495472999039,1,1210,270531051001,0
18140204,2,2,3,2,2,2,2,2,48.5470750551876,1,1515,270531105003,0
18140591,3,3,2,2,2,2,2,2,102.123137069049,1,2631,271711011003,0
18140776,2,2,5,0,0,2,2,2,585.546835993505,1,1620,270530258022,0
18140897,1,1,3,1,1,1,1,1,986.206066541613,1,2790,271310706013,0
18141130,1,1,4,1,1,1,1,2,49.2867811745596,1,1043,270530265071,0
18141143,1,1,5,1,1,1,1,1,50.7309214156415,1,1727,271230412002,0
18141626,3,3,999,2,2,2,2,3,0,1,2670,271711008021,0
18141984,1,1,3,0,0,1,1,1,50.8439888460717,1,1843,271230416012,0
18142767,2,2,1,0,0,1,1,0,50.1425175485409,1,2042,271230352001,0
18143433,2,2,2,2,2,2,2,0,59.4936587148182,1,1346,270531070003,0
18143483,2,2,5,0,0,1,1,1,34.5559938490715,1,1593,270530240042,0
18144100,2,2,2,0,0,1,1,1,76.7113486970134,1,2375,271630706012,0
18144393,2,2,5,2,2,2,2,2,168.877959331449,1,1134,270530215041,0
18144415,1,1,999,1,1,1,1,1,970.941501103753,1,1135,270530209021,0
18144456,3,3,999,2,2,3,3,3,79.1615257081375,1,2899,551091204004,0
18144664,3,3,2,1,1,1,1,1,664.118647347879,1,275,270030513022,0
18145447,3,3,5,2,2,3,3,2,52.3991217760297,1,677,270370608203,0
18146045,4,4,3,2,2,2,2,2,50.0549099700307,1,1884,271230416021,0
18146244,1,1,1,0,0,1,1,1,48.5470750551876,1,1899,271230301005,0
18146338,3,3,5,2,2,2,2,3,53.3146945071076,1,755,270370614012,0
18146907,1,1,2,0,0,1,1,1,49.752034126993,1,2668,271711008023,0
18147569,2,2,5,0,0,2,2,3,72.5014252896538,1,815,270530269033,0
18149773,1,1,3,0,0,1,1,2,52.3991217760297,1,760,270370611072,0
18150245,4,4,5,2,2,2,2,2,123.158504049144,1,2128,271390803023,0
18151138,2,2,4,0,0,2,2,3,63.2513459820765,1,2575,271410304032,0
18151401,1,1,3,1,1,1,1,1,48.5470750551876,1,2067,271230376013,0
18152122,6,5,4,2,2,2,2,2,602.706429917492,1,528,270370608052,0
18152931,1,1,3,1,1,1,1,3,34.3556362378976,1,1176,270530001025,0
18154286,5,5,5,2,2,3,3,3,85.8965650965089,1,605,270370608251,0
18155285,4,4,5,4,3,4,3,4,726.867366499319,1,2748,270799503001,0
18155706,1,1,5,1,1,1,1,1,48.5470750551876,1,1364,270531098003,0
18155818,2,2,3,1,1,2,2,2,48.7451622251956,1,786,270530271022,0
18156171,2,2,4,2,2,2,2,2,48.5470750551876,1,1898,271230301005,0
18156227,2,2,5,2,2,2,2,2,54.0252580031909,1,2239,271390811002,0
18156794,1,1,1,1,1,1,1,1,778.148495091123,1,1281,270531049002,0
18157405,1,1,3,1,1,1,1,1,48.5470750551876,1,1356,270531067002,0
18157995,2,2,3,2,2,2,2,2,108.818337791824,1,2168,271390803011,0
18158179,1,1,3,0,0,1,1,1,50.8439888460717,1,2111,271230425042,0
18158452,4,4,4,2,2,2,2,2,88.8952526100371,1,946,270530277003,0
18158823,1,1,999,1,1,0,0,0,59.8907896332408,1,1884,271230416021,0
18158899,3,3,5,1,1,2,2,1,50.4496066123089,1,895,270530266132,0
18159471,2,2,5,2,2,2,2,4,50.3700715318588,1,1668,270530260162,0
18160621,4,4,5,1,1,2,2,2,241.339438169773,1,2366,271630705023,0
18160649,2,2,5,0,0,1,1,1,49.0554545177316,1,1504,270530119984,0
18160845,1,1,1,1,1,1,1,0,34.6737205204142,1,1996,271230315001,0
18160935,2,2,5,1,1,2,2,2,50.5670826378388,1,559,270370607131,0
18161703,3,3,3,3,3,2,2,0,34.3556362378976,1,1352,270531070002,0
18162578,2,2,4,0,0,2,2,2,48.8677293521652,1,1732,271230408033,0
18163021,2,2,5,0,0,2,2,2,48.9520731968588,1,2437,271630710182,0
18163445,1,1,2,0,0,1,1,1,424.203586128522,1,2799,270490802005,0
18163456,2,2,3,0,0,2,2,4,49.6116954625898,1,536,270370607501,0
18164704,1,1,999,1,1,1,1,1,915.513231228641,1,2057,271230351002,0
18164942,1,1,3,1,1,1,1,1,34.3556362378976,1,1935,271230335001,0
18165604,2,2,999,2,2,2,2,2,51.3339627157521,1,996,270530266092,0
18165668,5,5,5,1,1,2,2,2,209.982008271135,1,2423,271630710133,0
18165893,1,1,3,1,1,1,1,1,53.9070385990271,1,360,270190911001,0
18165934,2,2,3,2,2,2,2,2,193.856882217461,1,1805,271230424011,0
18166097,2,2,3,2,2,2,2,2,116.018498160954,1,210,270030507113,0
18166389,1,1,1,0,0,0,0,0,35.4846937944614,1,1937,271230326002,0
18166534,1,1,5,0,0,1,1,1,106.279524741835,1,2423,271630710133,0
18167145,1,1,3,1,1,1,1,1,0,1,1597,270530243003,0
18167285,2,2,4,2,2,2,2,3,50.478563340686,1,420,270370601032,0
18167518,1,1,5,1,1,1,1,1,53.4081872488451,1,715,270370610012,0
18168126,2,2,3,1,1,2,2,1,35.0686085370813,1,283,270030514002,0
18168170,1,1,1,0,0,0,0,0,34.3556362378976,1,1333,270531044001,0
18168282,1,1,2,1,1,1,1,1,56.6306488831566,1,2787,271310707003,0
18168344,4,4,4,2,2,2,2,4,612.182761189109,1,3006,550959608001,0
18168906,4,4,3,1,1,2,2,2,79.9299560844696,1,1124,270530209031,0
18169178,2,2,999,2,2,2,2,3,67.5405683568343,1,3017,550959611003,0
18169548,5,5,5,1,1,2,2,2,801.617895021937,1,489,270370607172,0
18169607,2,2,3,2,2,2,2,4,287.509460932318,1,2869,550939602002,0
18169790,2,2,5,0,0,2,2,2,252.45536183212,1,1398,270530229021,0
18169905,5,5,4,4,3,3,3,1,88.5397622071363,1,2110,271230425042,0
18170513,3,3,5,2,2,2,2,2,797.886835746014,1,2438,271630710182,0
18170731,2,2,5,2,2,2,2,2,234.098033214868,1,2678,271711001005,0
18170914,2,2,2,1,1,2,2,3,78.3959726994053,1,1629,270530259063,0
18171274,1,1,2,0,0,1,1,1,930.145859638782,1,1038,270530264041,0
18171375,3,3,999,1,1,2,2,2,70.0019820678234,1,1746,271230407031,0
18172197,1,1,999,1,1,1,1,1,54.1610162548799,1,2548,270591303012,0
18172239,2,2,5,0,0,2,2,2,256.472541053831,1,2609,271711004003,0
18173226,3,3,1,1,1,1,1,0,52.2454410142114,1,2027,271230340001,0
18174168,2,2,4,0,0,2,2,2,50.1773992725392,1,1608,270530257014,0
18174175,2,2,3,1,1,2,2,2,53.1132818492726,1,713,270370609051,0
18174534,2,2,4,0,0,2,2,2,107.81275913181,1,2972,551091210001,0
18175233,1,1,1,0,0,1,1,1,49.6116954625898,1,413,270370606062,0
18175716,2,2,2,2,2,2,2,2,51.0655008411185,1,2587,271410305022,0
18175881,2,2,5,2,2,2,2,1,34.3556362378976,1,1337,270531052011,0
18176428,5,5,5,2,2,2,2,2,985.979292187037,1,2983,550959606001,0
18176754,1,1,2,1,1,1,1,1,48.5470750551876,1,1209,270531051001,0
18177061,2,2,999,0,0,2,2,1,50.8439888460717,1,1803,271230426021,0
18177229,4,4,4,1,1,2,2,2,953.73381102193,1,1143,270530210021,0
18178001,4,4,5,2,2,2,2,2,48.8677293521652,1,1868,271230413022,0
18178252,3,3,5,1,1,2,2,4,285.608006180261,1,2495,270251104013,0
18178955,3,3,5,2,2,2,2,1,52.4416281945782,1,1518,270530119981,0
18179144,6,5,5,2,2,2,2,4,49.6116954625898,1,644,270370608212,0
18179291,1,1,2,1,1,1,1,1,53.257323940858,1,1868,271230413022,0
18179450,3,3,5,2,2,0,0,3,533.418595859217,1,629,270370610091,0
18179850,2,2,5,2,2,2,2,3,50.3700715318588,1,864,270530267071,0
18180194,1,1,2,1,1,1,1,1,49.3965163841756,1,1165,270530214003,0
18180247,2,2,4,2,2,2,2,2,48.5470750551876,1,1251,270530011002,0
18180629,1,1,4,1,1,1,1,1,48.5470750551876,1,1453,270531108002,0
18180901,5,5,3,1,1,2,2,2,113.141253193815,1,2804,270490803002,0
18181611,2,2,5,2,2,2,2,2,48.5470750551876,1,1319,270531261001,0
18181743,2,2,3,2,2,2,2,2,1024.24976513999,1,2359,271630704042,0
18181752,1,1,2,1,1,1,1,0,48.5470750551876,1,1479,270530095003,0
