"PERNO","SAMPN","PER_WEIGHT","AGE_CAT","PER_GENDER","PER_EMPLY_LOC_TYPE","EMPLY","STUDE","SCHOL","PER_WFH","PER_SCHL_ZONE_ID","PER_WK_ZONE_ID","WXCORD","PEREXPFAC"
1,18112062,52.3991217760297,7,1,1,1,0,-9,0,0,2812,-92.91716,52.3991217760297
2,18112062,52.3991217760297,7,2,0,3,0,-9,0,0,0,0,52.3991217760297
3,18112062,52.3991217760297,2,2,0,3,1,3,0,765,0,0,52.3991217760297
4,18112062,52.3991217760297,1,2,0,3,1,2,0,769,0,0,52.3991217760297
5,18112062,52.3991217760297,1,2,0,3,1,2,0,769,0,0,52.3991217760297
1,18114244,803.503857482325,6,1,0,3,0,-9,0,0,0,0,803.503857482325
2,18114244,803.503857482325,6,2,0,3,1,6,0,2027,0,0,803.503857482325
3,18114244,803.503857482325,3,2,0,3,1,4,0,1205,0,0,803.503857482325
4,18114244,803.503857482325,2,2,0,3,1,4,0,1205,0,0,803.503857482325
5,18114244,803.503857482325,2,1,0,3,1,3,0,0,0,0,803.503857482325
6,18114244,803.503857482325,2,2,0,3,1,3,0,0,0,0,803.503857482325
1,18114304,99.8578948780212,9,2,1,2,0,-9,0,0,2931,-92.73244,99.8578948780212
1,18114536,406.861450918795,9,2,0,3,0,-9,0,0,0,0,406.861450918795
2,18114536,406.861450918795,8,1,0,3,0,-9,0,0,0,0,406.861450918795
1,18114695,51.0655008411185,5,1,1,2,0,-9,0,0,2610,-94.11346,51.0655008411185
2,18114695,51.0655008411185,5,2,1,1,1,7,0,0,2653,-93.86882,51.0655008411185
3,18114695,51.0655008411185,1,2,0,3,1,1,0,0,0,0,51.0655008411185
4,18114695,51.0655008411185,1,1,0,3,1,1,0,0,0,0,51.0655008411185
1,18115411,234.177003599992,5,2,1,1,0,-9,0,0,1326,-93.26958,234.177003599992
2,18115411,234.177003599992,5,1,1,1,0,-9,0,0,1317,-93.26132,234.177003599992
1,18115821,851.996288815404,8,2,1,1,0,-9,0,0,118,-93.23249,851.996288815404
1,18116352,34.3556362378976,5,2,0,3,1,8,0,1298,0,0,34.3556362378976
1,18116453,34.3556362378976,5,2,1,1,0,-9,0,0,71,-93.39097,34.3556362378976
2,18116453,34.3556362378976,5,2,1,1,0,-9,0,0,1280,-93.22773,34.3556362378976
1,18116766,287.741615606712,8,1,1,1,0,-9,0,0,2967,-92.37433,287.741615606712
1,18117100,48.5470750551876,6,1,1,1,0,-9,0,0,1988,-92.99436,48.5470750551876
1,18117111,49.5026560875357,6,2,1,1,0,-9,0,0,2484,-92.91355,49.5026560875357
2,18117111,49.5026560875357,5,1,0,3,0,-9,0,0,0,0,49.5026560875357
3,18117111,49.5026560875357,2,2,0,3,1,3,0,1607,0,0,49.5026560875357
4,18117111,49.5026560875357,2,1,0,3,1,2,0,1608,0,0,49.5026560875357
1,18117117,48.5470750551876,5,2,3,1,0,-9,0,0,2034,-93.1192,48.5470750551876
1,18117219,656.730404208275,9,1,0,3,0,-9,0,0,0,0,656.730404208275
1,18118923,281.424283692195,6,1,1,2,0,-9,0,0,2128,-93.50398,281.424283692195
2,18118923,281.424283692195,7,2,3,1,0,-9,0,0,1521,-93.21141,281.424283692195
1,18119034,56.5262080234588,8,1,0,3,0,-9,0,0,0,0,56.5262080234588
1,18119342,49.7286783373982,6,2,3,1,0,-9,0,0,475,-93.15303,49.7286783373982
2,18119342,49.7286783373982,6,1,1,1,0,-9,0,0,0,-93.23329,49.7286783373982
3,18119342,49.7286783373982,2,2,0,3,1,2,0,0,0,0,49.7286783373982
4,18119342,49.7286783373982,1,1,0,3,1,2,0,0,0,0,49.7286783373982
1,18119982,149.186026826277,7,1,3,1,0,-9,0,0,1022,-93.40327,149.186026826277
2,18119982,149.186026826277,7,2,3,1,0,-9,0,0,1168,-93.34587,149.186026826277
3,18119982,149.186026826277,2,2,0,3,1,4,0,1052,0,0,149.186026826277
