HH_ID,NUM_PERS,AREA
18114244,6,0
18114304,1,0
18114536,2,0
18114695,4,0
18115411,2,0
18116352,1,0
18116453,2,0
18116766,1,0
18117100,1,0
18117117,1,0
18118923,2,0
18119034,1,0
18119342,4,0
18119982,4,0
18121027,1,0
18121526,2,0
18123057,2,0
18123835,2,0
18124224,5,0
18124825,2,0
18124859,2,0
18125059,2,0
18125134,1,0
18126077,2,0
18126747,1,0
18126783,2,0
18127476,2,0
18127925,2,0
18128188,2,0
18128990,1,0
18129866,2,0
18130385,1,0
18130457,4,0
18131773,4,0
18134412,3,0
18134758,2,0
18135206,2,0
18135569,1,0
18137131,5,0
18137515,2,0
18138240,1,0
18138814,1,0
18139584,8,0
18140014,2,0
18140091,1,0
18140204,2,0
18140591,3,0
18140776,2,0
18140897,1,0
18141130,1,0
18141143,1,0
18143433,2,0
18144393,2,0
18144415,1,0
18144664,3,0
18146045,4,0
18146244,1,0
18149773,1,0
18150245,4,0
18151138,2,0
18151401,1,0
18152931,1,0
18155706,1,0
18156171,2,0
18156227,2,0
18156794,1,0
18157405,1,0
18157995,2,0
18158452,4,0
18158899,3,0
18159471,2,0
18160621,4,0
18160845,1,0
18160935,2,0
18162578,2,0
18164704,1,0
18164942,1,0
18165668,5,0
18165893,1,0
18165934,2,0
18166097,2,0
18167518,1,0
18168170,1,0
18168282,1,0
18168344,4,0
18168906,4,0
18169178,2,0
18169548,5,0
18169607,2,0
18169790,2,0
18170914,2,0
18171274,1,0
18171375,3,0
18172197,1,0
18172239,2,0
18173226,3,0
18174175,2,0
18174534,2,0
18175233,1,0
18175716,2,0
18175881,2,0
18176428,5,0
18176754,1,0
18177229,4,0
18178001,4,0
18178955,3,0
18179144,6,0
18179291,1,0
18179850,2,0
18180194,1,0
18180247,2,0
18180629,1,0
18181611,2,0
18181752,1,0
18182034,2,0
18182903,2,0
18183444,1,0
18184762,2,0
18185311,5,0
18185593,1,0
18186265,1,0
18189866,1,0
18190041,3,0
18190952,2,0
18192291,5,0
18193171,2,0
18194277,3,0
18195895,4,0
18197061,2,0
18197280,5,0
18200308,2,0
18200780,1,0
18201175,3,0
18201590,2,0
18203370,1,0
18203582,3,0
18204606,1,0
18206654,2,0
18207042,2,0
18207053,2,0
18207280,1,0
18207461,1,0
18207609,1,0
18207630,1,0
18207893,1,0
18209603,2,0
18209859,3,0
18210010,3,0
18210566,1,0
18210710,2,0
18211130,1,0
18211222,1,0
18211763,4,0
18211954,2,0
18212077,2,0
18212487,2,0
18212843,1,0
18212949,2,0
18213158,1,0
18213464,1,0
18213555,1,0
18213722,1,0
18215306,2,0
18216217,2,0
18216460,1,0
18216463,2,0
18216616,1,0
18216986,2,0
18218520,3,0
18219124,1,0
18219539,2,0
18220868,1,0
18221586,1,0
18222161,2,0
18224097,2,0
18224843,3,0
18224900,2,0
18225873,5,0
18226695,1,0
18226851,4,0
18227720,1,0
18228621,1,0
18228680,2,0
18229660,2,0
18231034,1,0
18231904,1,0
18232400,1,0
18233579,2,0
18233918,4,0
18234602,2,0
18235424,4,0
18235553,4,0
18237373,2,0
18239157,2,0
18239632,1,0
18240028,2,0
18240637,1,0
18241142,2,0
18241905,1,0
18241933,1,0
18242421,2,0
18244213,4,0
18244840,2,0
18244949,2,0
18245996,1,0
18246412,4,0
18246645,1,0
18246996,1,0
18247288,2,0
18247350,1,0
18247595,1,0
18248717,8,0
18248785,2,0
18249264,2,0
18250169,2,0
18250325,1,0
18250903,1,0
18251273,4,0
18252407,1,0
18253006,1,0
18253512,2,0
18254598,1,0
18254778,2,0
18254988,2,0
18255728,1,0
18256432,1,0
18256582,3,0
18256734,1,0
18256963,1,0
18257189,3,0
18257598,1,0
18258585,3,0
18259999,2,0
18261254,1,0
18262688,1,0
18262793,1,0
18263294,2,0
18263603,4,0
18266953,2,0
18267174,2,0
18268555,1,0
18269076,1,0
18269189,1,0
18269385,1,0
18269599,1,0
18270971,2,0
18271856,2,0
18272412,1,0
18272730,2,0
18273055,2,0
18273463,2,0
18274409,4,0
18276124,1,0
18276163,2,0
18277060,1,0
18277425,1,0
18278073,2,0
18278721,1,0
18280746,2,0
18280822,3,0
18280880,1,0
18281283,1,0
18281431,2,0
18282111,2,0
18282339,4,0
18282696,4,0
18284280,2,0
18284388,1,0
18284860,2,0
18284900,1,0
18286966,2,0
18287193,2,0
18288544,2,0
18290006,1,0
18290416,1,0
18290659,3,0
18291483,2,0
18294540,2,0
18295275,1,0
18295472,2,0
18295666,2,0
18298179,4,0
18298958,5,0
18299035,2,0
18299862,4,0
18300681,2,0
18300856,3,0
18301067,1,0
18302059,4,0
18302245,2,0
18303335,5,0
18303444,5,0
18303618,5,0
18303803,5,0
18303822,2,0
18305539,2,0
18305960,1,0
18306387,1,0
18306522,1,0
18306590,2,0
18307052,1,0
18307912,7,0
18308169,2,0
18310668,2,0
18310688,1,0
18310716,2,0
18310954,5,0
18311054,1,0
18312813,4,0
18312819,1,0
18313540,1,0
18315467,2,0
18316132,1,0
18316421,1,0
18316496,2,0
18316563,2,0
18316703,4,0
18316969,2,0
18318588,2,0
18318924,2,0
18319179,2,0
18320050,1,0
18321624,3,0
18322087,2,0
18322389,1,0
18322739,3,0
18322942,2,0
18324267,3,0
18324573,5,0
18325842,1,0
18325959,1,0
18326762,1,0
18326767,2,0
18328245,3,0
18328407,1,0
18328788,2,0
18329189,2,0
18329354,4,0
18329380,3,0
18330502,2,0
18330608,1,0
18330657,1,0
18330857,2,0
18331645,2,0
18331823,2,0
18331913,7,0
18332156,1,0
18333177,2,0
18333757,1,0
18334947,1,0
18335388,3,0
18336140,1,0
18337984,2,0
18340724,3,0
18341489,3,0
18342577,1,0
18342987,1,0
18345863,1,0
18346260,2,0
18347020,1,0
18349430,3,0
18349651,2,0
18349658,5,0
18350106,1,0
18350395,3,0
18350577,2,0
18351402,2,0
18352281,1,0
18353934,2,0
18357038,2,0
18357113,2,0
18358094,1,0
18359416,1,0
18360236,4,0
18360596,3,0
18360940,3,0
18361383,1,0
18362313,1,0
18362712,1,0
18362882,1,0
18365478,1,0
18366218,2,0
18367303,2,0
18368542,1,0
18368824,1,0
18369350,2,0
18369368,3,0
18370318,1,0
18372126,2,0
18372441,1,0
18372894,4,0
18373391,1,0
18373392,3,0
18374760,1,0
18375151,1,0
18375883,2,0
18376092,2,0
18377394,1,0
18377791,2,0
18378171,1,0
18378682,1,0
18378857,2,0
18379533,2,0
18380012,4,0
18380440,1,0
18380672,1,0
18380923,1,0
18382165,3,0
18382299,2,0
18382619,1,0
18382847,1,0
18382848,1,0
18385030,3,0
18385130,4,0
18385938,2,0
18386397,1,0
18386556,2,0
18386594,3,0
18386636,3,0
18387392,2,0
18387478,1,0
18387491,1,0
18388141,2,0
18388912,1,0
18389117,1,0
18389395,2,0
18389638,3,0
18390060,2,0
18390465,2,0
18390485,2,0
18391172,2,0
18391647,3,0
18393250,1,0
18393439,1,0
18393889,2,0
18393904,1,0
18394093,4,0
18394401,2,0
18394746,2,0
18395115,3,0
18396484,3,0
18397372,2,0
18397820,4,0
18399464,1,0
18399569,2,0
18400636,1,0
18402523,1,0
18402967,2,0
18403361,3,0
18404301,3,0
18404785,3,0
18405068,4,0
18405871,1,0
18407745,2,0
18408431,2,0
18409639,2,0
18410668,1,0
18410734,2,0
18411063,2,0
18411067,1,0
18411166,2,0
18411338,2,0
18413086,1,0
18413899,2,0
18414149,1,0
18414990,2,0
18415396,1,0
18415633,1,0
