HH_ID,JTRIP_ID,NUMBER_HH,PERSON_1,PERSON_2,PERSON_3,PERSON_4,PERSON_5,PERSON_6,PERSON_7,PERSON_8,PERSON_9,PERSON_10,PERSON_11,COMPOSITION
18114244,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
18114244,2,2,2,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18114244,3,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18114695,1,3,1,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18114695,2,3,1,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18114695,3,3,1,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18114695,4,3,1,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18114695,5,3,1,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18114695,6,3,1,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18114695,7,3,1,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18115411,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18119342,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119342,2,2,2,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119342,3,2,2,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,2,2,1,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18119982,3,2,1,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18123835,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18123835,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18124224,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
18124224,2,2,2,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18124224,3,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18124224,4,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
18127925,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18127925,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18128188,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18128188,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18128188,3,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18128188,4,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18131773,1,3,1,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18135206,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18135206,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18137131,1,4,2,3,4,5,nan,nan,nan,nan,nan,nan,nan,3
18137131,2,4,2,3,4,5,nan,nan,nan,nan,nan,nan,nan,3
18137515,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18139584,1,4,1,4,6,7,nan,nan,nan,nan,nan,nan,nan,3
18139584,2,4,1,4,6,7,nan,nan,nan,nan,nan,nan,nan,3
18139584,3,2,1,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18139584,4,2,1,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18139584,5,2,1,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18140014,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18140014,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18140591,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18140591,2,2,2,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18140591,3,2,2,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18140776,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18146045,1,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18146045,2,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18158452,1,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18158452,2,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18158452,3,3,2,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18158899,1,3,1,2,3,nan,nan,nan,nan,nan,nan,nan,nan,3
18158899,2,3,1,2,3,nan,nan,nan,nan,nan,nan,nan,nan,3
18158899,3,3,1,2,3,nan,nan,nan,nan,nan,nan,nan,nan,3
18160621,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18160621,2,2,1,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18160621,3,2,1,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18160621,4,2,2,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18160621,5,2,1,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18160621,6,2,1,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18165668,1,2,1,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18165668,2,2,1,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18165668,3,2,1,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18168906,1,3,1,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18168906,2,3,1,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18168906,3,3,1,3,4,nan,nan,nan,nan,nan,nan,nan,nan,3
18169548,1,4,1,3,4,5,nan,nan,nan,nan,nan,nan,nan,3
18169548,2,3,1,4,5,nan,nan,nan,nan,nan,nan,nan,nan,3
18169548,3,3,1,4,5,nan,nan,nan,nan,nan,nan,nan,nan,3
18169548,4,3,1,4,5,nan,nan,nan,nan,nan,nan,nan,nan,3
18169548,5,3,1,4,5,nan,nan,nan,nan,nan,nan,nan,nan,3
18169548,6,4,1,3,4,5,nan,nan,nan,nan,nan,nan,nan,3
18171375,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18171375,2,2,2,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18171375,3,2,2,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18171375,4,2,2,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18174175,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18174175,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18175881,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18176428,1,4,2,3,4,5,nan,nan,nan,nan,nan,nan,nan,3
18176428,2,4,2,3,4,5,nan,nan,nan,nan,nan,nan,nan,3
18176428,3,4,2,3,4,5,nan,nan,nan,nan,nan,nan,nan,3
18176428,4,4,2,3,4,5,nan,nan,nan,nan,nan,nan,nan,3
18176428,5,4,2,3,4,5,nan,nan,nan,nan,nan,nan,nan,3
18176428,6,4,2,3,4,5,nan,nan,nan,nan,nan,nan,nan,3
18176428,7,4,2,3,4,5,nan,nan,nan,nan,nan,nan,nan,3
18176428,8,4,2,3,4,5,nan,nan,nan,nan,nan,nan,nan,3
18178001,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18178001,2,2,1,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
18178955,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18179144,1,3,2,5,6,nan,nan,nan,nan,nan,nan,nan,nan,3
18179144,2,3,2,5,6,nan,nan,nan,nan,nan,nan,nan,nan,3
18179144,3,3,2,5,6,nan,nan,nan,nan,nan,nan,nan,nan,3
18179144,4,3,2,5,6,nan,nan,nan,nan,nan,nan,nan,nan,3
18179144,5,4,1,4,5,6,nan,nan,nan,nan,nan,nan,nan,3
18179144,6,4,1,4,5,6,nan,nan,nan,nan,nan,nan,nan,3
18185311,1,2,1,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18185311,2,2,1,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18185311,3,2,1,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18185311,4,2,1,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18185311,5,2,1,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18185311,6,2,1,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18185311,7,2,1,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18185311,8,3,1,2,5,nan,nan,nan,nan,nan,nan,nan,nan,3
18185311,9,5,1,2,3,4,5,nan,nan,nan,nan,nan,nan,3
18192291,1,4,2,3,4,5,nan,nan,nan,nan,nan,nan,nan,3
18192291,2,4,2,3,4,5,nan,nan,nan,nan,nan,nan,nan,3
18194277,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
18194277,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
