HH_ID,PER_ID,PERSONTYPE,AGE,EMPLY,HOURS_CAT,EMP_CAT,STUDE,SCHOL,STU_CAT,PERSONTYPE0,EMP_CAT0,STU_CAT0,ERROR
18114304,1,2,9,2,,2,0,-9,3,,,,""
18114536,1,5,9,3,,3,0,-9,3,,,,""
18114536,2,5,8,3,,3,0,-9,3,,,,""
18115411,1,1,5,1,,1,0,-9,3,,,,""
18115411,2,1,5,1,,1,0,-9,3,,,,""
18116453,1,1,5,1,,1,0,-9,3,,,,""
18116453,2,1,5,1,,1,0,-9,3,,,,""
18116766,1,1,8,1,,1,0,-9,3,,,,""
18117100,1,1,6,1,,1,0,-9,3,,,,""
18117111,1,1,6,1,,1,0,-9,3,,,,""
18117111,2,4,5,3,,3,0,-9,3,,,,""
18117111,3,7,2,3,,4,1,3,1,,,,""
18117111,4,7,2,3,,4,1,2,1,,,,""
18117117,1,1,5,1,,1,0,-9,3,,,,""
18118923,1,2,6,2,,2,0,-9,3,,,,""
18118923,2,1,7,1,,1,0,-9,3,,,,""
18119034,1,5,8,3,,3,0,-9,3,,,,""
18119982,1,1,7,1,,1,0,-9,3,,,,""
18119982,2,1,7,1,,1,0,-9,3,,,,""
18119982,3,7,2,3,,4,1,4,1,,,,""
18119982,4,7,2,3,,4,1,3,1,,,,""
18120511,1,1,7,1,,1,0,-9,3,,,,""
18120511,2,1,6,1,,1,0,-9,3,,,,""
18120511,3,7,2,3,,4,1,3,1,,,,""
18120511,4,7,2,3,,4,1,3,1,,,,""
18120511,5,7,2,3,,4,1,3,1,,,,""
18121027,1,1,5,1,,1,0,-9,3,,,,""
18121364,1,1,5,1,,1,0,-9,3,,,,""
18121526,1,5,9,3,,3,0,-9,3,,,,""
18121526,2,5,9,3,,3,0,-9,3,,,,""
18122356,1,4,7,3,,3,0,-9,3,,,,""
18123057,1,1,8,1,,1,0,-9,3,,,,""
18123057,2,1,8,1,,1,0,-9,3,,,,""
18124224,1,1,7,1,,1,0,-9,3,,,,""
18124224,2,2,7,2,,2,0,-9,3,,,,""
18124224,3,6,3,3,,3,1,4,1,,,,""
18124224,4,7,2,3,,4,1,4,1,,,,""
18124224,5,8,1,3,,4,1,2,1,,,,""
18124825,1,1,8,1,,1,0,-9,3,,,,""
18124825,2,2,8,2,,2,0,-9,3,,,,""
18125059,1,5,10,3,,3,0,-9,3,,,,""
18125059,2,5,9,3,,3,0,-9,3,,,,""
18125134,1,1,9,1,,1,0,-9,3,,,,""
18126077,1,1,5,1,,1,0,-9,3,,,,""
18126077,2,1,5,1,,1,0,-9,3,,,,""
18126102,1,5,8,3,,3,0,-9,3,,,,""
18126102,2,1,8,1,,1,0,-9,3,,,,""
18126747,1,1,7,1,,1,0,-9,3,,,,""
18126783,1,1,9,1,,1,0,-9,3,,,,""
18126783,2,2,9,2,,2,0,-9,3,,,,""
18127476,1,1,5,1,,1,0,-9,3,,,,""
18127476,2,1,5,1,,1,0,-9,3,,,,""
18127600,1,1,6,1,,1,0,-9,3,,,,""
18127600,2,1,6,1,,1,0,-9,3,,,,""
18127600,3,8,1,3,,4,1,2,1,,,,""
18127600,4,8,1,3,,4,1,1,1,,,,""
18127605,1,5,8,3,,3,0,-9,3,,,,""
18127605,2,2,8,2,,2,0,-9,3,,,,""
18127925,1,5,9,3,,3,0,-9,3,,,,""
18127925,2,5,9,3,,3,0,-9,3,,,,""
18128188,1,1,7,1,,1,0,-9,3,,,,""
18128188,2,7,2,3,,4,1,3,1,,,,""
18128990,1,1,6,1,,1,1,8,3,,,,""
18129401,1,4,7,3,,3,0,-9,3,,,,""
18129401,2,1,6,1,,1,0,-9,3,,,,""
18129866,1,1,8,1,,1,0,-9,3,,,,""
18129866,2,1,8,1,,1,0,-9,3,,,,""
18130385,1,1,6,1,,1,0,-9,3,,,,""
18130457,1,1,6,1,,1,0,-9,3,,,,""
18130457,2,1,6,1,,1,0,-9,3,,,,""
18130457,3,7,2,3,,4,1,4,1,,,,""
18130457,4,7,2,3,,4,1,3,1,,,,""
18131242,1,5,10,3,,3,0,-9,3,,,,""
18131773,1,1,5,1,,1,0,-9,3,,,,""
18131773,2,1,5,1,,1,0,-9,3,,,,""
18131773,3,8,1,3,,4,1,1,1,,,,""
18131773,4,8,1,3,,4,1,1,1,,,,""
18132032,1,5,9,3,,3,0,-9,3,,,,""
18132032,2,5,9,3,,3,0,-9,3,,,,""
18133990,1,5,8,3,,3,0,-9,3,,,,""
18133990,2,5,8,3,,3,0,-9,3,,,,""
18134412,1,1,5,1,,1,0,-9,3,,,,""
18134412,2,1,6,1,,1,0,-9,3,,,,""
18134412,3,7,2,3,,4,1,3,1,,,,""
18134758,1,1,5,1,,1,0,-9,3,,,,""
18134758,2,1,4,1,,1,1,8,3,,,,""
18135206,1,3,4,3,,3,1,6,2,,,,""
18135206,2,8,1,3,,4,1,1,1,,,,""
18135569,1,1,6,1,,1,0,-9,3,,,,""
18137131,1,1,6,1,,1,0,-9,3,,,,""
18137131,2,1,6,1,,1,0,-9,3,,,,""
18137131,3,7,2,3,,4,1,3,1,,,,""
18137131,4,7,2,3,,4,1,3,1,,,,""
18137131,5,8,1,3,,4,1,1,1,,,,""
18137291,1,1,5,1,,1,0,-9,3,,,,""
18137291,2,1,5,1,,1,0,-9,3,,,,""
18137515,1,1,8,1,,1,0,-9,3,,,,""
18137515,2,6,3,3,,3,1,4,1,,,,""
18138144,1,1,6,1,,1,0,-9,3,,,,""
18138144,2,4,6,3,,3,0,-9,3,,,,""
18138144,3,7,2,3,,4,1,3,1,,,,""
18138240,1,1,7,1,,1,0,-9,3,,,,""
18138814,1,1,7,1,,1,0,-9,3,,,,""
18139584,1,1,6,1,,1,0,-9,3,,,,""
18139584,2,1,6,1,,1,0,-9,3,,,,""
18139584,3,7,2,3,,4,1,3,1,,,,""
18139584,4,7,2,3,,4,1,3,1,,,,""
18139584,5,7,2,3,,4,1,3,1,,,,""
18139584,6,8,1,3,,4,1,1,1,,,,""
18139584,7,8,1,3,,4,1,1,1,,,,""
18139584,8,8,1,3,,4,1,97,1,,,,""
18140091,1,5,9,3,,3,0,-9,3,,,,""
18140204,1,1,5,1,,1,0,-9,3,,,,""
18140204,2,1,5,1,,1,0,-9,3,,,,""
18140776,1,5,9,3,,3,0,-9,3,,,,""
18140776,2,5,10,3,,3,0,-9,3,,,,""
18140897,1,1,8,1,,1,0,-9,3,,,,""
18141130,1,2,10,2,,2,0,-9,3,,,,""
18141143,1,1,8,1,,1,0,-9,3,,,,""
18142767,1,5,8,3,,3,0,-9,3,,,,""
18142767,2,5,9,3,,3,0,-9,3,,,,""
18144100,1,5,10,3,,3,0,-9,3,,,,""
18144100,2,5,10,3,,3,0,-9,3,,,,""
18144393,1,1,6,1,,1,0,-9,3,,,,""
18144393,2,1,6,1,,1,0,-9,3,,,,""
18144664,1,1,6,1,,1,0,-9,3,,,,""
18144664,2,8,1,3,,4,1,1,1,,,,""
18144664,3,8,1,3,,4,1,1,1,,,,""
18145447,1,1,8,1,,1,0,-9,3,,,,""
18145447,2,1,8,1,,1,0,-9,3,,,,""
18145447,3,6,3,3,,3,1,4,1,,,,""
18146045,1,1,5,1,,1,0,-9,3,,,,""
18146045,2,1,5,1,,1,0,-9,3,,,,""
