HH_ID,JTOUR_ID,NUMBER_HH,PERSON_1,PERSON_2,PERSON_3,PERSON_4,PERSON_5,PERSON_6,PERSON_7,PERSON_8,PERSON_9,COMPOSITION,JOINT_PURP
18117111,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,5
18119982,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,5
18121526,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18123057,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18124224,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,3
18135206,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,9
18139584,1,3,2,6,7,nan,nan,nan,nan,nan,nan,3,9
18140776,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18144393,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18144664,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,6
18146045,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,8
18151138,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,4
18160621,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,9
18160621,2,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,6
18163021,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18163021,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18173226,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,9
18173226,2,3,1,2,3,nan,nan,nan,nan,nan,nan,3,9
18175881,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18178001,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,1,6
18178955,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,6
18185311,1,2,1,5,nan,nan,nan,nan,nan,nan,nan,3,6
18190167,1,3,3,4,5,nan,nan,nan,nan,nan,nan,2,3
18190167,2,4,1,3,4,5,nan,nan,nan,nan,nan,3,2
18197061,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18216463,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18216463,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18228680,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,4
18233579,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,1
18234602,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18235553,1,3,1,3,4,nan,nan,nan,nan,nan,nan,3,6
18235553,2,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,5
18240028,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18241142,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18244257,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18244840,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,4
18244949,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18250169,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
18251273,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,2,3
18255343,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18258585,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,4
18258720,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18271928,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,1
18271928,2,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,9
18272730,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18280822,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18282696,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,3
18283416,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18284860,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18286935,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18286935,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18295472,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18303444,1,3,1,3,4,nan,nan,nan,nan,nan,nan,3,3
18303444,2,2,1,5,nan,nan,nan,nan,nan,nan,nan,3,5
18303822,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18308169,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18310954,1,3,1,3,4,nan,nan,nan,nan,nan,nan,3,4
18316703,1,3,1,3,4,nan,nan,nan,nan,nan,nan,3,1
18318588,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18318924,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18324573,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,9
18327907,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18329380,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,1
18331913,1,3,1,3,5,nan,nan,nan,nan,nan,nan,3,8
18331913,2,4,1,3,4,5,nan,nan,nan,nan,nan,3,5
18333393,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,7
18340724,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,4
18343248,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18343324,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18344953,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18349658,1,5,1,2,3,4,5,nan,nan,nan,nan,3,6
18374193,1,2,4,5,nan,nan,nan,nan,nan,nan,nan,2,3
18376092,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18386594,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,1
18386594,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,5
18395115,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,3
18409639,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18411063,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18411338,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18414990,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18419885,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,5
18419885,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,7
18422641,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18424321,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18425281,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18427824,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
18435928,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18440314,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18456641,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,1
18464186,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,4
18464186,2,2,1,6,nan,nan,nan,nan,nan,nan,nan,3,6
18464186,3,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,6
18465550,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18469707,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,2,3
18469707,2,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,4
18470377,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,9
18476049,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,3
18476049,2,2,4,5,nan,nan,nan,nan,nan,nan,nan,2,3
18477207,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18483234,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18506339,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18508589,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18508589,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18512571,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18513914,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18514914,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,3
18524882,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18526568,1,4,1,4,5,6,nan,nan,nan,nan,nan,3,7
18527339,1,2,1,5,nan,nan,nan,nan,nan,nan,nan,3,4
18530217,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,3
18531252,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18537105,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
