HH_ID,PER_ID,TOUR_ID,TRIP_ID,LEG_DEST_PLACENO,JTRIP_ID,NUMBER_HH,CHAUFFUER_ID,ORIG_DEP_HR,ORIG_DEP_MIN,DEST_ARR_HR,DEST_ARR_MIN,DEST_PURP,PARTY,ERROR
18117111,2,1,1,2,nan,2,2,8,39,8,53,4,1_1_2,"E: Number of joint trips departing at 8:39 differs from at least one of the reported travel group size"
18117111,2,2,1,5,1,2,2,11,8,11,19,4,2_4,""
18117111,4,1,1,2,1,2,2,11,8,11,19,3,2_4,""
18117111,2,2,2,6,2,2,2,11,39,11,55,0,2_4,""
18117111,4,1,2,3,2,2,2,11,39,11,55,0,2_4,""
18117111,2,3,1,7,3,2,2,12,34,12,46,4,2_4,""
18117111,4,2,1,4,3,2,2,12,34,12,46,4,2_4,""
18117111,2,3,2,8,4,3,2,13,0,13,14,5,2_3_4,""
18117111,3,1,1,2,4,3,2,13,0,13,14,5,2_3_4,""
18117111,4,2,2,5,4,3,2,13,0,13,14,5,2_3_4,""
18117111,2,3,3,9,5,3,2,13,14,13,23,8,2_3_4,""
18117111,3,1,2,3,5,3,2,13,14,13,23,8,2_3_4,""
18117111,4,2,3,6,5,3,2,13,14,13,23,8,2_3_4,""
18117111,2,3,4,10,6,3,2,14,25,14,33,4,2_3_4,""
18117111,3,1,3,4,6,3,2,14,25,14,33,4,2_3_4,""
18117111,4,2,4,7,6,3,2,14,25,14,33,4,2_3_4,""
18117111,2,3,5,11,7,3,2,14,44,15,2,4,2_3_4,""
18117111,3,1,4,5,7,3,2,14,44,15,2,4,2_3_4,""
18117111,4,2,5,8,7,3,2,14,44,15,2,4,2_3_4,""
18117111,2,3,6,12,8,3,2,15,2,15,16,4,2_3_4,""
18117111,3,1,5,6,8,3,2,15,2,15,16,4,2_3_4,""
18117111,4,2,6,9,8,3,2,15,2,15,16,4,2_3_4,""
18117111,2,3,7,13,9,3,2,15,16,15,26,0,2_3_4,""
18117111,3,1,6,7,9,3,2,15,16,15,26,0,2_3_4,""
18117111,4,2,7,10,9,3,2,15,16,15,26,0,2_3_4,""
18119342,2,1,2,3,1,2,2,15,27,15,44,0,2_3,""
18119342,3,1,1,2,1,2,2,15,27,15,44,0,2_3,""
18119342,2,2,1,4,2,2,2,16,49,17,2,1,2_3,""
18119342,3,2,1,3,2,2,2,16,49,17,2,9,2_3,""
18119342,2,2,2,5,3,2,2,19,34,19,45,0,2_3,""
18119342,3,2,2,4,3,2,2,19,34,19,45,0,2_3,""
18119982,1,1,1,2,1,2,1,7,53,8,1,4,1_4,""
18119982,4,1,1,2,1,2,1,7,53,8,1,3,1_4,""
18119982,2,1,3,4,2,3,2,17,47,18,6,4,2_3_4,""
18119982,3,2,1,3,2,3,2,17,47,18,6,4,2_3_4,""
18119982,4,2,1,4,2,3,2,17,47,18,6,4,2_3_4,""
18119982,2,1,4,5,3,3,2,19,32,19,46,7,2_3_4,""
18119982,3,2,2,4,3,3,2,19,32,19,46,7,2_3_4,""
18119982,4,2,2,5,3,3,2,19,32,19,46,7,2_3_4,""
18119982,2,1,5,6,4,3,2,19,47,20,1,0,2_3_4,""
18119982,3,2,3,5,4,3,2,19,47,20,1,0,2_3_4,""
18119982,4,2,3,6,4,3,2,19,47,20,1,0,2_3_4,""
18121526,1,1,1,2,1,2,1,9,35,10,19,5,1_2,""
18121526,2,1,1,2,1,2,1,9,37,10,22,5,1_2,""
18121526,1,1,2,3,2,2,1,11,24,11,31,5,1_2,""
18121526,2,1,2,3,2,2,1,11,24,11,35,5,1_2,""
18121526,1,1,3,4,3,2,1,11,43,11,59,9,1_2,""
18121526,2,1,3,4,3,2,1,11,44,12,1,9,1_2,""
18121526,1,1,4,5,nan,2,1,12,11,13,17,7,1_1_1,"E: Number of joint trips departing at 12:11 differs from at least one of the reported travel group size"
18121526,1,1,5,6,4,2,1,13,56,14,11,5,1_2,""
18121526,2,1,5,6,4,2,1,13,56,14,10,5,1_2,""
18121526,2,1,6,7,5,2,1,14,17,14,58,5,1_2,""
18121526,1,1,6,7,5,2,1,14,20,14,56,5,1_2,""
18121526,1,1,7,8,6,2,1,14,58,15,5,0,1_2,""
18121526,2,1,7,8,6,2,1,14,58,15,8,0,1_2,""
18121526,2,2,1,9,7,2,1,15,13,15,35,9,1_2,""
18121526,1,2,1,9,7,2,1,15,15,15,35,9,1_2,""
18121526,2,2,2,10,8,2,1,16,15,16,30,5,1_2,""
18121526,1,2,2,10,8,2,1,16,17,16,31,5,1_2,""
18121526,2,2,3,11,9,2,1,16,48,16,56,0,1_2,""
18121526,1,2,3,11,9,2,1,16,51,16,59,0,1_2,""
18123057,1,2,1,13,nan,2,nan,16,9,16,58,6,1_1_1,"E: Number of joint trips departing at 16:9 differs from at least one of the reported travel group size"
18123180,1,2,1,4,1,2,nan,17,0,17,5,9,1_2,""
18123180,2,2,1,4,1,2,nan,17,0,17,5,9,1_2,""
18123180,1,2,2,5,2,2,nan,17,35,17,40,9,1_2,""
18123180,2,2,2,5,2,2,nan,17,35,17,40,0,1_2,""
18124224,3,1,1,2,1,2,nan,7,0,7,10,3,3_4,""
18124224,4,1,1,2,1,2,nan,7,0,7,10,3,3_4,""
18124224,3,1,2,3,2,2,nan,14,10,14,20,0,3_4,""
18124224,4,1,2,3,2,2,nan,14,10,14,20,0,3_4,""
18129401,2,1,1,2,1,2,1,10,10,10,44,1,1_2,""
18129401,1,1,1,2,1,2,1,10,11,10,44,4,1_2,""
18129401,1,1,2,3,2,2,1,12,3,12,39,4,1_2,""
18129401,2,1,2,3,2,2,1,12,4,12,39,0,1_2,""
18129401,1,1,4,5,3,2,1,12,49,13,4,7,1_2,""
18129401,2,2,1,4,3,2,1,12,50,13,4,1,1_2,""
18129401,1,1,5,6,4,2,1,13,4,13,23,4,1_2,""
18129401,2,3,1,5,4,2,1,13,8,13,26,1,1_2,""
18129401,1,1,6,7,nan,2,1,13,23,13,37,8,1_1_1,"E: Number of joint trips departing at 13:23 differs from at least one of the reported travel group size"
18129401,2,2,2,6,5,2,1,22,0,22,26,0,1_2,""
18129401,1,3,2,16,5,2,1,22,2,22,25,0,1_2,""
18131773,1,1,1,2,1,3,1,7,16,7,26,4,1_3_4,""
18131773,3,1,1,2,1,3,1,7,16,7,26,3,1_3_4,""
18131773,4,1,1,2,1,3,1,7,16,7,26,3,1_3_4,""
18131773,2,1,3,4,2,3,2,17,31,17,42,0,2_3_4,""
18131773,3,1,2,3,2,3,2,17,31,17,42,0,2_3_4,""
18131773,4,1,2,3,2,3,2,17,31,17,42,0,2_3_4,""
18134412,2,1,1,2,1,2,2,6,52,7,32,1,2_3,""
18134412,3,1,1,2,1,2,2,6,52,7,32,9,2_3,""
18134412,2,2,1,5,2,3,1,16,52,17,16,1,1_2_3,""
18134412,1,2,1,4,2,3,1,16,53,17,19,6,1_2_3,""
18134412,3,1,2,3,2,3,1,16,53,17,19,9,1_2_3,""
18134412,2,2,2,6,3,3,1,17,38,17,50,5,1_2_3,""
18134412,1,2,2,5,3,3,1,17,39,17,49,5,1_2_3,""
18134412,3,1,3,4,3,3,1,17,39,17,49,5,1_2_3,""
18134412,1,2,3,6,4,3,1,18,14,18,29,7,1_2_3,""
18134412,3,1,4,5,4,3,1,18,14,18,29,7,1_2_3,""
18134412,2,2,3,7,4,3,1,18,15,18,27,7,1_2_3,""
18134412,1,2,4,7,5,3,1,19,19,19,39,0,1_2_3,""
18134412,2,2,4,8,5,3,1,19,19,19,39,0,1_2_3,""
