HH_ID=18112062	PER_ID=4 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 4] to [4, 5]
HH_ID=18112062	PER_ID=5 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 5] to [4, 5]
HH_ID=18112062	PER_ID=4 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 4] to [4, 5]
HH_ID=18112062	PER_ID=5 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 5] to [4, 5]
HH_ID=18114244	PER_ID=3 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 3] to [3, 4]
HH_ID=18114244	PER_ID=4 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 4] to [3, 4]
HH_ID=18114244	PER_ID=3 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 3] to [3, 4]
HH_ID=18114244	PER_ID=4 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 4] to [3, 4]
HH_ID=18114244	Inconsistent departure times: trips departing at 17:19 and 17:20 are assumed to be made together
HH_ID=18114244	PER_ID=1 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1, 1] to [1, 2, 3, 4, 5, 6]
HH_ID=18114244	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1, 2] to [1, 2, 3, 4, 5, 6]
HH_ID=18114244	PER_ID=3 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1, 3] to [1, 2, 3, 4, 5, 6]
HH_ID=18114244	PER_ID=4 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1, 4] to [1, 2, 3, 4, 5, 6]
HH_ID=18114244	PER_ID=5 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1, 5] to [1, 2, 3, 4, 5, 6]
HH_ID=18114244	PER_ID=6 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1, 6] to [1, 2, 3, 4, 5, 6]
HH_ID=18114244	Inconsistent departure times: trips departing at 21:0 and 21:1 are assumed to be made together
HH_ID=18114244	PER_ID=1 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1, 1] to [1, 2, 3, 4, 5, 6]
HH_ID=18114244	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1, 2] to [1, 2, 3, 4, 5, 6]
HH_ID=18114244	PER_ID=3 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1, 3] to [1, 2, 3, 4, 5, 6]
HH_ID=18114244	PER_ID=4 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1, 4] to [1, 2, 3, 4, 5, 6]
HH_ID=18114244	PER_ID=5 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1, 5] to [1, 2, 3, 4, 5, 6]
HH_ID=18114244	PER_ID=6 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 1, 1, 1, 6] to [1, 2, 3, 4, 5, 6]
HH_ID=18115411	PER_ID=1 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18115411	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
HH_ID=18115411	Inconsistent departure times: trips departing at 7:20 and 7:21 are assumed to be made together
HH_ID=18115411	PER_ID=1 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18115411	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
HH_ID=18115411	PER_ID=1 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18115411	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
HH_ID=18115411	Inconsistent departure times: trips departing at 7:55 and 8:5 are assumed to be made together
HH_ID=18115411	Inconsistent departure times: trips departing at 17:14 and 17:15 are assumed to be made together
HH_ID=18115411	PER_ID=1 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18115411	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
HH_ID=18115411	PER_ID=1 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18115411	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
HH_ID=18115411	PER_ID=1 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18115411	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
HH_ID=18115411	Inconsistent departure times: trips departing at 18:24 and 18:25 are assumed to be made together
HH_ID=18115411	PER_ID=1 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18115411	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
HH_ID=18115411	PER_ID=1 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18115411	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
HH_ID=18116453	PER_ID=1 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18116453	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
HH_ID=18116453	PER_ID=1 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1] to [1, 2]
HH_ID=18116453	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 2] to [1, 2]
HH_ID=18117111	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 2] to [2, 4]
HH_ID=18117111	PER_ID=4 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 4] to [2, 4]
HH_ID=18117111	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 2] to [2, 4]
HH_ID=18117111	PER_ID=4 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 4] to [2, 4]
HH_ID=18117111	PER_ID=2 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 2] to [2, 4]
HH_ID=18117111	PER_ID=4 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 4] to [2, 4]
HH_ID=18117111	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 2] to [2, 3, 4]
HH_ID=18117111	PER_ID=3 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 3] to [2, 3, 4]
HH_ID=18117111	PER_ID=4 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 4] to [2, 3, 4]
HH_ID=18117111	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 2] to [2, 3, 4]
