TractID,Census_HH,Census_A0,Census_A1,Census_A2,Census_A3,Census_A4
27003050107,1013,0,222,465,210,116
27003050108,1714,23,268,753,453,217
27003050109,1811,19,194,654,673,271
27003050110,980,15,156,400,215,194
27003050111,1402,7,210,650,332,203
27003050114,1056,0,93,468,273,222
27003050115,1938,49,147,803,662,277
27003050116,1459,13,136,591,420,299
27003050208,1145,12,99,731,196,107
27003050210,1508,40,209,568,440,251
27003050215,1509,36,259,609,389,216
27003050216,1871,24,173,873,443,358
27003050217,958,5,93,360,309,191
27003050218,1145,0,179,496,350,120
27003050219,1069,10,149,534,264,112
27003050220,2286,182,363,804,729,208
27003050221,2214,68,325,998,603,220
27003050222,1696,12,188,858,469,169
27003050223,923,8,58,348,324,185
27003050224,1074,20,128,459,232,235
27003050225,2117,21,344,932,498,322
27003050226,1104,22,175,529,263,115
27003050227,1590,49,306,750,351,134
27003050228,1877,18,416,914,321,208
27003050229,1591,44,424,710,271,142
27003050230,727,14,30,318,264,101
27003050232,1316,35,270,678,216,117
27003050233,1150,12,162,557,286,133
27003050234,1038,15,123,522,219,159
27003050235,1059,10,206,497,241,105
27003050236,1384,0,104,700,409,171
27003050237,1992,60,406,928,353,245
27003050401,1035,97,354,376,132,76
27003050402,1597,217,673,485,144,78
27003050501,1469,230,716,353,121,49
27003050504,1135,62,355,549,109,60
27003050505,1824,232,556,652,262,122
27003050602,914,62,225,385,167,75
27003050605,2181,92,583,803,602,101
27003050606,822,108,296,281,95,42
27003050607,1709,98,699,533,273,106
27003050608,1944,118,857,702,188,79
27003050609,1399,26,431,629,237,76
27003050610,2527,142,748,978,484,175
27003050702,1176,60,220,478,322,96
27003050704,1775,0,510,773,365,127
27003050706,1285,62,428,563,154,78
27003050707,2151,41,372,1030,520,188
27003050709,1081,45,411,430,131,64
27003050710,1411,113,427,590,201,80
27003050711,1691,31,375,777,356,152
27003050712,1715,79,617,828,134,57
27003050805,2379,48,524,1048,558,201
27003050806,2353,27,490,1332,242,262
27003050807,1364,21,487,529,234,93
27003050808,867,31,249,443,103,41
27003050809,2196,34,732,995,339,96
27003050810,1865,51,766,708,246,94
27003050811,1193,75,349,446,233,90
27003050813,2398,96,437,1269,470,126
27003050816,1794,65,376,801,369,183
27003050818,2065,17,410,1290,212,136
27003050819,1515,107,171,896,232,109
27003050820,1093,67,177,557,192,100
27003050821,1840,25,613,944,224,34
27003050901,747,52,240,306,104,45
27003050902,1949,38,678,823,320,90
27003051001,1178,111,518,378,141,30
27003051002,1523,117,485,658,163,100
27003051101,2059,153,625,940,203,138
27003051102,1645,95,485,715,274,76
27003051103,1204,66,480,474,147,37
27003051201,1606,140,810,498,107,51
27003051202,1327,183,431,450,215,48
27003051203,2175,343,618,959,232,23
27003051206,958,41,408,295,173,41
27003051302,1534,233,453,571,225,52
27003051304,986,78,422,385,85,16
27003051305,1262,183,518,450,95,16
27003051400,2024,160,884,785,120,75
27003051501,1259,348,452,347,66,46
27003051502,1243,205,372,492,128,46
27003051600,1914,59,292,643,603,317
27019090100,2267,144,550,965,408,200
27019090200,1442,16,162,605,445,214
27019090301,2681,249,634,1059,634,105
27019090302,1717,16,310,927,340,124
27019090401,1810,14,200,1136,391,69
27019090402,1923,16,348,991,457,111
27019090501,811,0,120,381,247,63
27019090502,1027,0,241,525,188,73
27019090503,914,6,148,524,169,67
27019090601,1697,57,458,872,218,92
27019090602,1004,24,98,522,231,129
27019090701,2517,140,538,1110,610,119
27019090702,985,13,187,531,172,82
27019090800,3403,70,915,1616,565,237
27019090900,1917,27,401,881,448,160
27019091000,3993,323,1221,1923,342,184
27019091100,2241,71,296,1109,503,262
27019091201,1974,121,512,771,408,162
27019091202,1019,10,171,451,268,119
27025110100,1451,23,205,600,377,246
27025110200,2341,99,559,810,561,312
27025110301,1467,105,304,561,337,160
27025110302,2173,265,395,772,521,220
27025110401,3099,141,528,1240,820,370
27025110402,1726,37,290,609,560,230
27025110501,1642,53,608,603,311,67
27025110502,2856,200,707,1070,617,262
27025110600,1664,10,214,653,508,279
27025110700,1452,22,337,566,321,206
27037060101,1440,71,610,509,187,63
27037060102,1171,129,517,366,138,21
27037060103,1059,34,325,578,86,36
27037060104,2581,487,952,758,359,25
27037060105,2098,358,841,725,94,80
27037060201,979,26,289,422,135,107
27037060202,1407,193,445,501,209,59
27037060301,1850,226,848,600,83,93
27037060302,1400,83,449,614,183,71
27037060401,1012,67,364,420,140,21
27037060402,1349,54,450,532,241,72
27037060502,1770,119,593,731,144,183
27037060503,1919,34,626,770,305,184
27037060505,2491,259,863,1007,201,161
27037060506,2358,186,859,1058,241,14
27037060507,1412,8,402,585,242,175
27037060508,1931,0,273,994,422,242
27037060509,2361,69,967,941,143,241
27037060603,1887,142,362,926,393,64
27037060604,1562,40,461,779,220,62
27037060605,674,7,247,272,90,58
27037060606,1181,19,420,438,229,75
27037060709,2015,35,520,978,397,85
27037060710,1533,129,593,398,298,115
27037060711,2214,480,793,738,203,0
27037060713,1159,29,323,554,188,65
27037060714,1798,24,534,817,347,76
27037060716,1423,32,409,638,232,112
27037060717,883,16,262,423,118,64
27037060721,1240,41,522,550,100,27
27037060725,1759,75,1006,559,108,11
27037060726,1252,72,524,508,114,34
27037060727,1435,127,693,498,86,31
27037060728,1978,56,709,853,279,81
27037060729,1533,0,435,754,275,69
27037060730,2030,30,246,1153,446,155
27037060731,1633,16,320,945,285,67
27037060732,1796,26,206,928,484,152
27037060733,1673,29,678,648,253,65
27037060734,1738,22,404,952,271,89
27037060735,2120,34,815,889,211,171
27037060737,2290,61,1128,859,219,23
27037060738,1318,68,393,672,151,34
27037060739,1857,32,499,736,380,210
27037060741,2828,152,1079,1165,287,145
27037060742,1288,0,191,725,281,91
27037060743,612,52,173,307,42,38
27037060744,563,5,100,301,140,17
27037060745,1833,161,676,709,194,93
27037060746,1511,54,600,675,154,28
27037060747,1538,92,716,531,162,37
27037060748,1371,76,410,691,175,19
27037060749,867,48,447,279,70,23
27037060750,2025,133,944,702,186,60
27037060805,1127,47,425,413,180,62
27037060806,2034,24,410,981,440,179
27037060811,2121,143,528,1024,202,224
27037060812,2153,33,601,894,439,186
27037060813,1795,26,440,943,281,105
27037060814,2224,30,389,1053,518,234
27037060815,1799,57,311,934,355,142
27037060816,1787,27,194,881,435,250
27037060817,3027,0,488,1729,671,139
27037060818,2723,75,765,1357,287,239
27037060819,2041,0,158,1105,474,304
27037060820,2596,0,220,1541,532,303
27037060821,2833,286,762,1208,464,113
27037060822,484,6,86,284,81,27
27037060823,1245,0,211,617,315,102
27037060824,1424,150,251,777,169,77
27037060825,2502,12,392,1329,594,175
27037060826,3062,39,1107,1337,366,213
27037060828,1712,91,658,643,234,86
27037060829,1374,26,454,699,164,31
27037060902,1762,0,495,774,452,41
27037060904,1463,98,442,560,267,96
27037060905,1835,43,497,795,356,144
27037060906,1137,15,260,522,196,144
27037060907,2277,30,211,1405,525,106
27037061001,1325,15,180,630,297,203
27037061003,603,24,123,291,84,81
27037061004,1996,27,273,1118,401,177
27037061005,960,60,243,407,140,110
27037061007,1744,22,446,849,342,85
27037061008,899,56,327,283,210,23
27037061009,2096,30,495,1219,286,66
27037061102,1911,223,689,597,306,96
27037061105,925,45,257,418,146,59
27037061106,1419,94,624,468,188,45
27037061107,2494,39,746,974,490,245
27037061108,2416,40,616,1259,431,70
27037061401,1122,24,129,462,263,244
27037061402,1389,10,209,515,397,258
27037061501,869,14,80,306,256,213
27037061502,1067,6,162,501,265,133
27049080101,1869,294,717,641,153,64
27049080102,2413,94,558,1325,280,156
27049080200,2904,100,827,1100,596,281
27049080300,1691,64,415,638,342,232
27049080400,1602,41,243,588,402,328
27049080500,1323,17,167,517,335,287
27049080600,1977,114,696,587,420,160
27049080700,1427,56,343,566,269,193
27049080800,1676,52,495,582,321,226
27049080900,2463,163,726,916,405,253
27053000101,1101,31,501,442,92,35
27053000102,1829,271,773,597,111,77
27053000300,1394,102,554,552,119,67
27053000601,1989,233,616,788,308,44
27053000603,1244,92,437,552,118,45
27053001100,898,120,304,416,42,16
27053001700,1013,169,380,366,69,29
27053002200,386,55,144,129,44,14
27053002400,1204,85,538,400,69,112
27053002700,917,182,260,380,71,24
27053003200,590,59,251,205,49,26
27053003300,652,147,287,107,70,41
27053003800,2100,369,1141,378,161,51
27053005901,1657,880,636,128,13,0
27053005902,1098,474,495,103,15,11
27053006800,2324,597,1217,400,34,76
27053007700,2208,291,1206,613,98,0
27053007801,649,198,246,139,30,36
27053008100,1817,252,980,407,101,77
27053008200,2062,786,774,425,65,12
27053008300,618,50,296,184,38,50
27053008400,785,143,270,229,83,60
27053008500,1545,243,611,515,139,37
27053009500,1026,66,464,326,140,30
