"from","to","value"
"Dakota","Goodhue",3347.07393991905
"St. Croix","St. Croix",16228.94980887
"Wright","Wright",20232.9271471779
"Wright","Hennepin",30510.9507162376
"Ramsey","Anoka",8708.1426275399
"Hennepin","Anoka",11334.053777394
"Hennepin","Hennepin",373191.485077583
"Polk","St. Croix",1114.59752362643
"Ramsey","Ramsey",88377.490824469
"Hennepin","Washington",3587.71666961527
"Scott","Scott",20182.6768605745
"Scott","Hennepin",15912.9992866109
"Rice","Dakota",3924.46220921704
"Pierce","Ramsey",728.924385876708
"Pierce","St. Croix",3086.39731269504
"Ramsey","Hennepin",61416.3699722701
"Anoka","Ramsey",25336.5453843102
"Hennepin","Carver",9288.23181540743
"Dakota","Dakota",65016.8802231273
"Anoka","Anoka",40684.0825773583
"Ramsey","Dakota",5544.84137766586
"St. Croix","Washington",10556.9157699751
"St. Croix","Dakota",887.120448833105
"Scott","Dakota",7611.70087418467
"Hennepin","Ramsey",46371.2012716596
"Sherburne","Hennepin",10037.1971560007
"Sherburne","Isanti",943.953205109184
"Dakota","Hennepin",54764.1393966273
"Anoka","Hennepin",47907.922201124
"Anoka","Washington",4607.17668139503
"Sherburne","Wright",6390.30366360503
"Scott","Carver",940.038498839666
"Le Sueur","Le Sueur",2592.42067499555
"Le Sueur","Dakota",1204.57524999836
"Le Sueur","Rice",1148.76488089858
"Dakota","Ramsey",27756.7484673709
"Ramsey","Washington",5317.00851747509
"Washington","Ramsey",32805.678033807
"Carver","Carver",9345.59352321134
"Polk","Polk",14725.9161150856
"Polk","Hennepin",117.349514188798
"Pierce","Goodhue",1899.55561593098
"Washington","Washington",30749.7760317755
"Washington","Hennepin",18382.0927589869
"Wright","Ramsey",1378.57637534372
"Isanti","Isanti",8476.51758735257
"Sherburne","Sherburne",11069.3646600994
"Polk","Washington",3218.0845919733
"Chisago","Hennepin",3358.24248807845
"Hennepin","Rice",1069.28808640357
"Goodhue","Goodhue",9362.68413191167
"Scott","Ramsey",1740.69369461169
"Hennepin","Scott",2758.76841362764
"Goodhue","Anoka",553.204490422851
