"Anoka","Carver","Chisago","Dakota","Goodhue","Hennepin","Isanti","Le Sueur","McLeod","Pierce","Polk","Ramsey","Rice","Scott","Sherburne","Sibley","St. Croix","Washington","Wright","Total"
40684.0825773583,0,0,2292.46648395533,0,47907.922201124,52.7589551300851,0,0,0,0,25336.5453843102,0,203.075884878305,2593.01452519835,0,129.12965498966,4607.17668139503,143.171082252518,123949.343430592
989.743938747125,9345.59352321135,0,140.194607095149,0,20405.0246380049,0,0,686.506858338883,0,0,1689.30020064549,0,2432.15718308282,0,0,0,0,0,35688.5209491257
609.345232517178,0,6301.15850349808,92.6498497221249,0,3358.24248807845,152.549594130152,0,0,0,901.939920611361,4719.2483867361,0,0,947.034863836676,0,0,1812.75239508184,0,18894.921234212
0,1054.83627392989,0,65016.8802231273,3347.07393991905,54764.1393966273,0,0,0,687.112724757953,0,27756.7484673709,2138.21951151641,3484.27342190197,0,0,1022.17892290104,4624.55771380007,0,163896.020595852
553.204490422851,0,0,1067.90827361869,9362.68413191167,803.304059210744,0,0,0,49.7286783373982,0,418.319134201068,918.949582610533,0,0,0,0,67.1467895036344,0,13241.2451398166
11334.053777394,9288.23181540743,0,13626.388906488,0,373191.485077584,0,0,0,0,0,46371.2012716596,1069.28808640357,2758.76841362764,1011.90381281152,0,503.637073510213,3587.71666961527,4773.52348051016,467516.198385011
4090.67342973028,0,2633.36284429727,196.211668013129,0,855.258690151007,8476.51758735257,0,0,0,0,2394.57615181448,0,0,107.82013203535,0,0,0,779.01890993843,19533.4394133325
0,56.09023628804,0,1204.57524999836,0,1057.25695625198,0,2592.42067499555,0,0,0,0,1148.76488089858,1382.69448375413,0,1433.12365049711,0,0,0,8874.92613268375
0,3320.06720926082,0,0,0,1621.40843582316,0,0,12698.1795866942,0,0,52.1581021808533,0,0,234.098033214868,0,0,0,2030.54989654299,19956.4612637169
0,0,0,97.9142500451183,1899.55561593098,446.864157047073,0,0,0,8039.45497400832,0,728.924385876708,51.0144040250644,0,0,0,3086.39731269504,49.8843632808942,0,14400.0094629092
358.521391886021,0,1740.05525190996,0,0,117.349514188798,0,0,0,0,14725.9161150856,1331.64372940919,0,0,0,0,1114.59752362643,3218.0845919733,0,22606.1681180793
8708.1426275399,50.7309214156415,198.782784921938,5544.84137766586,0,61416.36997227,0,0,0,0,64.5920557202462,88377.490824469,0,34.3556362378976,56.4267549888204,0,50.7309214156415,5317.00851747509,0,169819.47239412
0,146.73182916053,0,3924.46220921704,0,1797.54128975463,0,106.859659802752,0,0,0,2587.21890432771,11173.0455037649,402.372807003302,0,0,979.009770907277,0,0,21117.2419739381
373.93946905242,940.038498839666,0,7611.70087418467,0,15912.9992866109,0,1061.42222126726,0,94.3240444269352,0,1740.69369461169,401.613109539381,20182.6768605745,0,0,0,53.5889564461119,0,48372.9970155536
6349.55458279548,0,0,0,0,10037.1971560007,943.953205109184,0,0,0,0,1549.43345687135,0,0,11069.3646600994,0,0,0,6390.30366360503,36339.8067244811
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2468.75458700035,0,0,0,2468.75458700035
0,0,67.5442534386028,887.120448833105,446.538819096292,7192.11971329031,0,0,0,3840.2420348716,538.193246093168,7448.23466323598,0,0,0,0,16228.94980887,10556.9157699751,0,47205.8587577041
2741.38575071386,53.8205062433124,597.82544763331,9931.03444129935,1004.6747066401,18382.0927589869,0,0,0,0,0,32805.678033807,0,0,0,0,1127.09441098329,30749.7760317755,0,97393.3820880826
1702.2564673408,391.521818261215,0,0,0,30510.9507162377,0,0,794.815250051625,0,0,1378.57637534372,0,986.637860082304,598.104730391071,0,0,409.901329974765,20232.9271471779,57005.691694861
78494.9037354982,24647.6626320179,11538.7290856992,111634.348863263,16060.5272134981,649777.526507242,9625.77934172199,3760.70255606557,14179.5016950847,12710.8624564022,16230.6413375104,246685.991166871,16900.8950787584,31867.0125511429,16617.767512576,3901.87823749747,24241.7253998986,65054.5098102966,34349.494180027,1388280.45936107
