"",Anoka,Carver,Chisago,Dakota,Goodhue,Hennepin,Isanti,Le Sueur,McLeod,Pierce,Polk,Ramsey,Rice,Scott,Sherburne,Sibley,St. Croix,Washington,Wright,Total
Anoka,69988,542,1100,2711,41,63008,895,8,62,0,44,30689,64,280,1893,0,102,3717,1033,176177
Carver,278,20578,0,1201,0,23208,0,16,601,0,3,1383,11,2448,6,132,0,129,658,50652
Chisago,1994,27,10127,569,6,3137,907,0,3,5,636,5300,25,27,55,0,116,3024,48,26006
Dakota,1522,1057,71,105464,1733,63785,0,41,95,288,14,27395,2026,6868,35,11,309,5942,93,216749
Goodhue,67,9,0,1624,14724,1003,63,0,4,284,0,586,798,94,18,3,26,157,18,19478
Hennepin,18073,8933,292,20460,205,517226,63,45,238,42,117,52386,419,5375,1500,33,274,3417,2417,631515
Isanti,3705,51,1111,166,2,2487,7735,0,0,0,11,943,14,150,658,0,0,343,172,17548
Le Sueur,6,231,0,641,28,936,0,5634,5,0,7,128,743,2005,0,110,9,50,6,10539
McLeod,19,1591,0,129,10,1677,0,3,12445,16,3,118,0,253,22,354,0,34,556,17230
Pierce,56,9,17,1785,1936,1219,0,0,0,7989,75,1715,84,21,4,0,4434,1799,7,21150
Polk,341,20,778,199,9,659,3,3,4,50,22272,1009,0,24,22,0,1894,1264,8,28559
Ramsey,9704,644,604,15328,164,72860,172,0,16,211,120,143052,309,596,211,0,687,14083,179,258940
Rice,14,90,0,3396,488,2102,0,295,3,20,0,461,22012,1139,8,7,9,138,3,30185
Scott,410,3578,19,10129,107,26241,0,574,129,16,0,2405,515,26843,20,96,0,421,124,71627
Sherburne,4431,48,44,331,36,12689,118,0,7,0,0,1626,0,184,13910,0,0,78,5350,38852
Sibley,18,765,0,81,2,452,0,457,723,0,0,60,1,509,0,3642,0,12,8,6730
St. Croix,370,92,39,2040,90,3747,0,0,4,1291,911,6344,3,88,18,0,21903,6488,17,43445
Washington,3354,199,1117,10251,339,22053,16,58,23,299,141,40552,18,271,51,0,1876,80594,105,161317
Wright,2062,916,9,616,0,26507,18,3,739,0,0,1778,6,324,2012,15,0,207,27961,63173
Total,116412,39380,15328,177121,19920,844996,9990,7137,15101,10511,24354,317930,27048,47499,20443,4403,31639,121897,38763,1889872
