"","PERTYPE","DAP","freq"
"1",1,"H",117259.278463326
"2",1,"M",1081960.9111428
"3",1,"N",351013.674096055
"4",2,"H",30336.2057398326
"5",2,"M",101504.435374756
"6",2,"N",105605.450571646
"7",3,"H",19097.0780408961
"8",3,"M",51136.4335178319
"9",3,"N",57322.030800916
"10",4,"H",50827.8953894549
"11",4,"N",116036.071323115
"12",5,"H",91862.047264716
"13",5,"N",383170.087358319
"14",6,"H",22908.782606848
"15",6,"M",64011.6397408101
"16",6,"N",31578.6965072291
"17",7,"H",110391.298978238
"18",7,"M",215554.705108561
"19",7,"N",215981.49519973
"20",8,"H",68196.6794142496
"21",8,"M",38952.645344915
"22",8,"N",136396.357198468
