"","PERTYPE","DAP","freq"
"1","1","H",111138.014594799
"2","2","H",26203.0887277733
"3","3","H",14490.5211825159
"4","4","H",39901.7170671897
"5","5","H",72745.0321199756
"6","6","H",17949.8211273946
"7","7","H",79271.4485623251
"8","8","H",63734.602189373
"9","Total","H",425434.245571346
"10","1","M",894047.512162483
"11","2","M",103538.205337948
"12","3","M",45637.743787272
"13","4","M",0
"14","5","M",42.1681652946013
"15","6","M",64060.4596667164
"16","7","M",209598.707632281
"17","8","M",33175.8955777638
"18","Total","M",1350100.69232976
"19","1","N",281910.040012759
"20","2","N",68811.8548620177
"21","3","N",39472.1795518766
"22","4","N",89074.3764948809
"23","5","N",291745.125879763
"24","6","N",24775.4548620334
"25","7","N",152996.146706999
"26","8","N",101668.604954905
"27","Total","N",1050453.78332523
