"jtf_code","alt_name","freq"
1,"No Joint Tours",1185216.43570301
2,"1 Shopping",51614.0008372179
3,"1 Maintenance",36458.7028759101
4,"1 Eating Out",41636.8809605682
5,"1 Visiting",28715.8701643869
6,"1 Other Discretionary",42303.7168454507
7,"2 Shopping",9086.71234691215
8,"1 Shopping / 1 Maintenance",2318.5313121665
9,"1 Shopping / 1 Eating Out",1518.35920783148
10,"1 Shopping / 1 Visiting",1629.26404680238
11,"1 Shopping / 1 Other Discretionary",7456.53569820776
12,"2 Maintenance",4361.85441640383
13,"1 Maintenance / 1 Eating Out",5059.99881220316
14,"1 Maintenance / 1 Visiting",1866.34281298716
15,"1 Maintenance / 1 Other Discretionary",12351.1378227103
16,"2 Eating Out",770.492309885911
17,"1 Eating Out / 1 Visiting",236.961476144232
18,"1 Eating Out / 1 Other Discretionary",6794.22054358505
19,"2 Visiting",2749.33951582578
20,"1 Visiting / 1 Other Discretionary",10938.4212330614
21,"2 Other Discretionary",12353.9948837168
