"District","Work","Univ","Schl"
"Anoka",14.1425028018561,11.0800726863025,5.7947092885183
"Carver",16.4543605217648,32.6500129535433,6.49900435308846
"Chisago",25.2961107871833,32.6563915799978,9.39892472633117
"Dakota",13.0390372496735,14.022901111416,3.24523370882619
"Goodhue",17.5443898349265,0,3.51525639192319
"Hennepin",10.363724850186,9.12063161309218,4.52680363533664
"Isanti",18.9095350659863,0,10.8540417643726
"Le Sueur",23.6947585172119,0,3.31095706699711
"McLeod",14.7657576515122,0,15.2880238225661
"Pierce",12.7191084040464,1.44,5.67412045518329
"Polk",16.2859684421544,26.3191163318755,9.62717933320667
"Ramsey",9.0885648642682,6.89528937747088,3.7713513236687
"Rice",21.293104753571,32.5305921387349,4.73506053869014
"Scott",15.6381265741576,28.37,4.99593351511044
"Sherburne",21.7588777843237,22.26,8.09962847179224
"Sibley",10.3514531019364,0,50.118631859673
"St. Croix",20.2579386229593,27.9987865591691,7.61734229167203
"Washington",14.8486328402934,12.6794587340274,4.3266177695889
"Wright",20.8169168912716,37.8829704753411,6.39309099866125
"Total",13.3917115376216,12.6689210612111,5.37532029339164
