"","PERTYPE","mtf","freq"
"1",1,1,825593.238719874
"2",1,2,66173.277539776
"3",1,3,2216.95233230286
"4",1,5,64.043570530803
"5",2,1,93301.7876255417
"6",2,2,10236.4177124059
"7",3,1,19811.2672553956
"8",3,2,1173.29589695614
"9",3,3,21419.5213547386
"10",3,4,1145.77297717517
"11",3,5,2087.88630300649
"12",5,1,42.1681652946013
"13",6,1,5707.59700541391
"14",6,2,318.537627668238
"15",6,3,51931.8512033087
"16",6,4,2788.62303423195
"17",6,5,3313.85079609358
"18",7,3,204432.183148841
"19",7,4,5166.52448344039
"20",8,3,32295.5721878409
"21",8,4,880.323389922831
