"","PERTYPE","MTF","freq"
"1","1","1",995030.801535465
"2","2","1",94821.0396079223
"3","3","1",22410.2784461852
"4","6","1",7120.18261634494
"5","7","1",0
"6","8","1",0
"7","Total","1",1119382.30220592
"8","1","2",83865.966241917
"9","2","2",6683.39576683373
"10","3","2",1442.21727809433
"11","6","2",0
"12","7","2",0
"13","8","2",0
"14","Total","2",91991.5792868451
"15","1","3",2969.61864880899
"16","2","3",0
"17","3","3",23662.2983524126
"18","6","3",50584.8159277769
"19","7","3",210221.397380592
"20","8","3",37717.752520351
"21","Total","3",325155.882829941
"22","1","4",24.2735375275938
"23","2","4",0
"24","3","4",1858.20433369918
"25","6","4",2947.2290292435
"26","7","4",5333.30772796944
"27","8","4",1234.89282456401
"28","Total","4",11397.9074530037
"29","1","5",70.2511790780318
"30","2","5",0
"31","3","5",1763.43510744056
"32","6","5",3359.41216744474
"33","7","5",0
"34","8","5",0
"35","Total","5",5193.09845396333
