"pertype","tour_purp","tour_rate"
"FT Worker","Escorting",0.0847786495049708
"PT Worker","Escorting",0.13602918073657
"Univ Stud","Escorting",0.112006709750558
"Non Worker","Escorting",0.185388289697306
"Retiree","Escorting",0.0733592134516317
"Driv Stud","Escorting",0.0572453486846459
"NonDriv Stud","Escorting",0.141885756335096
"Pre-School","Escorting",0.202773393795348
"All","Escorting",0.10888315647805
"FT Worker","Shopping",0.0793454519530244
"PT Worker","Shopping",0.110704524314746
"Univ Stud","Shopping",0.0878076416144318
"Non Worker","Shopping",0.157077617639108
"Retiree","Shopping",0.212912982420198
"Driv Stud","Shopping",0.0313967631770774
"NonDriv Stud","Shopping",0.0241285046200126
"Pre-School","Shopping",0.0474524270413001
"All","Shopping",0.0913567027380939
"FT Worker","Maintenance",0.0864741665996082
"PT Worker","Maintenance",0.216380254648225
"Univ Stud","Maintenance",0.227300818603222
"Non Worker","Maintenance",0.128308448525052
"Retiree","Maintenance",0.350138660345263
"Driv Stud","Maintenance",0.0748040617180569
"NonDriv Stud","Maintenance",0.0557540383206151
"Pre-School","Maintenance",0.0414356378589396
"All","Maintenance",0.13040198274559
"FT Worker","EatingOut",0.0418078847878247
"PT Worker","EatingOut",0.0467678881501831
"Univ Stud","EatingOut",0.053157122656977
"Non Worker","EatingOut",0.0635728395531643
"Retiree","EatingOut",0.093494952203274
"Driv Stud","EatingOut",0.0443315492032198
"NonDriv Stud","EatingOut",0.0149488121018144
"Pre-School","EatingOut",0.0205059090899228
"All","EatingOut",0.0450916850745076
"FT Worker","Visiting",0.0294409981901709
"PT Worker","Visiting",0.0527513792886258
"Univ Stud","Visiting",0.04174677442974
"Non Worker","Visiting",0.0601826973447213
"Retiree","Visiting",0.0656849965998509
"Driv Stud","Visiting",0.0408755536362344
"NonDriv Stud","Visiting",0.0331320520626972
"Pre-School","Visiting",0.0281767111513874
"All","Visiting",0.0388306993616745
"FT Worker","Discretionary",0.123903020501198
"PT Worker","Discretionary",0.16930766677291
"Univ Stud","Discretionary",0.0803265065568748
"Non Worker","Discretionary",0.156365835894936
"Retiree","Discretionary",0.246583847343069
"Driv Stud","Discretionary",0.0521164127638207
"NonDriv Stud","Discretionary",0.0536619349702511
"Pre-School","Discretionary",0.0399971999883461
"All","Discretionary",0.124454813604719
"FT Worker","All",0.445750171536797
"PT Worker","All",0.73194089391126
"Univ Stud","All",0.602345573611804
"Non Worker","All",0.750895728654287
"Retiree","All",1.04217465236329
"Driv Stud","All",0.300769689183055
"NonDriv Stud","All",0.323511098410486
"Pre-School","All",0.380341278925244
"All","All",0.539019040002635
