"distbin","Anoka","Carver","Chisago","Dakota","Goodhue","Hennepin","Isanti","Le Sueur","McLeod","Pierce","Polk","Ramsey","Rice","Scott","Sherburne","Sibley","St. Croix","Washington","Wright","Total"
1,6345.4212748044,942.998631250094,199.833515018101,13662.9701125941,334.420907362527,24943.6395087013,1546.53346896567,0,2063.74729588077,213.564190881346,0,12276.0614807567,1337.91332903538,4060.15938902158,1850.62022115505,0,1621.379027633,11175.8157783342,2967.50397182024,85542.5821032145
2,4365.74691849732,2709.8733534522,0,18164.4260150233,67.1467895036344,25630.6661888681,790.659106052663,1137.03014686577,1344.67402583159,157.782323110385,684.398359274566,25856.2704577109,1076.9649180928,7487.04638845981,2019.27957804616,0,2142.95755564947,4976.74750127972,4090.09696035652,102701.766586075
3,8864.20561074679,4432.05551484918,1878.54009118159,12583.6630868314,4066.99311206847,30668.9683598886,0,49.9068571759044,0,1973.27572016461,657.457679038508,9601.12606066859,240.503830436324,3943.4877363528,0,0,519.231554683182,13537.7478565932,3970.18192660726,96987.3449972864
4,8267.84066843257,5672.41133462413,947.034863836676,10377.799769227,0,24807.7312439433,753.230136579209,0,0,0,889.445329736005,8964.83717346381,2425.63307104439,5505.51182263553,2005.22455994438,0,179.638496223212,4982.30678765705,317.538799675143,76096.1840570224
5,6066.87924871336,4473.4320220146,101.329644449105,5976.80775788792,0,19551.1917744783,0,726.867366499319,528.792471989076,812.56246128504,0,11885.3477120733,0,1070.40791756917,926.814610999785,0,1017.7483777976,1121.71932508784,4517.64483364178,58777.5455244862
6,1105.34161808117,274.482140249247,51.0735401775972,4301.69086224541,865.725454349928,16865.1610663951,275.419822665746,0,0,99.4299378879562,257.553584648046,1476.94246550249,0,1709.81557560536,1770.001406605,0,1836.47508557872,1309.74401545349,1578.48497806139,33777.3415535067
7,3219.495632502,1559.92603707159,51.0735401775972,2268.87342531934,149.186035012195,10942.2354393007,0,0,551.310934536404,986.637860082304,1410.56758898295,2039.42950691926,0,647.802261187861,1149.62661642711,0,4271.91219471098,689.88063541277,1394.9264410729,31332.8841487159
8,1418.66031140492,3810.92342661588,2389.94100745137,1762.79512072889,0,7015.69253964966,0,0,0,3011.00966135174,621.718929745075,2111.2245064729,620.889041150339,688.928754662535,1200.78639933955,0,0,2779.41536181872,1875.30821085239,29307.293271244
9,2024.32615379533,102.783986563678,199.833515018101,435.959548839608,244.143528534081,5780.6065721798,0,0,0,100.666074784227,0,3482.67523127085,0,917.370577166207,2283.34102168556,278.83062173612,554.027991943446,1260.77556731222,461.764944439474,18127.1053352687
10,1584.73208182672,637.690589359338,2336.34776750991,200.810261110504,0,5298.99900169026,430.618221505733,0,0,0,430.134025014299,2003.85391611237,0,1617.11654958704,1460.14678202554,0,716.891513101538,2783.18125516425,0,19500.5219640075
11,2438.63668302977,53.4716917677934,50.0521859213431,206.809060790679,215.467603957179,1856.84147056854,0,0,0,0,802.599923880564,580.609892062445,0,666.739923227046,2149.14221412556,0,1971.95858437407,1263.7748294196,1803.71153671344,14059.815599838
12,2904.33830080041,1156.39595547231,0,0,0,2325.76493244665,0,0,0,0,730.851051385216,0,101.527524711741,0,337.735619870573,0,1452.46881739635,3051.2867105005,1120.72191771969,13181.0908303034
13,1482.430385663,108.036096905674,100.104371842686,1036.46685279135,0,1668.29135223307,0,261.715919382614,0,0,658.792233110232,0,349.307926876256,0,809.678028813046,955.546671764057,4105.84450361333,422.83982494047,873.189429293353,12832.2435972291
14,80.0276223100608,512.502457828233,50.0521859213431,49.8919553056844,0,78.5587660925522,649.746578868631,84.7407073537849,0,0,667.840418453068,896.666919219253,548.344202719408,50.8735034771663,182.913590254704,0,183.020276015098,0,942.56558498028,4977.74476879927
15,0,970.478702688274,0,49.6116954625898,149.337737241875,1995.88096156162,0,0,0,0,0,880.241313992785,0,0,226.568604010923,0,450.882275253427,0,0,4723.0012902115
16,375.174794249238,0,709.356527186561,49.6116954625898,0,348.412182612783,512.320632821264,99.5584914945832,951.276985077536,0,0,102.381280117675,548.344202719408,0,551.408501770552,0,405.829184027686,0,854.13036585788,5507.80484339776
17,0,0,759.408713107904,0,0,952.366171820304,1639.79858359533,0,345.563884182591,0,2939.89444235232,268.139992243325,0,0,609.421227946215,0,0,0,0,7514.59301524799
18,0,0,709.356527186561,0,0,1368.71528788821,2344.98908496075,49.7792457472916,0,0,0,845.157752801927,0,0,263.146944355203,0,0,266.819805883223,0,5847.96464882316
19,50.8828536190796,242.521238807715,0,0,0,1006.50206129583,0,0,0,0,0,878.952654483269,0,0,0,0,0,585.789186357542,752.03026461075,3516.67825917419
20,55.5094623371031,0,0,0,0,198.857292788011,0,0,0,0,0,0,0,0,0,0,0,0,501.3535097405,755.720264865614
21,0,932.383460626026,0,50.1689746594617,0,659.628480498866,0,0,0,0,0,48.8677293521652,0,177.739299945365,0,0,943.257082145001,0,0,2812.04502722688
22,0,0,0,50.6819360428677,0,1059.41665415115,0,0,0,0,0,0,0,0,0,0,0,0,0,1110.09859019402
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,49.825435085476,2286.55411663248,1874.11453590705,0,0,0,0,0,0,0,493.615478580388,0,0,0,0,254.475577337144,4958.58514354254
25,52.6439091293176,0,0,52.3991217760297,0,0,0,0,0,0,0,0,0,785.895542883954,0,0,179.638496223212,0,0,1070.57707001251
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,101.363872085735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.363872085735
28,0,0,0,0,0,0,0,0,0,0,0,48.8677293521652,0,0,0,0,0,0,0,48.8677293521652
29,0,932.383460626026,0,0,0,0,0,0,0,0,0,0,0,0,551.408501770552,0,0,0,0,1483.79196239658
30,79.387600023406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.387600023406
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.087359837644,0,0,0,0,333.087359837644
32,0,0,0,0,0,656.916486526709,0,0,0,0,0,0,0,0,0,0,0,0,0,656.916486526709
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,100.104371842686,0,0,0,0,0,0,0,0,0,0,0,0,100.104371842686
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.146944355203,0,0,0,0,263.146944355203
36,0,0,51.0735401775972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0735401775972
37,0,0,0,573.798061799535,0,0,0,0,0,0,0,0,0,0,551.408501770552,0,0,0,0,1125.20656357009
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,452.071939345294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.071939345294
44,0,0,0,0,0,0,100.104371842686,0,0,0,0,0,0,0,0,0,0,0,0,100.104371842686
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
