"distbin","PURPOSE","freq"
1,"work",33977.2039905415
10,"work",20636.112489329
11,"work",12367.1329954226
12,"work",12933.554495433
13,"work",13667.5145114822
14,"work",3987.30162048271
15,"work",7520.10362456749
16,"work",5339.13906396964
17,"work",7119.63846572623
18,"work",4417.39557009857
19,"work",4307.97883455811
2,"work",316607.302060517
20,"work",4267.70938856377
21,"work",5168.11833458397
22,"work",2917.5449085961
23,"work",1955.38153175902
24,"work",1177.02624063117
25,"work",1825.26702471131
26,"work",562.001895745467
27,"work",628.960750048835
28,"work",386.041732883716
29,"work",612.0602083488
3,"work",196111.753856655
30,"work",1179.39069968936
31,"work",2923.72281445521
32,"work",703.941760414091
33,"work",398.39715558001
34,"work",1580.30122460405
35,"work",806.529757053105
36,"work",433.316077108801
37,"work",650.834714585289
38,"work",62.1539391274552
39,"work",1799.68516494449
4,"work",132377.419787996
40,"work",150.587069014068
41,"work",342.400856440182
42,"work",4389.84337083604
5,"work",68669.5217047875
6,"work",46424.0307108107
7,"work",44748.1439871748
8,"work",29720.2339813924
9,"work",23048.1798312766
1,"univ",1096.89773687018
10,"univ",2730.84253879176
11,"univ",328.659764062346
12,"univ",0
13,"univ",0
14,"univ",186.869382262124
15,"univ",0
16,"univ",17.4805427315261
17,"univ",26.382480171681
18,"univ",0
19,"univ",0
2,"univ",10793.037460097
20,"univ",12.513415758232
21,"univ",0
22,"univ",0
23,"univ",0
24,"univ",0
25,"univ",0
26,"univ",0
27,"univ",244.752442726819
28,"univ",0
29,"univ",12.1367687637969
3,"univ",6491.29278803372
30,"univ",0
31,"univ",245.285475587756
32,"univ",0
33,"univ",0
34,"univ",0
35,"univ",0
36,"univ",0
37,"univ",0
38,"univ",0
39,"univ",0
4,"univ",2566.22992342201
40,"univ",0
41,"univ",0
42,"univ",244.752442726819
5,"univ",3311.91094099743
6,"univ",380.459220063595
7,"univ",151.548968454099
8,"univ",470.507837742876
9,"univ",0
1,"sch",4395.85386424247
10,"sch",3774.57446676974
11,"sch",1450.19317418034
12,"sch",2025.00179107755
13,"sch",4121.69737255949
14,"sch",1947.20613409029
15,"sch",2164.64193763273
16,"sch",75.7041762285755
17,"sch",1349.16067196683
18,"sch",1080.03094595547
19,"sch",438.724331700362
2,"sch",33240.649019619
20,"sch",334.064057672606
21,"sch",427.089638748099
22,"sch",107.699918615838
23,"sch",1819.27034479447
24,"sch",39.1840807606587
25,"sch",56.0647410760335
26,"sch",853.438258703588
27,"sch",0
28,"sch",235.392320673374
29,"sch",0
3,"sch",24747.1956193764
30,"sch",0
31,"sch",46.5468774875391
32,"sch",24.9946823703651
33,"sch",94.5999066641762
34,"sch",375.471998747731
35,"sch",31.1940676467677
36,"sch",0
37,"sch",184.454758752624
38,"sch",0
39,"sch",0
4,"sch",13710.5494839426
40,"sch",66.7765475195254
41,"sch",0
42,"sch",2066.85676154218
5,"sch",6298.44676437878
6,"sch",3966.55572084204
7,"sch",4104.06528888676
8,"sch",3302.62687916283
9,"sch",3606.32150786336
1,"esco",6244.58555121284
10,"esco",5982.54482033682
11,"esco",4144.85689207074
12,"esco",5854.72623695003
13,"esco",5119.63523521314
14,"esco",4695.268132096
15,"esco",3216.55935753362
16,"esco",3237.03287043846
17,"esco",2703.02553279359
18,"esco",1866.1143301415
19,"esco",2114.24376317677
2,"esco",105573.20428229
20,"esco",1011.82831586217
21,"esco",934.860256833419
22,"esco",1479.65860060787
23,"esco",1729.52826032309
24,"esco",2318.54228260588
25,"esco",1743.71100124741
26,"esco",357.321863694646
27,"esco",263.460894848906
28,"esco",62.199296481059
29,"esco",1524.44489426914
3,"esco",58710.3980536522
30,"esco",397.178221332748
31,"esco",392.18864519129
32,"esco",97.0665904264593
33,"esco",724.797766514504
34,"esco",28.6287059137032
35,"esco",31.1614998745228
36,"esco",51.840386328894
37,"esco",174.860667197508
38,"esco",250.650385093524
39,"esco",12.4029238656475
4,"esco",45342.5463700873
40,"esco",265.589648941344
41,"esco",110.749382659041
42,"esco",1701.35363749995
5,"esco",28840.572853576
6,"esco",17261.5708634051
7,"esco",12950.2169018308
8,"esco",14360.0041085288
9,"esco",7642.77453556985
1,"imain",14995.8321094603
10,"imain",13725.8397562022
11,"imain",10254.668399992
12,"imain",5685.55607800403
13,"imain",8089.25130378807
14,"imain",5538.65702368754
15,"imain",5805.62056108142
16,"imain",4499.00639798485
17,"imain",5763.62949149474
18,"imain",2212.74608880053
19,"imain",3296.20780256777
2,"imain",305930.409012635
20,"imain",2793.87916768924
21,"imain",3586.20582520838
22,"imain",1844.54900317897
23,"imain",1231.94532142308
24,"imain",1153.36243456989
25,"imain",2067.8311975286
26,"imain",1070.18337757813
27,"imain",1210.66430644196
28,"imain",489.498062900066
29,"imain",2078.75584494822
3,"imain",118477.758432737
30,"imain",2348.23623814096
31,"imain",472.886213936155
32,"imain",121.78513785293
33,"imain",573.062157607887
34,"imain",2516.64297780138
35,"imain",575.006641178127
36,"imain",1433.0960092364
37,"imain",634.769034134619
38,"imain",1231.71018883819
39,"imain",98.5459425366463
4,"imain",89251.748271888
40,"imain",405.997302688133
41,"imain",363.879847998354
42,"imain",10795.5705932297
5,"imain",51125.380509629
6,"imain",41880.4313669919
7,"imain",29561.4559606641
8,"imain",24399.3733666145
9,"imain",17245.7579403556
1,"idisc",13821.8131188021
10,"idisc",7888.3329245759
11,"idisc",8668.3871216349
12,"idisc",7321.45444520312
13,"idisc",4282.67410325151
14,"idisc",5257.50309852957
15,"idisc",1818.39508032225
16,"idisc",2526.1608052518
17,"idisc",2343.87270910675
18,"idisc",4077.0974726198
19,"idisc",3268.51252393172
2,"idisc",188934.804819176
20,"idisc",3229.79570691062
21,"idisc",364.041287019441
22,"idisc",275.471553624941
23,"idisc",1200.98321123385
24,"idisc",2124.10065787868
25,"idisc",3564.96435494528
26,"idisc",1275.72502281354
27,"idisc",711.713960389824
28,"idisc",809.645837249797
29,"idisc",717.026084632704
3,"idisc",105449.218625569
30,"idisc",383.783692831509
31,"idisc",1671.66924882609
32,"idisc",75.6258969180841
33,"idisc",576.301880787824
34,"idisc",632.931496290455
35,"idisc",107.735054179136
36,"idisc",149.91947759065
37,"idisc",734.615727234343
38,"idisc",117.729838222555
39,"idisc",121.391400034259
4,"idisc",66044.3520580911
40,"idisc",53.515977520252
41,"idisc",25.6335788133052
42,"idisc",4680.26998797326
5,"idisc",32971.5800709583
6,"idisc",24712.91943491
7,"idisc",15952.4028579391
8,"idisc",19034.7771430405
9,"idisc",9770.51923125699
1,"jmain",817.12382669644
10,"jmain",400.895896988644
11,"jmain",1729.73395724331
12,"jmain",1118.75756171757
13,"jmain",927.243657367197
14,"jmain",28.5883989288212
15,"jmain",552.703088256073
16,"jmain",0
17,"jmain",360.342924124876
18,"jmain",0
19,"jmain",30.5850747490543
2,"jmain",28801.7775047674
20,"jmain",256.116511663718
21,"jmain",52.7607016962512
22,"jmain",0
23,"jmain",795.929230359268
24,"jmain",588.314420431283
25,"jmain",193.129434180636
26,"jmain",99.9011100664809
27,"jmain",0
28,"jmain",0
29,"jmain",12.4029238656475
3,"jmain",10126.7258034653
30,"jmain",0
31,"jmain",0
32,"jmain",0
33,"jmain",0
34,"jmain",0
35,"jmain",0
36,"jmain",0
37,"jmain",0
38,"jmain",0
39,"jmain",0
4,"jmain",8234.32374811623
40,"jmain",0
41,"jmain",1063.64537912709
42,"jmain",398.647580327398
