"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",36914.1706049074,1749.26420435025,142.507206704315,7021.12219333298,78975.8347716062,28900.9458583408,673.550540422949,243.151746330034,0
"2",4240.71906455291,3628.22281174712,0,154.332735401971,3694.31477520063,287.978708548763,0,0,12.1367687637969
"3",1354.30262609482,0,17506.3537768859,10860.61391957,3301.47007270256,4504.01920235516,80.8725017612716,21.6608881329442,0
"4",264214.151052055,5588.93851393704,33645.494931605,154240.097456779,114752.596269287,78500.8049343159,2360.04968633936,4246.24895078172,2993.3929183507
"5",284380.257721622,3515.37814435869,15945.1805955511,72981.6321666895,313259.562165159,158492.214311552,48810.0427673677,16059.8133887031,8694.64597069215
"6",121579.440681298,6676.52655245034,16703.2214591468,31446.0485787954,254674.768244236,78312.6535336295,25578.5343591457,3320.45695028351,4579.89276597249
"7",163150.356689551,5095.17197680538,12973.1729675638,55126.234501608,126774.917536097,105844.97463365,25722.9330246869,11466.9413885726,16694.762333445
"8",53413.6610659293,1478.66308847302,4862.14831652034,23153.0950314596,66150.8955422688,82864.4448748026,5695.79500394375,4244.02577109634,1028.24805712081
"9",101849.297665666,5425.17857052473,10425.7558775096,23371.9964896408,65618.4011458823,162023.112480399,5690.27742840305,8514.72962658673,4514.84086901221
"10",0,0,0,0,0,0,0,0,0
