"timebin","purpose","freq_stop","freq_trip"
1,"atwork",0,403.298606906408
10,"atwork",105.854705683056,21908.0470752137
11,"atwork",242.569923618168,24085.2844121553
12,"atwork",1174.86507414742,23682.133523269
13,"atwork",245.256512152018,29066.8647461728
14,"atwork",571.873754838946,36471.58830879
15,"atwork",462.074697259486,31973.9487423856
16,"atwork",1493.18730458092,47794.1319276355
17,"atwork",3313.62169336246,72185.08792019
18,"atwork",6805.28523015403,77564.8037346026
19,"atwork",2269.01156822305,76356.0924526217
2,"atwork",0,795.626821773888
20,"atwork",7870.40508980762,73112.2096263454
21,"atwork",4586.65273345737,43941.831630955
22,"atwork",1402.97258875384,39041.2273287921
23,"atwork",1533.63238193358,41192.2454017999
24,"atwork",2765.37849834187,36789.599304239
25,"atwork",1186.43687810134,31039.4835240592
26,"atwork",485.38234997036,21017.5744740473
27,"atwork",1667.27835626845,26885.7029529735
28,"atwork",1483.63808706202,15944.214014659
29,"atwork",1489.50276429049,9828.06489733943
3,"atwork",0,1970.39681972797
30,"atwork",76.6342123851766,7755.55167060564
31,"atwork",537.064282139352,8572.33748433522
32,"atwork",209.613905993855,4935.18713473883
33,"atwork",174.027212906195,3998.32290556802
34,"atwork",39.1980416122635,2537.63814007257
35,"atwork",0,1468.66885374691
36,"atwork",0,419.442931984536
37,"atwork",0,919.084100837905
38,"atwork",0,1092.27921903135
39,"atwork",0,149.404826013473
4,"atwork",0,1202.53504065111
40,"atwork",0,12.1506131408829
41,"atwork",0,21.3591767430667
42,"atwork",0,0
43,"atwork",0,0
44,"atwork",0,17.0048013416881
45,"atwork",0,0
46,"atwork",0,99.5933735815637
47,"atwork",0,0
48,"atwork",0,0
5,"atwork",0,1790.15325099973
6,"atwork",0,4571.23438268941
7,"atwork",0,11478.1888207401
8,"atwork",39.8591203928355,10623.4504873592
9,"atwork",770.774651185167,18060.621780111
1,"esco",0,1896.21046036066
10,"esco",7120.3528926006,55899.6107500992
11,"esco",10451.8789496107,53024.8116371063
12,"esco",11401.6911050523,42671.07363738
13,"esco",8184.14015217557,30230.7380506907
14,"esco",11171.7926235607,24181.9728831161
15,"esco",7119.40478452469,20255.3183059124
16,"esco",7175.33892729116,17391.2143827284
17,"esco",6660.96609560381,19039.4723177297
18,"esco",9070.32869585241,23438.1406406656
19,"esco",7387.63597901357,20800.9489542619
2,"esco",0,397.871031781887
20,"esco",9070.66884442292,19367.2104915406
21,"esco",11553.3677657774,26489.599161139
22,"esco",13311.0113951173,28465.6155280503
23,"esco",11346.6462899944,35594.1738754981
24,"esco",15078.4189227276,43035.1630226905
25,"esco",23788.3880432607,64819.3673389009
26,"esco",15358.6565709917,59783.101316948
27,"esco",20455.7017983064,60719.734669683
28,"esco",21739.3291810464,62861.3401619936
29,"esco",18328.7331510549,57648.5083205825
3,"esco",0,309.151306056506
30,"esco",18853.6909479172,61041.2978705292
31,"esco",18727.6781890986,46471.8557085417
32,"esco",13294.3101899618,40463.6282752886
33,"esco",11195.7024437751,33989.1721098811
34,"esco",9930.89087515706,29541.364638571
35,"esco",9331.27762462828,32404.1760369325
36,"esco",7187.23122960771,19931.5458442522
37,"esco",6240.68373904689,17914.1524363834
38,"esco",3562.63024059419,11055.6978863142
39,"esco",1761.66411223281,5542.48673327336
4,"esco",0,1062.72747012901
40,"esco",1005.31729280542,2083.41132486422
41,"esco",145.004589644973,623.195731809875
42,"esco",621.639852165604,1759.60805397106
43,"esco",291.487652684994,1067.32625731644
44,"esco",0,63.2423246786178
45,"esco",16.4575569898397,45.5568846391391
46,"esco",0,131.983509448614
47,"esco",145.743826342497,145.743826342497
48,"esco",0,34.0439883306852
5,"esco",484.187864612285,4884.92880920186
6,"esco",2435.98806711024,8739.76703892185
7,"esco",1189.27678655813,14775.1710160297
8,"esco",5474.84383765241,38865.1758817252
9,"esco",6970.53672953736,55260.9944981672
1,"idisc",24.5393308550104,1798.25257476593
10,"idisc",12942.6610301507,51782.3534179889
