"purpose","nstops","freq_out","freq_inb"
"work","1",921831.777997932,726118.592877829
"univ","1",21441.9081154869,21157.9741134058
"sch","1",282013.113794808,252901.901728813
"esco","1",343352.937320954,318725.452313522
"imain","1",469495.422386572,445262.414326426
"idisc","1",515733.263650048,502775.168708145
"jmain","1",119866.074060292,96568.1822215807
"jdisc","1",180519.959863056,169495.004853946
"atwork","1",612401.71891016,613585.030347313
"Total","1",3466656.17609931,3146589.72149098
"work","2",177611.365239913,274527.211608819
"univ","2",3934.56443357766,4065.83006557467
"sch","2",22933.3319509231,37188.6515451428
"esco","2",57946.8748309619,69712.4086825491
"imain","2",122549.211613738,138992.992301753
"idisc","2",84817.3950969538,102395.33851898
"jmain","2",23278.2272944523,35979.3398919084
"jdisc","2",28233.3142072352,31450.1834585181
"atwork","2",15960.1007310556,13783.2912026468
"Total","2",537264.385398811,708095.247275893
"work","3",41974.1165603642,107292.560443114
"univ","3",3502.15434301444,2004.27928005517
"sch","3",4606.00250047384,10996.8839173816
"esco","3",16945.1002387537,30324.9330296477
"imain","3",44253.9137225056,58650.7580661327
"idisc","3",34701.8034427767,37069.3490180812
"jmain","3",6881.09374556238,12386.0615985642
"jdisc","3",3675.97795216357,8276.13006322262
"atwork","3",2158.54041199703,2802.12984465566
"Total","3",158698.702917611,269803.085260854
"work","4",21284.5238837694,54763.4187522161
"univ","4",979.287818890475,2629.83125193382
"sch","4",724.68010494765,9189.69115981509
"esco","4",18369.3652846279,17851.4836495789
"imain","4",60314.0614907041,53706.4445192088
"idisc","4",42183.1501863518,35195.7561309241
"jmain","4",4308.89436355655,9400.70575180954
"jdisc","4",1279.42485124396,4487.35849801233
"atwork","4",416.366278233539,766.274936830735
"Total","4",149859.754262325,187990.964650329
