"purpose","nstops","freq"
"work","1",599230.892211224
"univ","1",15794.3649499217
"sch","1",236721.915725826
"esco","1",255689.94404919
"imain","1",288598.741195853
"idisc","1",389976.366213779
"jmain","1",76217.3875708396
"jdisc","1",146219.795907362
"atwork","1",597957.909756657
"Total","1",2606407.31758065
"work","2",295192.306057307
"univ","2",6029.13916068275
"sch","2",40054.0459121819
"esco","2",86250.0007620344
"imain","2",173967.430302356
"idisc","2",130219.348104876
"jmain","2",42110.2409836984
"jdisc","2",44032.3022460514
"atwork","2",24699.7638418563
"Total","2",842554.577371044
"work","3",157518.44969877
"univ","3",3583.64596516938
"sch","3",20984.4537916136
"esco","3",51807.3987089468
"imain","3",95487.4091128682
"idisc","3",66524.6568686295
"jmain","3",17739.5655209997
"jdisc","3",14816.0785071377
"atwork","3",6849.13336913893
"Total","3",435310.791543274
"work","4",83706.695793137
"univ","4",2291.73284492915
"sch","4",11546.9247591086
"esco","4",32577.4725294991
"imain","4",115691.984824145
"idisc","4",72781.3715822722
"jmain","4",13296.4032645993
"jdisc","4",7437.61975954654
"atwork","4",960.070855651264
"Total","4",340290.276212888
"work","5",19001.4864724669
"univ","5",1043.65016210876
"sch","5",441.798458782844
"esco","5",8663.24527086726
"imain","5",18164.3717701359
"idisc","5",12185.161184478
"jmain","5",3965.63862704477
"jdisc","5",1153.26875813818
"atwork","5",428.610953609111
"Total","5",65047.2316576318
"work","6",6851.20065492244
"univ","6",1097.90108542626
"sch","6",527.989703639715
"esco","6",1145.59812751763
"imain","6",3478.65660753821
"idisc","6",1953.91436996366
"jmain","6",450.779087049219
"jdisc","6",0
"atwork","6",27.456196527188
"Total","6",15533.4958325843
"work","7",1200.75279415108
"univ","7",17.4805427315261
"sch","7",0
"esco","7",480.618227241945
"imain","7",1224.01540062429
"idisc","7",3794.79405213257
"jmain","7",554.274409631862
"jdisc","7",49.6116954625898
"atwork","7",13.7813580067242
"Total","7",7335.32847998258
