"purpose","stop_purp","freq"
"work","1",36914.1706049074
"univ","1",1749.26420435025
"sch","1",142.507206704315
"esco","1",7021.12219333298
"imain","1",78975.8347716062
"idisc","1",28900.9458583408
"jmain","1",673.550540422949
"jdisc","1",243.151746330034
"atwork","1",0
"Total","1",154620.547125995
"work","10",0
"univ","10",0
"sch","10",0
"esco","10",0
"imain","10",0
"idisc","10",0
"jmain","10",0
"jdisc","10",0
"atwork","10",0
"Total","10",0
"work","2",4240.71906455291
"univ","2",3628.22281174712
"sch","2",0
"esco","2",154.332735401971
"imain","2",3694.31477520063
"idisc","2",287.978708548763
"jmain","2",0
"jdisc","2",0
"atwork","2",12.1367687637969
"Total","2",12017.7048642152
"work","3",1354.30262609482
"univ","3",0
"sch","3",17506.3537768859
"esco","3",10860.61391957
"imain","3",3301.47007270256
"idisc","3",4504.01920235516
"jmain","3",80.8725017612716
"jdisc","3",21.6608881329442
"atwork","3",0
"Total","3",37629.2929875026
"work","4",264214.151052055
"univ","4",5588.93851393704
"sch","4",33645.494931605
"esco","4",154240.097456779
"imain","4",114752.596269287
"idisc","4",78500.8049343159
"jmain","4",2360.04968633936
"jdisc","4",4246.24895078172
"atwork","4",2993.3929183507
"Total","4",660541.774713451
"work","5",284380.257721622
"univ","5",3515.37814435869
"sch","5",15945.1805955511
"esco","5",72981.6321666895
"imain","5",313259.562165159
"idisc","5",158492.214311552
"jmain","5",48810.0427673677
"jdisc","5",16059.8133887031
"atwork","5",8694.64597069215
"Total","5",922138.727231695
"work","6",121579.440681298
"univ","6",6676.52655245034
"sch","6",16703.2214591468
"esco","6",31446.0485787954
"imain","6",254674.768244236
"idisc","6",78312.6535336295
"jmain","6",25578.5343591457
"jdisc","6",3320.45695028351
"atwork","6",4579.89276597249
"Total","6",542871.543124958
"work","7",163150.356689551
"univ","7",5095.17197680538
"sch","7",12973.1729675638
"esco","7",55126.234501608
"imain","7",126774.917536097
"idisc","7",105844.97463365
"jmain","7",25722.9330246869
"jdisc","7",11466.9413885726
"atwork","7",16694.762333445
"Total","7",522849.46505198
"work","8",53413.6610659293
"univ","8",1478.66308847302
"sch","8",4862.14831652034
"esco","8",23153.0950314596
"imain","8",66150.8955422688
"idisc","8",82864.4448748026
"jmain","8",5695.79500394375
"jdisc","8",4244.02577109634
"atwork","8",1028.24805712081
"Total","8",242890.976751615
"work","9",101849.297665666
"univ","9",5425.17857052473
"sch","9",10425.7558775096
"esco","9",23371.9964896408
"imain","9",65618.4011458823
"idisc","9",162023.112480399
"jmain","9",5690.27742840305
"jdisc","9",8514.72962658673
"atwork","9",4514.84086901221
"Total","9",387433.590153625
