"","work","univ","sch","esc","imain","idisc","jmain","jdisc","atwork"
"1",2360.36404304209,0,4459.46927762919,41366.0728596135,25784.9641690705,25011.6500800721,5186.90379313312,8822.05453924645,216191.97153757
"2",8417.13292314443,0,9243.27097006638,126775.679878802,88215.3146618794,93504.2470512291,30498.5969376436,40997.8925294396,260140.045188971
"3",7662.53567639516,12.1367687637969,3835.78628418585,50070.6257015617,90624.1380894351,80292.5134504634,38969.5175501501,31508.1581212089,70791.9915703793
"4",12524.1733944192,1579.75802634203,3616.7838046422,30750.6413944544,70483.8153357193,87650.6806000662,23693.3530656225,40686.875411571,33579.9315765312
"5",12135.967775901,154.088381049082,2308.18647249136,20529.8558299971,65467.9816234271,63743.5984131409,17338.5097116276,30908.970329674,7477.48875722019
"6",12781.1346412385,787.077621629087,2706.6682266753,20849.2353949004,52606.1118973565,57546.0343685999,19259.7985795013,22318.1597876865,6508.26217359581
"7",14277.0379996616,113.54784252605,947.111545757635,8955.80893566909,29285.715318456,43590.2761392387,10565.4214987856,19549.104124415,3338.95173816124
"8",24551.7786799813,1483.41710664737,3810.9535520709,10296.2789438738,35389.4210523673,35771.0542595277,6306.05246777816,12359.7579826305,1184.94210264704
"9",16204.6764047808,466.616143578416,852.123824630396,6232.42432439629,16707.0137644973,22539.8206830699,1808.73353130197,8015.23219327219,1378.9438470408
"10",17524.0155721776,1299.95261899429,1044.66991979832,3256.99071243638,14680.6600032845,21616.9731535682,2454.51612411627,3591.49589404735,544.965611908552
"11",18931.1143922571,1808.74610873371,3475.81331006083,3916.05028360756,11462.703620884,19228.7337933496,1580.70062630207,3810.79598510352,652.369122623387
"12",20922.2824319185,2291.28140227852,2381.9088052607,5699.449605861,9024.33630335116,10968.1687296359,1193.1242827058,1056.1310320762,1471.47952041087
"13",25350.3294974556,2629.34362588934,4038.58812104734,2251.33555598287,7001.74741055266,7616.74108353179,1468.07178453536,1299.91367040494,516.519740509729
"14",20426.0879842559,2578.99290930391,8272.35428081252,2437.16718112324,11644.4593671314,4278.48946801622,142.817863158432,1610.00723795611,2172.06726591781
"15",22519.3664962387,2502.98714344683,20987.9184536887,4517.49787283879,7742.55456215561,7848.23982450069,5810.8670226927,84.720738809084,16.5372318208633
"16",29929.9967176676,440.680957683916,45008.8185536723,4480.39393281823,6129.36078102122,5860.64727116677,0,207.922274237474,9.50395098286647
"17",29439.2949310131,1825.15382433214,32812.7808224289,4051.10862869682,8248.00236749281,6086.70296503812,0,197.52804505174,12.35915503773
"18",47703.6248505057,898.524237145457,26915.7522888642,4678.6255796454,5525.20922544108,3835.93313163657,0,135.385128892653,608.45443629619
"19",82662.4203434466,643.992066537671,19903.6676485173,8672.36501220507,5466.63788573045,1667.30821103366,0,0,128.171533216121
"20",131795.805147698,1601.05270586798,12644.3468058625,10303.0515034281,3868.35455396769,3493.04280269994,584.19767080029,50.0521859213431,45.2242919987407
"21",125655.356327038,32.9426101613126,14759.2746787458,7181.8841034819,5819.40158852198,3078.23093134031,691.738509386367,0,0
"22",108752.635553015,719.959364586281,8919.89732569195,9249.83506989722,5257.96602966122,2675.7036107647,53.1212770806407,0,0
"23",70315.2225178896,26.6564602225875,4781.60606188181,5208.6510119323,3777.45382654915,3072.37331027127,0,0,0
"24",49383.8810163919,1215.55655795055,2316.77226185208,1840.93477919304,4175.4300075357,5706.29114216478,0,0,13.0997804440074
"25",40509.7361416056,162.23623929832,4093.86638978615,2274.06262157524,1328.71025799943,1942.77424741895,0,0,9.50395098286647
"26",32634.5978092989,295.533337883272,4117.59309814239,769.877323362487,2487.98860678725,841.604187730047,0,0,25.5327504205593
"27",14812.9074290845,235.202142921369,2056.50977616855,512.590052631438,3418.21796558921,436.939986675628,0,48.7007276613003,0
"28",17273.3468187326,458.973728840624,1658.47015650712,761.011504074172,177.266905439964,469.750521388442,0,0,0
"29",12613.274954366,13.012386824976,333.588128447598,225.378143874393,1806.87284994771,891.045502913783,0,0,0
"30",10725.039546871,780.64364688574,54.1317247522538,393.960523448483,899.934919805808,950.346240010456,0,0,0
"31",5518.75932461194,0,380.064511620842,365.780703429358,12.7878319163369,302.207641379554,0,0,0
"32",3290.82434494008,24.3537011018382,13.3679229419483,63.2705331639036,343.031124130054,336.310600286107,0,0,0
"33",1952.52688715673,0,682.345621085364,32.763013868919,0,129.137424126065,0,0,0
"34",2664.6492433171,0,12.5130464803358,0,0,0,0,0,0
"35",912.556132515678,0,0,0,66.7840063560433,0,0,0,0
"36",140.205315300997,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0
"38",36.587811036601,0,0,0,0,12.2696654275052,0,0,0
"39",53.4191250286321,0,0,0,0,0,0,0,0
"40",323.391123691559,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0
