"distbin","PURPOSE","freq"
1,"esco",54732.2371993228
10,"esco",18423.0414867131
11,"esco",7108.4974212932
12,"esco",6088.92479051415
13,"esco",5639.30436090614
14,"esco",7880.82295532612
15,"esco",4460.31789092717
16,"esco",4858.21395646756
17,"esco",1288.34574917159
18,"esco",3559.11337638364
19,"esco",3198.05188876799
2,"esco",73560.4621668473
20,"esco",1728.63465974789
21,"esco",3672.40720391571
22,"esco",1493.70651138852
23,"esco",546.620196279384
24,"esco",978.267290927238
25,"esco",1516.16335075247
26,"esco",1663.21340585119
27,"esco",1035.63594198003
28,"esco",297.010401359738
29,"esco",1280.24809594235
3,"esco",53637.3556730489
30,"esco",116.238999674764
31,"esco",1130.17413481015
32,"esco",10.3421037988842
33,"esco",12.5917585047176
34,"esco",71.3503048838607
35,"esco",95.0767732479349
36,"esco",51.0735401775972
37,"esco",251.620401918997
38,"esco",18.254663751485
39,"esco",212.42980212422
4,"esco",52603.4889401201
40,"esco",392.404769214458
41,"esco",3251.42484451577
5,"esco",34229.284067987
6,"esco",30499.2444339404
7,"esco",20248.2897557064
8,"esco",28967.3476182079
9,"esco",12800.7327523648
1,"imain",118471.573654425
10,"imain",20666.5286312354
11,"imain",17766.6910878893
12,"imain",17448.977912716
13,"imain",11264.6935131579
14,"imain",8523.94323612137
15,"imain",9462.23450682929
16,"imain",8966.76917312005
17,"imain",6454.32293691516
18,"imain",4721.15940779274
19,"imain",5015.78492919826
2,"imain",102954.947007911
20,"imain",7477.50063514597
21,"imain",5461.29034228266
22,"imain",4500.02780512246
23,"imain",4208.40956654017
24,"imain",5912.51255410159
25,"imain",2537.01508130818
26,"imain",2398.85049750985
27,"imain",3980.62554366449
28,"imain",942.928179348379
29,"imain",2398.51133597802
3,"imain",71608.6297519918
30,"imain",436.180440437299
31,"imain",2323.68537173234
32,"imain",616.590425621104
33,"imain",1654.47626674863
34,"imain",1918.9058218554
35,"imain",732.842204290663
36,"imain",1050.07939392018
37,"imain",612.354375141532
38,"imain",219.441382864795
39,"imain",688.502145795273
4,"imain",67336.773328519
40,"imain",1098.46171891708
41,"imain",10391.9794803325
5,"imain",57198.4592653556
6,"imain",40926.1902677474
7,"imain",33565.8189634539
8,"imain",33658.4762317838
9,"imain",23924.1969681797
1,"idisc",123429.139086823
10,"idisc",24393.3275791274
11,"idisc",16912.0208527659
12,"idisc",11050.6974016792
13,"idisc",9993.9946313823
14,"idisc",10812.536624216
15,"idisc",5823.37038516811
16,"idisc",13492.8927804153
17,"idisc",6416.17288894172
18,"idisc",5398.42466259841
19,"idisc",4854.28330942773
2,"idisc",93783.1635283698
20,"idisc",6127.35138232356
21,"idisc",4065.5166778197
22,"idisc",4917.14768700967
23,"idisc",2507.26898834193
24,"idisc",2107.90633356281
25,"idisc",2020.48235481308
26,"idisc",1094.32957486271
27,"idisc",4498.17117081721
28,"idisc",1075.49967289609
29,"idisc",3907.34718718445
3,"idisc",87140.9528281589
30,"idisc",1533.90076885173
31,"idisc",287.550288990898
32,"idisc",830.410259351266
33,"idisc",821.167257819379
34,"idisc",1458.32544366581
35,"idisc",1046.53076693064
36,"idisc",498.066588994443
37,"idisc",886.518213722479
38,"idisc",840.185106020472
39,"idisc",105.352189894958
4,"idisc",53964.5418624527
40,"idisc",91.3531238128524
41,"idisc",8832.20515664302
5,"idisc",55027.581685185
6,"idisc",37477.3463663413
7,"idisc",26602.695712181
8,"idisc",23045.6821236885
9,"idisc",18313.8483341124
1,"jmain",13567.5123476192
10,"jmain",5544.2817025326
11,"jmain",708.138934323762
12,"jmain",1691.80069339591
13,"jmain",4090.97790538041
14,"jmain",5136.88000265021
15,"jmain",1908.01796453338
16,"jmain",975.700503569885
17,"jmain",476.658872569823
18,"jmain",850.174404682819
19,"jmain",35.262654190684
2,"jmain",27921.7014859625
20,"jmain",1844.3351413393
21,"jmain",3358.98645948693
22,"jmain",1265.3545167018
23,"jmain",1447.77012554183
24,"jmain",2047.33349106859
25,"jmain",505.444214336368
26,"jmain",1082.99609720215
27,"jmain",0
28,"jmain",288.839178622844
29,"jmain",277.17555448561
3,"jmain",19690.554562988
30,"jmain",973.315992459099
31,"jmain",1547.99865422059
32,"jmain",0
33,"jmain",953.781978310491
34,"jmain",961.559079347905
35,"jmain",103.066109477314
36,"jmain",0
37,"jmain",950.336250083511
38,"jmain",136.713729346422
39,"jmain",0
4,"jmain",16330.8453915112
40,"jmain",118.174756302492
41,"jmain",140.488257680259
5,"jmain",15462.5109035522
6,"jmain",15077.4398855026
7,"jmain",8259.38133637027
8,"jmain",6974.01167708358
9,"jmain",7774.28555633744
1,"jdisc",46640.4483258023
10,"jdisc",5379.38371022123
11,"jdisc",3182.72320820489
12,"jdisc",2209.61006374704
13,"jdisc",5571.12741349932
14,"jdisc",4925.87945692682
15,"jdisc",1858.61196154777
16,"jdisc",5435.95380765679
17,"jdisc",2732.32463468061
18,"jdisc",3446.90892337198
19,"jdisc",557.985871627769
2,"jdisc",32439.9823585875
20,"jdisc",1951.8145664664
21,"jdisc",394.500504697008
22,"jdisc",765.841362873877
23,"jdisc",428.144007956009
24,"jdisc",1456.31483631523
25,"jdisc",969.815131530662
26,"jdisc",0
27,"jdisc",202.278811473776
28,"jdisc",0
29,"jdisc",2468.06484391493
3,"jdisc",21106.8156029511
30,"jdisc",247.13974051433
31,"jdisc",220.885549855768
32,"jdisc",1176.35262658502
33,"jdisc",176.066308538831
34,"jdisc",863.466322517474
35,"jdisc",345.563884182591
36,"jdisc",809.678028813046
37,"jdisc",86.5460147201091
38,"jdisc",0
39,"jdisc",51.4369713736149
4,"jdisc",19963.005949902
40,"jdisc",0
41,"jdisc",416.262262746466
5,"jdisc",21573.0053686567
6,"jdisc",12447.6656240636
7,"jdisc",9956.29328432607
8,"jdisc",15185.9806558401
9,"jdisc",5859.99005075868
1,"atwork",152800.608764202
10,"atwork",11195.8997344756
11,"atwork",12540.1115153158
12,"atwork",7034.5445921911
13,"atwork",11240.2463347417
14,"atwork",11656.8583436716
15,"atwork",6537.16919459717
16,"atwork",8201.16888029586
17,"atwork",5296.7995807567
18,"atwork",6946.20205515091
19,"atwork",3417.29235095632
2,"atwork",78036.6124637085
20,"atwork",3744.41507174483
21,"atwork",4154.13913786828
22,"atwork",2570.72399603307
23,"atwork",1215.10234716783
24,"atwork",1601.00677275355
25,"atwork",4266.11068660422
26,"atwork",1419.52648568165
27,"atwork",1827.30242317332
28,"atwork",2046.36409032186
29,"atwork",2674.64351050558
3,"atwork",61432.4970738102
30,"atwork",980.929734804542
31,"atwork",407.508144607241
32,"atwork",224.617667838913
33,"atwork",161.859623923417
34,"atwork",226.779326064827
35,"atwork",1010.72500132851
36,"atwork",754.792474877059
37,"atwork",965.725603291346
38,"atwork",274.19123908476
39,"atwork",143.252351190679
4,"atwork",50204.6133077833
40,"atwork",950.152154721571
41,"atwork",7618.43198906048
5,"atwork",35242.1194489052
6,"atwork",25039.6505050226
7,"atwork",24719.2377868628
8,"atwork",19445.9346726578
9,"atwork",10870.9391382931
1,"Total",509641.519378194
10,"Total",85602.4628443054
11,"Total",58218.1830197929
12,"Total",45524.5554542434
13,"Total",47800.3441590678
14,"Total",48936.9206189121
15,"Total",30049.7219036029
16,"Total",41930.6991015254
17,"Total",22664.6246630356
18,"Total",24921.9828299805
19,"Total",17078.6610041688
2,"Total",408696.869011387
20,"Total",22874.051456768
21,"Total",21106.8403260703
22,"Total",15512.8018791294
23,"Total",10353.3152318272
24,"Total",14103.341278729
25,"Total",11815.030819345
26,"Total",7658.91606110753
27,"Total",11544.0138911088
28,"Total",4650.64152254891
29,"Total",13005.9905280109
3,"Total",314616.805492949
30,"Total",4287.70567674176
31,"Total",5917.80214421698
32,"Total",2858.31308319518
33,"Total",3779.94319384547
34,"Total",5500.38629833528
35,"Total",3333.80473945765
36,"Total",3163.69002678233
37,"Total",3753.10085887798
38,"Total",1488.78612106793
39,"Total",1200.97346037875
4,"Total",260403.268780288
40,"Total",2650.54652296846
41,"Total",30650.7919909785
5,"Total",218732.960739642
6,"Total",161467.537082618
7,"Total",123351.7168389
8,"Total",127277.432979262
9,"Total",79543.9928000461
