"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",10598.9058619156,0,48.8531567334574,1896.21046036066,2053.51596482113,1798.25257476593,0,238.433452755483,403.298606906408
"2",9156.08895914159,0,1109.48057552695,397.871031781887,2871.25206244483,1325.96315406555,0,0,795.626821773888
"3",18938.3437666406,17.4625385055247,548.344202719408,309.151306056506,3646.24225530681,1583.80888471739,0,58.4042446910426,1970.39681972797
"4",30210.0075742712,0,0,1062.72747012901,4018.09195575675,5237.74411639308,0,0,1202.53504065111
"5",47186.7369458374,569.619966509028,328.763928757116,4884.92880920186,9190.53727230462,11845.5690596128,64.5055155467863,708.102726382331,1790.15325099973
"6",85003.4732173128,217.938628684098,12141.363521887,8739.76703892185,15469.4514154649,18155.5149180318,114.252411145383,1605.84911081137,4571.23438268941
"7",117525.291837922,1435.18130918632,28647.6424417214,14775.1710160297,27063.6493712719,18203.4452912387,475.974814592072,263.79283204922,11478.1888207401
"8",170134.995416367,7395.82849601449,44942.2156521639,38865.1758817252,30737.7960422856,31137.2753936749,1455.27697825906,715.185892571712,10623.4504873592
"9",195306.039383681,3278.86741040734,76032.6760112266,55260.9944981672,40556.0552586454,40605.8732814183,463.454203709761,2870.86423868138,18060.621780111
"10",174427.575331289,3894.12492603342,54699.1835467913,55899.6107500992,48617.3273401607,51782.3534179889,1355.16142715934,3141.38017413644,21908.0470752137
"11",133021.591631112,3872.23086061925,54268.2544223999,53024.8116371063,55812.7753278044,44468.6632882942,4501.74539330982,2139.80184084802,24085.2844121553
"12",86654.4015919635,2564.61773760531,27330.2298664563,42671.07363738,70224.0697242133,51743.2864868456,6205.93375567686,5615.6507905155,23682.133523269
"13",67032.2886595066,1366.95202770718,14955.2010434371,30230.7380506907,81510.5484179054,59792.5539972843,6632.07635077129,3817.59901437978,29066.8647461728
"14",42591.8851333523,1074.09369024606,3085.55915056583,24181.9728831161,81753.7573655736,53493.7738236082,11426.8035081884,3223.60981427933,36471.58830879
"15",34292.6941602881,1569.43429701155,2552.85892543732,20255.3183059124,70490.7551553388,51139.7172294971,11441.5652198353,7016.86907548044,31973.9487423856
"16",34589.2461364177,3480.64635808688,2816.56505630636,17391.2143827284,65663.3811265336,46920.4637219326,6833.26782221915,6198.46731456927,47794.1319276355
"17",43529.81009593,2748.02019425632,4980.01336922107,19039.4723177297,84366.6521538904,54434.9452585385,12810.7122245722,7856.12341254432,72185.08792019
"18",44280.9099273083,5712.53317386306,4141.65264873779,23438.1406406656,92685.4537934853,50628.737355768,10719.8817218164,10090.5270018019,77564.8037346026
"19",52434.2424567131,6229.17037928613,3755.61366733061,20800.9489542619,87662.4808383516,53546.7711101069,10369.7056855219,5951.11974437062,76356.0924526217
"20",57339.6798300726,2154.24835503949,4455.80403644677,19367.2104915406,84164.2701485602,51783.3340348225,11218.3648003721,4736.25119945274,73112.2096263454
"21",65875.7666073877,3978.69312205654,18149.2498058484,26489.599161139,78762.891057591,52737.2663479028,9514.33534970279,4179.87554618031,43941.831630955
"22",64718.5892576627,5295.49569687493,19822.4695944702,28465.6155280503,92016.5873528089,53551.3513584413,11881.0713073972,4626.39192086884,39041.2273287921
"23",85275.5879471468,2893.25875810999,48525.2657501454,35594.1738754981,95667.6704208057,51428.5322581175,10926.4804559441,7935.72935946845,41192.2454017999
"24",104691.297858316,2287.27865277,43110.5956017501,43035.1630226905,102677.449099954,58177.8505556176,9823.95150064121,5490.22118015311,36789.599304239
"25",135170.592421595,2385.89994432716,57969.6585185858,64819.3673389009,81205.4831080942,63164.4076028475,5785.20247641835,5738.9609068383,31039.4835240592
"26",198976.567423122,2446.32914274933,44061.1963757358,59783.101316948,94017.2809983477,76306.9317971377,5756.36637844902,6223.63296461934,21017.5744740473
"27",231064.947491946,2301.87280964287,42183.4409316942,60719.734669683,90842.1933892449,80946.2020259361,4744.1289762668,11213.8278213709,26885.7029529735
"28",216925.405015621,961.796270507294,34053.4255778878,62861.3401619936,86523.9001494565,88125.144640572,5478.49702825071,8164.6854970433,15944.214014659
"29",181197.36763882,1722.91591130051,29183.1484164264,57648.5083205825,93808.2975405475,92949.0470902816,7418.03935197991,11557.6464747936,9828.06489733943
"30",138411.453516775,3337.45717513006,14979.2618805156,61041.2978705292,70776.4418403614,92351.2266904167,7107.20347560971,15406.0819027713,7755.55167060564
"31",99437.4351082685,2056.88290235105,9628.41163387803,46471.8557085417,61439.94218284,103757.895816806,9249.98084759932,17847.9070450377,8572.33748433522
"32",59059.3638280508,1531.38417680184,3575.84949193351,40463.6282752886,47821.5681516058,94626.0498152179,6643.59346330817,13296.4847598298,4935.18713473883
"33",57537.1001800916,1814.08608283304,8010.20484118109,33989.1721098811,59315.8765256794,64833.9565411233,7058.49215506061,13751.7906452403,3998.32290556802
"34",38542.0535786506,776.611161475702,4943.1539749696,29541.364638571,42803.6060917222,65234.3616108521,4914.62116757705,10827.6297442758,2537.63814007257
"35",34754.9999267856,908.539411170264,5165.18780410841,32404.1760369325,41524.0789177865,60408.7223245637,3680.8278989653,7918.43113372739,1468.66885374691
"36",24134.8988412601,2173.89745949823,2050.08204514836,19931.5458442522,24343.3294174583,47234.9802019101,2369.52417522845,5532.93418845796,419.442931984536
"37",23792.9323052102,3017.80003478036,2244.16525406513,17914.1524363834,21862.1561835478,37357.6905580374,1068.87132668046,3390.93589749625,919.084100837905
"38",22998.3925305533,479.785682362647,606.211962444583,11055.6978863142,8982.20002411981,19103.857010804,710.685087779391,1662.25904112513,1092.27921903135
"39",13729.3020918709,364.985065915351,12.4498775611576,5542.48673327336,6212.90312208798,14274.1794818719,80.0129049511076,819.751569838061,149.404826013473
"40",14220.1368230814,135.013808421634,0,2083.41132486422,5054.29238151702,7692.00914028529,0,802.811337594322,12.1506131408829
"41",7845.12589167757,414.452522618038,12.1693365360418,623.195731809875,2584.63385296017,5237.93346182006,13.012386824976,298.707209823621,21.3591767430667
"42",5726.14145857977,0,0,1759.60805397106,629.539451808267,1988.50680277839,13.012386824976,707.800236161568,0
"43",3521.53629538456,0,12.1693365360418,1067.32625731644,671.817103960953,1189.04642122288,0,235.392320673374,0
"44",4522.83962210805,0,0,63.2423246786178,841.337559998612,823.218594460415,0,470.784641346748,17.0048013416881
"45",1862.42283476236,0,0,45.5568846391391,327.512459650882,677.406595806781,0,0,0
"46",1935.31897878707,0,0,131.983509448614,2350.2833357738,2761.08047305871,0,0,99.5933735815637
"47",4729.44879772619,0,0,145.743826342497,3462.82667131881,1119.57879190501,0,0,0
"48",4253.50357992756,0,0,34.0439883306852,1043.88843957023,1104.06563527983,0,0,0
