"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",26458.6338730538,5698.29569369441,2000.80090971761,0,0,0,0,0,249.161323840208,0
"2",0,83177.114673617,45137.1242592566,0,0,179.590741716358,0,0,12505.1541478201,0
"3",0,0,244905.814182664,0,0,1051.08633442825,0,0,19969.1584460272,0
"4",0,3935.63655609448,2391.65831788485,13144.8434174079,12.4321695843496,214.221425251434,0,0,4436.27387880098,0
"5",832.897368658761,26.220814097289,344.692241167971,0,4372.11578461505,0,0,0,112.567763723441,0
"6",0,0,0,0,0,24058.1066083874,0,0,2631.67819006756,0
"7",0,0,0,0,0,0,0,0,0,0
"8",0,0,12.3972673515797,0,0,0,0,1719.04110715966,26.1227205071058,0
"9",0,0,0,0,0,0,0,0,229214.586124767,0
"10",0,0,0,0,0,0,0,0,0,0
"11",0,0,25.7800022723898,0,0,0,0,0,0,0
