"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",4503906.50016162,649511.817077689,301670.370089026,0,0,29554.5028495708,7621.59377920586,0,0,0
"2",0,2227557.47529484,375638.635425493,0,0,16405.9237224033,5064.20996277128,0,0,0
"3",0,0,1842004.34239975,0,0,9553.30637357127,2961.58051703117,0,0,0
"4",86557.2212629554,70478.1831142592,42845.0479837363,699012.131822673,4065.14782083667,50483.2231442244,13589.3459848363,8629.90450149526,0,0
"5",4773.154055707,5114.8980807785,2157.95290695288,0,104078.124164226,4259.13419435083,5092.48804871417,62.2060189176999,0,0
"6",0,0,0,0,0,299745.11194926,13685.1590997841,0,0,0
"7",0,0,0,0,0,0,41742.4775483357,0,0,0
"8",1023.24990796086,2320.83586163131,675.975940247023,0,0,2894.6398109613,731.656095877622,22255.1564865425,0,0
"9",0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0
"11",10080.3745273404,14680.4319836398,5994.86117341185,1261.40188415626,16.2335758871001,1302.80854976675,2558.72824813257,1906.62895984483,0,0
