"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",30341.9197241901,1618.00553441888,5817.6547184651,0,0,1652.16644046829,77.2839895755891,0,0,0
"2",0,9532.86790347945,755.382011673743,0,0,563.659040595805,784.86817864764,0,0,0
"3",0,0,2729.64733973633,0,0,12.1367687637969,0,0,0,0
"4",7025.78684199276,2649.17943084209,16.1823583517292,4141.49191373677,1397.9219028072,2657.14727460089,1038.3331617831,17.1778181189488,0,0
"5",0,0,0,0,3255.57562551525,0,0,0,0,0
"6",0,0,0,0,0,9593.350164074,766.867829101595,0,0,0
"7",0,0,0,0,0,0,1458.45568296396,0,0,0
"8",0,0,0,0,0,21.6012958844504,0,17.1778181189488,0,0
"9",0,0,0,0,0,0,0,0,583.180258297138,0
"10",0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,340.385114554716,0,0,0
