"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",1928686.84437539,277752.021163457,158058.932168849,0,0,8239.98034021472,5319.32605961421,0,195.939610210484,0
"2",0,358429.688150076,51311.1928070482,0,0,6244.93386010739,1894.59412400621,0,0,0
"3",0,0,158995.749800336,0,0,3030.86042175483,1159.06552538658,0,0,0
"4",24521.7320730765,15375.5408044855,5858.75231999378,25079.1086871509,452.179939757673,14158.4413188696,1695.35570734775,260.285477288406,0,0
"5",1077.0765469724,873.214633424964,261.441978838131,0,17700.2880850185,1674.89655170162,280.140475175147,25.7667271784232,0,0
"6",0,0,0,0,0,78141.054636799,6024.8925323189,0,0,0
"7",0,0,0,0,0,0,26006.4517788207,0,0,0
"8",405.699221935731,1877.73655305302,120.854977202082,0,0,1448.57184058781,25.1682959879105,4333.96182007431,0,0
"9",0,0,0,0,0,0,0,0,587.818830631452,0
"10",0,0,0,0,0,0,0,0,0,0
"11",3334.79442094862,2303.51130711829,465.76374461309,38.8990492378997,0,182.338853586539,323.663269703572,0,0,0
