"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",721230.088516657,84517.1300238276,35585.2301848693,0,0,2252.05527493292,348.08968201349,0,1465.57660337828,0
"2",0,327436.075253744,63944.2086116187,0,0,2834.23872985165,200.277000327587,0,1425.06196108136,0
"3",0,0,343145.310550634,0,0,1979.32236047531,1696.39425691711,0,642.906118097451,0
"4",25423.3606831056,25064.3860377532,19497.0423434396,268675.312885733,1051.64124348382,6307.71798412836,9727.07548736725,7036.77184126903,391.879220420968,0
"5",2091.13821209197,1079.84565330229,365.748304890188,0,27827.2195267869,2122.90668710716,4283.14818419532,0,28.5883989288212,0
"6",0,0,0,0,0,34246.7216312848,2349.38596340749,0,0,0
"7",0,0,0,0,0,0,5743.92798847621,0,0,0
"8",364.332293241013,346.622643043694,445.898139368255,0,0,353.343525453091,0,5799.92470949288,0,0
"9",0,0,0,0,0,0,0,0,3455.18279017847,0
"10",0,0,0,0,0,0,0,0,0,0
"11",1331.16552966452,2444.59654117626,2597.68038794936,165.614388718673,0,265.925594906339,86.5605741218038,719.959744538553,12.4029238656475,0
