"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",1160715.78150536,243181.732233677,102057.49188698,0,0,13232.4522999623,1823.84961852215,0,12.8772916043314,0
"2",0,586784.288176477,180210.237510403,0,0,5206.49685743037,1470.10829194118,0,4631.35542814498,0
"3",0,0,547569.551516606,0,0,2903.27729522455,165.381314557456,0,4780.16807225399,0
"4",20737.0205593177,19261.2268566074,14083.1660163892,107207.099055073,644.180932170847,22607.7504685417,570.991782037307,347.527816749893,63.0319133158522,0
"5",604.674788443971,1485.72645446169,1032.60582503457,0,19897.7910084775,789.287842835778,390.204395194797,19.2614736203278,0,0
"6",0,0,0,0,0,71103.9865124418,3946.04962943685,0,12.3705736471792,0
"7",0,0,0,0,0,0,5955.79418959446,0,0,0
"8",238.201067402435,61.7384467120912,276.396686031675,0,0,1514.62905142653,706.487799889712,6689.01372597845,0,0
"9",0,0,0,0,0,0,0,0,15196.7839870151,0
"10",0,0,0,0,0,0,0,0,0,0
"11",3503.51973378173,3779.20532906142,1715.21702932208,101.423675694964,16.2335758871001,1312.43179416977,1808.11928975248,1162.39567777869,0,0
