"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",0,0,0,0,0,0,0,0,0,0
"2",0,133571.713066769,2761.12564074545,0,0,647.599741888107,0,0,0,0
"3",0,0,70791.6515875348,0,0,109.702459739608,0,0,0,0
"4",0,733.070201236394,938.300173656066,35245.4271895688,230.901527426457,0,169.536208370032,0,0,0
"5",0,331.529459530974,107.215055544408,0,4815.62563882162,0,0,0,0,0
"6",0,0,0,0,0,1186.47084760469,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,242.03292720462,0,0
"9",0,0,0,0,0,0,0,0,974.75607288546,0
"10",0,0,0,0,0,0,0,0,0,0
"11",0,0,63.9858807113017,12.788460927925,0,0,0,0,0,0
