"tripmode","tourmode","purpose","value","grp_var"
"1","Auto SOV","work",1971808.51087171,"worktourmode1"
"10","Auto SOV","work",0,"worktourmode1"
"2","Auto SOV","work",0,"worktourmode1"
"3","Auto SOV","work",0,"worktourmode1"
"4","Auto SOV","work",22064.7416758727,"worktourmode1"
"5","Auto SOV","work",1002.41235794858,"worktourmode1"
"6","Auto SOV","work",0,"worktourmode1"
"7","Auto SOV","work",0,"worktourmode1"
"8","Auto SOV","work",632.844210796209,"worktourmode1"
"9","Auto SOV","work",0,"worktourmode1"
"1","Auto 2 Person","work",289738.627229208,"worktourmode2"
"10","Auto 2 Person","work",0,"worktourmode2"
"2","Auto 2 Person","work",391504.5331804,"worktourmode2"
"3","Auto 2 Person","work",0,"worktourmode2"
"4","Auto 2 Person","work",14939.0259001993,"worktourmode2"
"5","Auto 2 Person","work",807.313807064536,"worktourmode2"
"6","Auto 2 Person","work",0,"worktourmode2"
"7","Auto 2 Person","work",0,"worktourmode2"
"8","Auto 2 Person","work",1334.03700732831,"worktourmode2"
"9","Auto 2 Person","work",0,"worktourmode2"
"1","Auto 3+ Person","work",160448.952635237,"worktourmode3"
"10","Auto 3+ Person","work",0,"worktourmode3"
"2","Auto 3+ Person","work",59732.6489842284,"worktourmode3"
"3","Auto 3+ Person","work",167196.08622281,"worktourmode3"
"4","Auto 3+ Person","work",5905.08950592408,"worktourmode3"
"5","Auto 3+ Person","work",190.778790133615,"worktourmode3"
"6","Auto 3+ Person","work",0,"worktourmode3"
"7","Auto 3+ Person","work",0,"worktourmode3"
"8","Auto 3+ Person","work",201.698942526765,"worktourmode3"
"9","Auto 3+ Person","work",0,"worktourmode3"
"1","Walk","work",0,"worktourmode4"
"10","Walk","work",0,"worktourmode4"
"2","Walk","work",0,"worktourmode4"
"3","Walk","work",0,"worktourmode4"
"4","Walk","work",26143.6068869173,"worktourmode4"
"5","Walk","work",0,"worktourmode4"
"6","Walk","work",0,"worktourmode4"
"7","Walk","work",0,"worktourmode4"
"8","Walk","work",0,"worktourmode4"
"9","Walk","work",0,"worktourmode4"
"1","Bike/Moped","work",0,"worktourmode5"
"10","Bike/Moped","work",0,"worktourmode5"
"2","Bike/Moped","work",0,"worktourmode5"
"3","Bike/Moped","work",0,"worktourmode5"
"4","Bike/Moped","work",229.249357032548,"worktourmode5"
"5","Bike/Moped","work",16430.1804696184,"worktourmode5"
"6","Bike/Moped","work",0,"worktourmode5"
"7","Bike/Moped","work",0,"worktourmode5"
"8","Bike/Moped","work",0,"worktourmode5"
"9","Bike/Moped","work",0,"worktourmode5"
"1","Walk-Transit","work",8692.86741897902,"worktourmode6"
"10","Walk-Transit","work",0,"worktourmode6"
"2","Walk-Transit","work",8442.24656913101,"worktourmode6"
"3","Walk-Transit","work",3858.54508541038,"worktourmode6"
"4","Walk-Transit","work",14326.9538809915,"worktourmode6"
"5","Walk-Transit","work",867.780079181143,"worktourmode6"
"6","Walk-Transit","work",74728.2489848187,"worktourmode6"
"7","Walk-Transit","work",0,"worktourmode6"
