"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Hennepin","Hennepin","Auto 2 Person","Shop",110715.565945486
"Hennepin","Hennepin","Walk-Transit","University",8832.85868029549
"Hennepin","Hennepin","Walk","Discretionary",105968.961769055
"Hennepin","Hennepin","Walk-Transit","Discretionary",16128.8896254365
"Hennepin","Hennepin","Walk-Transit","School",14576.1763778282
"St. Croix","Ramsey","Auto SOV","Work",5699.80005758608
"Ramsey","Washington","Auto SOV","Work",28038.8961740403
"Wright","Wright","Auto 3+ Person","Shop",3418.93528571283
"Wright","Wright","Auto 3+ Person","Work",1454.48153421741
"Wright","Wright","Auto SOV","Work",33274.9953052575
"Wright","Wright","Auto 3+ Person","Discretionary",4788.37386178763
"Hennepin","Hennepin","Auto 2 Person","Work",139732.053330638
"Wright","Hennepin","Auto 2 Person","Escort",2324.18272686158
"Hennepin","Hennepin","Auto 2 Person","Escort",127131.639768722
"Hennepin","Hennepin","Auto SOV","Escort",62687.4486913401
"Hennepin","Hennepin","Auto SOV","Eating Out",47872.0044286924
"Hennepin","Hennepin","Auto 2 Person","Eating Out",67362.3510476345
"Hennepin","Anoka","Auto SOV","Work",38418.776871735
"Anoka","Anoka","Auto SOV","Work",118507.415416081
"Hennepin","Hennepin","Bike/Moped","Work",14307.2971502273
"Polk","St. Croix","Auto SOV","Work",486.274581648667
"St. Croix","Polk","Auto SOV","Work",1425.22294285001
"Ramsey","Ramsey","Auto SOV","Work",181810.200488346
"Ramsey","Hennepin","Auto SOV","Work",64362.5871050047
"Hennepin","Ramsey","Auto SOV","Work",73806.3638295115
"Ramsey","Ramsey","Auto SOV","Work-based",54148.3510485069
"Ramsey","Ramsey","Auto SOV","Shop",64865.4250320694
"Ramsey","Ramsey","Auto SOV","Eating Out",22615.8886215471
"Scott","Hennepin","Auto SOV","Work",11114.3507644812
"Hennepin","Hennepin","Auto SOV","Work",626766.517802369
"Scott","Scott","Auto SOV","Work",41085.2536937586
"Hennepin","Scott","Walk-Transit","Work-based",140.712141846097
"Scott","Scott","Walk","Work-based",1344.3504079802
"Hennepin","Ramsey","Auto SOV","Shop",3998.33015153527
"Ramsey","Hennepin","Auto SOV","Visiting",3203.81935726043
"Hennepin","Hennepin","Auto SOV","Visiting",45889.5529330583
"Hennepin","Dakota","Auto SOV","Maintenance",4276.78364586417
"Dakota","Hennepin","Auto SOV","Maintenance",4274.25062788775
"Hennepin","Ramsey","Auto SOV","Maintenance",17182.2708574103
"Ramsey","Ramsey","Auto SOV","Maintenance",79337.4251446617
"Ramsey","Dakota","Auto SOV","Maintenance",1817.86946093697
"Dakota","Rice","Auto SOV","Maintenance",1643.42514281412
"Rice","Rice","Auto SOV","Work",28647.8357571476
"Rice","Rice","Auto 2 Person","Work",5899.19958665735
"Rice","Rice","Auto 2 Person","Maintenance",4875.73850255265
"Rice","Rice","Auto 2 Person","Discretionary",3944.6749409074
"Hennepin","Hennepin","Auto 2 Person","Maintenance",72443.6012524245
"Hennepin","Hennepin","Auto SOV","Maintenance",181977.953010246
"Hennepin","Hennepin","TNR-Transit","School",66670.1640848555
"Hennepin","Hennepin","Auto 2 Person","School",38059.2505835715
"Ramsey","Ramsey","Walk-Transit","Work",15703.4114801649
"Ramsey","Ramsey","Walk","Work-based",41122.2699425757
"Hennepin","Hennepin","Auto SOV","Shop",175862.725358
"Dakota","Dakota","Auto SOV","Shop",58405.8733032067
"Dakota","Dakota","Auto 2 Person","Shop",49957.5209067901
"Dakota","Hennepin","Auto 2 Person","Shop",3305.95359260048
"Hennepin","Hennepin","Auto 3+ Person","Eating Out",27601.9474782935
"Dakota","Dakota","Auto 2 Person","Eating Out",25196.4329320719
"Dakota","Hennepin","Auto 3+ Person","Eating Out",1114.99837402722
"Hennepin","Hennepin","Auto SOV","Discretionary",158205.408838184
"Hennepin","Hennepin","Auto SOV","Work-based",158735.292605595
"Hennepin","Hennepin","Auto 2 Person","Visiting",57331.0449892847
"Hennepin","Hennepin","Auto 2 Person","Discretionary",62938.950219614
"Ramsey","Ramsey","Auto 2 Person","Escort",50044.0805564486
"Ramsey","Ramsey","Auto 2 Person","Shop",35395.1571428522
"Ramsey","Ramsey","Auto SOV","Escort",25836.7921090268
"Ramsey","Ramsey","Auto 2 Person","Work",44237.9815656283
"Ramsey","Ramsey","Auto 2 Person","School",9530.84662213503
"Hennepin","Hennepin","Auto 3+ Person","School",58493.3683737028
"Dakota","Dakota","Auto SOV","Escort",25229.3821750393
"Dakota","Hennepin","Auto 2 Person","Escort",3596.5793382985
"Dakota","Dakota","Auto SOV","Maintenance",38102.9975829225
"Hennepin","Hennepin","Walk-Transit","Maintenance",27239.2714238936
"Hennepin","Washington","Auto SOV","Maintenance",1767.4662628147
"Washington","Dakota","Auto SOV","Maintenance",739.196035274405
"Dakota","Dakota","Walk","Discretionary",29288.5102275764
"Dakota","Dakota","Auto 2 Person","Visiting",8448.22476235886
"Dakota","Hennepin","Auto 2 Person","Visiting",633.211451292261
"Dakota","Dakota","Auto SOV","Discretionary",47724.1910444997
"Hennepin","Hennepin","Walk","Shop",26641.4551924862
"Ramsey","Anoka","Auto SOV","Maintenance",1916.1398260514
"Anoka","Ramsey","Auto SOV","Discretionary",1926.91465595074
"Ramsey","Ramsey","Auto SOV","Discretionary",50563.0245800672
"Ramsey","Hennepin","Walk-Transit","Work",3453.74936706409
"Hennepin","Ramsey","Walk-Transit","Work",2722.15106129145
"Dakota","Dakota","Walk-Transit","Maintenance",753.1731745662
"Dakota","Dakota","Walk","Maintenance",2810.28964578077
"Hennepin","Hennepin","Auto 3+ Person","Escort",87816.2180498281
"Hennepin","Hennepin","Auto 3+ Person","Work",46558.5631699036
"Sherburne","Hennepin","Auto SOV","Work",10449.8702849582
"Hennepin","Sherburne","Auto SOV","Work",7875.55377125283
"Sherburne","Isanti","Auto 2 Person","Work",426.510057890793
"Isanti","Anoka","Auto SOV","Work",3618.31213165806
"Anoka","Sherburne","Auto SOV","Work",4881.78682581459
"Sherburne","Isanti","Walk","School",142.170019296931
"Isanti","Hennepin","Walk","School",142.170019296931
"Hennepin","Washington","Auto SOV","Work",13503.1151108358
"Washington","St. Croix","Auto SOV","Work",6868.3905135462
"St. Croix","Pierce","Auto SOV","Work",4703.42607843881
"Ramsey","Ramsey","Auto 2 Person","University",1762.83835998177
"Ramsey","Ramsey","Auto SOV","University",9891.52963922186
"Ramsey","Ramsey","Walk","Discretionary",42668.2736391561
"Ramsey","Ramsey","Auto 3+ Person","Work",20868.4793328563
"Ramsey","Ramsey","Auto 3+ Person","Escort",40688.2823048109
"Ramsey","Ramsey","Auto 3+ Person","School",36922.8493659774
"Ramsey","Hennepin","Auto 2 Person","Work",10788.4757514512
"Ramsey","Hennepin","Auto 2 Person","School",2185.81226710388
"Anoka","Ramsey","Auto SOV","Eating Out",1224.18556973312
"Anoka","Washington","Auto SOV","Work",9350.62379621068
"Washington","Anoka","Auto SOV","Work",10201.9937015354
"Anoka","Anoka","Auto SOV","Discretionary",40140.7375865968
"Sherburne","Wright","Auto 3+ Person","Work",696.671629884687
"Wright","Wright","Auto 2 Person","Discretionary",11146.5542103872
"Wright","Sherburne","Auto 2 Person","Discretionary",2201.78685975958
"Sherburne","Sherburne","Auto 2 Person","Discretionary",4386.39626624908
"Sherburne","Wright","Auto SOV","Work",6715.8754278727
"Wright","Sherburne","Auto SOV","Work",7632.73791819779
"Sherburne","Sherburne","Auto SOV","Work",30824.9955657667
"Wright","Sherburne","Auto SOV","Work-based",560.497712983678
"Sherburne","Wright","Auto SOV","Work-based",601.349506960029
"Sherburne","Sherburne","TNR-Transit","School",14960.3630289049
"Sherburne","Sherburne","Auto 3+ Person","Shop",2335.69050818418
"Sherburne","Wright","Auto 3+ Person","Shop",1423.68210840519
"Dakota","Dakota","Auto SOV","Work",150183.524112408
"Dakota","Dakota","Auto SOV","Work-based",42318.4490702177
"Washington","Hennepin","Auto SOV","Work",13267.7913511654
"Wright","Hennepin","Auto 2 Person","Work",4405.55501407182
"Hennepin","Wright","Auto SOV","Work",22295.7032007524
"Wright","Hennepin","Auto SOV","Maintenance",2927.57474313088
"Hennepin","Wright","Auto 2 Person","Maintenance",1329.51562916612
"Wright","Hennepin","Auto 2 Person","Visiting",1321.13210096516
"Hennepin","Wright","Auto 2 Person","Visiting",762.080976584646
"Dakota","Hennepin","Auto 2 Person","Eating Out",910.830200233707
"Rice","Dakota","Auto SOV","Work",5107.71878270886
"Dakota","Rice","Auto SOV","Work",4670.96558838233
"Ramsey","Dakota","Auto SOV","Work",22730.1411128636
"Dakota","Ramsey","Auto SOV","Work",21223.3089557769
"Hennepin","Hennepin","Walk-Transit","Work",45457.9601152974
"Hennepin","Hennepin","Walk","Work",44162.4953137595
"Hennepin","Wright","Auto SOV","Maintenance",2745.69671291199
"Wright","Wright","Auto 3+ Person","Maintenance",3657.12542017261
"Wright","Wright","Auto SOV","Maintenance",17116.3824126421
"Anoka","Hennepin","Auto SOV","Work",40578.188218709
"Ramsey","Ramsey","Auto 3+ Person","Eating Out",13302.1875791418
"Ramsey","Ramsey","Walk","University",4844.60316040228
"Ramsey","Ramsey","Walk","Eating Out",6629.919597876
"Dakota","Dakota","Auto 2 Person","Escort",56962.0830351642
"Dakota","Dakota","Auto 2 Person","Discretionary",28776.1374320322
"Dakota","Ramsey","Auto SOV","Discretionary",1662.73398324491
"Sherburne","Sherburne","Auto SOV","Escort",2868.48350207067
"Sherburne","Sherburne","Auto SOV","Shop",6261.66194953881
"Sherburne","Ramsey","Auto SOV","Discretionary",15.8128364955191
"Ramsey","Hennepin","Auto SOV","Discretionary",4707.23908881245
"Ramsey","Hennepin","Auto SOV","Maintenance",18720.8157338952
"Scott","Dakota","Auto SOV","Maintenance",464.864286907402
"Dakota","Ramsey","Auto SOV","Maintenance",3103.02600017191
"Ramsey","Dakota","Auto SOV","Discretionary",1841.23133420055
"Dakota","Scott","Auto SOV","Discretionary",1145.59910483981
"Scott","Dakota","Auto SOV","Work",6495.11192614359
"Hennepin","Scott","Auto SOV","Work",11300.4490988541
"Hennepin","Carver","Auto SOV","Work",21053.5578995813
"Carver","Carver","Auto SOV","Work",26289.5895620987
"Carver","Carver","Auto SOV","Work-based",10195.5862000273
"Carver","Hennepin","Auto SOV","Work-based",1334.54878349026
"Hennepin","Carver","Auto SOV","Work-based",2057.80458945102
"Carver","Hennepin","Auto SOV","Work",18665.8129967848
"Carver","Hennepin","Auto 3+ Person","Escort",3089.64871945236
"Hennepin","Carver","Auto 3+ Person","Escort",3766.9591575196
"Hennepin","Carver","TNR-Transit","School",141.041920334596
"Carver","Hennepin","TNR-Transit","School",118.818107182087
"Carver","Carver","Auto 3+ Person","Escort",18139.2688113215
"Hennepin","Hennepin","Auto 3+ Person","Discretionary",42818.5532535836
"Hennepin","Hennepin","Auto 3+ Person","Maintenance",30824.6187985545
"Washington","Washington","Auto 2 Person","Maintenance",25225.5092549442
"Washington","Washington","Auto 3+ Person","Discretionary",7318.21894462016
"Washington","Washington","Auto 2 Person","Discretionary",13676.5378716821
"Washington","Washington","Auto 2 Person","Escort",29736.1865387612
"Ramsey","Ramsey","Walk-Transit","Maintenance",10642.7339693542
"Dakota","Hennepin","Auto SOV","Work",44623.6275299429
"Ramsey","Dakota","Auto SOV","Work-based",2740.46417132716
"Ramsey","Ramsey","Auto 2 Person","Discretionary",32962.6969768733
"Ramsey","Ramsey","Auto 3+ Person","Discretionary",12772.0941408601
"Ramsey","Anoka","Auto 3+ Person","Discretionary",1986.56865915612
"Washington","Washington","Auto SOV","Work",104051.031916533
