"distbin","Anoka","Carver","Chisago","Dakota","Goodhue","Hennepin","Isanti","Pierce","Polk","Ramsey","Rice","Scott","Sherburne","St. Croix","Washington","Wright","Total"
1,0,0,0,869.972127124538,0,3141.01090547903,0,0,0,3346.84954906041,49.7286783373982,0,0,0,0,0,7407.56126000137
2,0,0,0,0,0,6647.51879744156,0,685.300664702813,0,378.797801757808,0,0,0,0,291.590129148569,0,8003.20739305075
3,0,0,0,0,0,425.443551410419,0,0,0,68.7112724757952,0,0,0,0,0,0,494.154823886214
4,0,0,0,637.815473263986,0,2013.35330245181,0,0,0,3453.59326757973,596.570174946498,0,0,0,0,0,6701.33221824202
5,0,0,0,0,0,4217.20363375181,0,0,0,2511.07585288095,0,0,0,0,0,0,6728.27948663276
6,890.499533624463,0,0,869.972127124538,0,2989.83956840617,1718.45627487334,0,0,1695.80249991612,0,0,0,0,0,0,8164.57000394464
7,265.300075085109,0,0,0,0,985.764338721295,0,0,0,286.481820765369,0,0,0,0,0,0,1537.54623457177
8,184.755448815023,0,0,0,0,2068.97539137507,0,0,0,124.01173650632,0,0,0,0,1006.46995797526,0,3384.21253467167
9,0,0,0,663.623757898818,0,857.789668450889,0,0,0,175.719855442577,0,0,0,0,0,0,1697.13328179228
10,0,242.521238807715,0,225.752684279071,0,2153.66735633217,0,0,0,696.392965802907,0,0,0,0,542.580151591574,0,3860.91439681343
11,1314.39832872012,0,0,0,0,930.359273272786,0,0,0,88.5397622071363,0,0,0,0,0,0,2333.29736420004
12,0,0,0,0,0,2779.00474260189,0,0,0,69.0293567583118,0,0,0,0,776.075881373881,0,3624.10998073408
13,210.981026047994,0,0,622.677918837606,0,713.230499024006,0,0,0,417.04331246796,0,0,0,0,35.7944020696602,0,1999.72715844723
14,959.074950923264,50.14491577912,0,713.121892810601,0,2229.36483779414,0,0,0,428.421258630779,0,0,0,0,0,0,4380.12785593791
15,0,0,0,0,0,1303.6286474053,0,0,0,49.6389640203239,0,0,0,0,0,0,1353.26761142562
16,927.746414872282,0,0,0,0,404.165541075207,0,0,0,970.941501103753,0,0,0,0,586.640870649183,0,2889.49432770042
17,76.3289432063003,0,0,0,93.2525716809352,191.964147021465,0,0,0,557.730188236899,0,0,0,0,0,0,919.275850145599
18,0,942.998631250094,0,52.387615516574,0,0,0,0,0,953.423114774852,0,0,0,0,0,0,1948.80936154152
19,1469.30798258553,0,0,49.6116954625898,0,912.75726108212,0,0,0,0,0,0,0,0,148.703717389983,0,2580.38065652022
20,0,0,0,1056.89193316018,0,911.345668322238,0,0,0,0,0,0,0,0,0,0,1968.23760148241
21,0,0,0,0,0,769.256010949231,0,0,0,0,0,0,0,0,51.5953775240936,0,820.851388473325
22,0,0,0,0,0,2012.60150619877,0,0,0,53.257323940858,0,0,0,0,0,149.764603283329,2215.62343342296
23,0,0,0,623.409757262125,0,2052.60700820354,0,0,280.285158590588,0,0,0,98.0848104865285,0,0,0,3054.38673454279
24,54.2567171663153,0,0,0,0,1786.69673990899,0,0,0,51.3013448157085,0,0,0,0,48.7007276613003,0,1940.95552955232
25,0,0,0,952.464135373487,0,180.23147408823,0,0,0,0,0,0,0,772.366804200845,0,0,1905.06241366256
26,0,0,177.620228033602,0,0,34.3556362378976,0,0,0,0,0,215.259219923661,0,981.141902351024,627.090641516389,0,2035.46762806257
27,626.492720592695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626.492720592695
28,226.035969672647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.035969672647
29,0,0,0,0,0,0,0,0,0,0,0,232.512785458515,0,977.896514980476,0,0,1210.40930043899
30,0,932.383460626026,0,0,0,0,0,0,0,0,0,0,0,986.637860082304,0,0,1919.02132070833
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.374917999704,559.374917999704
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.087894239648,217.087894239648
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,48.5470750551876,0,0,0,0,0,0,0,0,0,0,48.5470750551876
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.366316331535,161.366316331535
40,0,0,709.356527186561,0,0,0,0,0,0,0,0,0,0,0,0,0,709.356527186561
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,67.5405683568343,0,0,0,0,0,0,0,67.5405683568343
43,0,1007.2655032452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007.2655032452
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,49.7286783373982,0,0,0,0,0,49.7286783373982
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582.975305369986,582.975305369986
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,50.0521859213431,0,0,0,0,0,0,0,979.009770907277,0,0,0,0,0,1029.06195682862
