"District","Workers","WFH"
"Anoka",189547.774104434,9437.71467889271
"Carver",62520.4476650817,4036.6854134324
"Chisago",29113.8132390449,914.766147004087
"Dakota",232279.042769952,8363.35762935381
"Goodhue",22226.3028814488,1381.82716917924
"Hennepin",683390.688571336,38332.0397789708
"Isanti",27074.5282455967,253.014598953448
"Le Sueur",10763.0801773394,130.857959691307
"McLeod",20934.2648580671,169.62539016782
"Pierce",18332.3078673645,157.365334882373
"Polk",31467.0792208324,2216.22448269828
"Ramsey",264500.578254954,17287.7616547805
"Rice",31404.8910155365,1183.66818125582
"Scott",66402.2565472007,3316.17974629411
"Sherburne",55060.1346372729,1631.77074403741
"Sibley",3424.30125876441,0
"St. Croix",68350.8856754842,2180.98644749254
"Washington",137649.837163013,8432.79956260851
"Wright",79292.4024502204,4216.79179681819
"Total",2033734.61660294,103643.436716513
