"distbin","Anoka","Carver","Chisago","Dakota","Goodhue","Hennepin","Isanti","Le Sueur","McLeod","Pierce","Polk","Ramsey","Rice","Scott","Sherburne","Sibley","St. Croix","Washington","Wright","Total"
1,3046.71948539217,1428.19359859994,1473.4388901869,9509.48390720482,930.674043642844,24293.8883337336,584.599847521173,0,4568.96782406517,133.58562455359,1563.20077310322,11427.147999159,459.975732046701,3632.53301072133,567.214991427463,0,1746.70313263264,6859.80295633218,3069.49923436979,75295.6293846926
2,3623.08917330436,717.782723972949,100.104371842686,4780.46131198699,134.293579007269,29790.5141987353,1072.40580601638,528.554036745021,2362.65139921058,2067.6269650972,2878.14722581184,13725.0533022652,3683.20514163961,1850.27875745111,397.961676657209,0,3172.70071959692,3315.82323356514,2089.65895570433,76290.3125786101
3,1962.8891028904,4006.4047688487,1087.96162448619,9508.33243188606,1282.82833286034,31321.7779462208,675.737184706725,235.799101107018,0,438.065262069378,2570.66230409909,14178.4681941511,1324.89907668112,2581.05605646022,0,557.66124347224,1302.95801916081,5368.9067444978,2641.6157697364,81046.0231633344
4,6472.56107638446,380.617561857236,932.618063496035,9527.56352628127,1466.05941687582,33548.5174993721,380.654379098223,202.224155559532,52.2530800684892,1088.3483327384,510.068554180559,19430.9997601631,824.027182825529,3747.47453247804,201.45534746654,0,159.28802091662,958.273838649912,1112.08194211393,80995.0862705258
5,6068.53671950936,2349.6808942781,902.961274867615,4728.88702378004,0,39323.1905666859,1037.7114002599,0,0,49.6891674507134,50.9649202322229,14826.9797864033,55.5488884037728,2205.78348926039,470.033315587893,0,5201.14067375103,6455.72646832121,1892.29619470107,85619.1307834926
6,9498.00786483298,3833.88292320268,0,12033.893537832,3881.70030069951,30433.9297183942,502.542351039848,0,0,89.3396334889509,1117.20350420704,14062.5226876257,54.6612435264192,1354.52884710419,1594.80397882557,955.546671764057,1038.79628557107,5262.16780594226,748.359608126467,86461.886962183
7,8315.67429350253,0,170.855372928623,9893.21384419204,289.614158456274,31954.4068197662,748.577444006907,249.854819866497,1209.64841239063,545.819987571606,524.095422501871,9609.15509694316,1050.08550882357,1162.41556211509,2390.25523273165,0,1950.7880533117,4272.68733364056,2028.55330287166,76365.7006656205
8,6818.44416787785,1777.82662545696,353.469184203843,8888.29945409587,334.420907362527,33939.9216579264,1787.99188679793,53.0139235559708,347.902021014728,986.637860082304,940.069693633661,10799.2888513368,53.1212770806407,56.5482997308352,815.759395199043,0,659.035864555366,2054.33300976034,2681.08859996761,73347.1726796386
9,5197.55461342647,2022.75402055279,1029.50796272362,5555.31631393879,0,29183.0331467893,2023.32790608595,726.867366499319,655.504663389974,149.611746122654,0,12806.7793390775,0,393.509850581647,474.331026471791,0,760.408304360699,2790.78851251388,804.242636602618,64573.537409137
10,6672.43106547265,1236.4469181045,245.772253415209,12798.37087451,0,28163.1422149199,234.392630366649,0,0,588.349810243985,990.493766257609,9650.08675377098,0,1081.18866504959,708.601011146832,0,247.099056982739,4567.11468551266,0,67183.4897057533
11,9892.78745965771,961.186089128193,0,11133.9390503227,756.430270976312,24188.7378029069,309.851952622472,0,226.376024298753,829.409848007344,2020.74282247188,11388.6484044089,220.044915496618,1837.46125652482,1535.51349813658,0,1145.98767119406,2034.42196992825,903.58015376202,69385.1191898434
12,7456.8226050922,3481.13277187366,518.017664087232,6330.12732794201,0,29647.8538468455,69.5356119245903,201.736044517774,0,1396.12271166977,985.611389252524,17245.9429604082,1028.73844924468,4558.87134471872,2339.14695156286,0,1278.76147342326,4359.05736353719,3882.92922121125,84780.4077373114
