"","Anoka","Carver","Chisago","Dakota","Goodhue","Hennepin","Isanti","Le Sueur","McLeod","Pierce","Polk","Ramsey","Rice","Scott","Sherburne","Sibley","St. Croix","Washington","Wright","Total"
"Anoka",48275,430,1128,3970,26,87189,911,4,14,32,130,37036,30,606,2111,4,245,3569,1401,187111
"Carver",721,9405,14,3015,14,33235,7,82,496,7,2,3450,74,3879,76,66,43,310,719,55615
"Chisago",3060,41,6511,781,11,6644,1418,0,4,29,1256,5419,13,68,227,0,284,2309,97,28172
"Dakota",2561,1402,63,72508,755,90769,31,73,28,347,27,43053,1415,6719,55,16,608,6325,130,226885
"Goodhue",198,83,12,3523,9455,4044,0,27,0,515,16,2905,1351,307,11,2,307,808,19,23583
"Hennepin",26618,7627,210,27319,94,490722,164,62,191,89,60,78339,265,7466,1298,23,482,4850,3119,648998
"Isanti",3455,48,890,227,4,6227,5362,0,1,3,92,2042,5,57,760,0,29,323,267,19792
"Le Sueur",105,673,1,1457,64,4489,4,3625,71,7,0,735,1343,1883,5,152,13,101,53,14781
"McLeod",150,1205,3,428,5,5028,3,37,9718,1,0,661,11,399,50,208,10,70,685,18672
"Pierce",259,45,26,2491,1120,4646,2,4,2,3028,59,4188,82,150,11,0,2607,1875,11,20606
"Polk",1061,19,1163,460,25,3251,115,0,2,75,9361,2750,2,35,37,0,1681,1578,22,21637
"Ramsey",10905,469,192,15382,63,104036,69,6,14,100,70,117268,77,748,161,1,812,10470,213,261056
"Rice",210,264,4,4968,389,7192,1,343,7,27,4,2084,13877,1265,7,11,48,289,14,31004
"Scott",809,3558,13,13082,87,39174,3,416,96,26,7,5783,520,12236,44,53,77,668,145,76797
"Sherburne",6458,291,150,667,6,18711,689,7,65,9,20,3986,9,229,11749,1,29,406,6270,49752
"Sibley",65,684,0,413,8,2367,1,469,726,0,0,263,55,564,4,1830,9,40,114,7612
"St. Croix",962,79,195,2759,172,11142,9,3,4,1039,810,11447,36,155,14,2,11914,6493,34,47269
"Washington",5086,298,903,11939,176,38375,83,6,7,350,268,47445,128,540,119,2,2426,23688,136,131975
"Wright",4914,1436,38,1054,6,34646,105,19,687,5,14,4914,25,538,3287,21,56,436,18948,71149
"Total",115872,28057,11516,166443,12480,991887,8977,5183,12133,5689,12196,373768,19318,37844,20026,2392,21680,64608,32397,1942466
