"","PERTYPE","DAP","freq"
"1","1","H",162026
"2","2","H",32664
"3","3","H",9171
"4","4","H",60548
"5","5","H",89096
"6","6","H",32428
"7","7","H",232324
"8","8","H",108310
"9","Total","H",726567
"10","1","M",1252845
"11","2","M",167325
"12","3","M",88562
"13","4","M",0
"14","5","M",0
"15","6","M",6016
"16","7","M",0
"17","8","M",67903
"18","Total","M",1582651
"19","1","N",214049
"20","2","N",89690
"21","3","N",23719
"22","4","N",309785
"23","5","N",344491
"24","6","N",56686
"25","7","N",266553
"26","8","N",119575
"27","Total","N",1424548
