"","PERTYPE","nmtours","freq"
"1","1","0",1095738
"2","2","0",137935
"3","3","0",74243
"4","4","0",66183
"5","5","0",89638
"6","6","0",38137
"7","7","0",242705
"8","8","0",158339
"9","Total","0",1902918
"10","1","1",384678
"11","2","1",81596
"12","3","1",26051
"13","4","1",197684
"14","5","1",238534
"15","6","1",45609
"16","7","1",180115
"17","8","1",114822
"18","Total","1",1269089
"19","1","2",114040
"20","2","2",44198
"21","3","2",12991
"22","4","2",70394
"23","5","2",80465
"24","6","2",8862
"25","7","2",61807
"26","8","2",19064
"27","Total","2",411821
"28","1","3pl",34464
"29","2","3pl",25950
"30","3","3pl",8167
"31","4","3pl",36072
"32","5","3pl",24950
"33","6","3pl",2522
"34","7","3pl",14250
"35","8","3pl",3563
"36","Total","3pl",149938
