"comp","partysize","freq"
"All Adult",2,44.9427639460958
"All Children",2,47.8250497017893
"Mixed",2,22.4876585035331
"Total",2,37.2583629630824
"All Adult",3,4.20110012155556
"All Children",3,2.08946322067594
"Mixed",3,19.6134611041203
"Total",3,9.45993589374307
"All Adult",4,0.726272616767671
"All Children",4,0.0815109343936382
"Mixed",4,5.95166650533992
"Total",4,2.51747252671286
"All Adult",5,0.127677064476918
"All Children",5,0.00397614314115308
"Mixed",5,1.90171974316781
"Total",5,0.746830980235824
