"jtf_code","alt_name","freq"
1,"No Joint Tours",1290218
2,"1 Shopping",44076
3,"1 Maintenance",30456
4,"1 Eating Out",24882
5,"1 Visiting",12862
6,"1 Other Discretionary",35411
7,"2 Shopping",1041
8,"1 Shopping / 1 Maintenance",1901
9,"1 Shopping / 1 Eating Out",1235
10,"1 Shopping / 1 Visiting",80
11,"1 Shopping / 1 Other Discretionary",826
12,"2 Maintenance",1273
13,"1 Maintenance / 1 Eating Out",385
14,"1 Maintenance / 1 Visiting",38
15,"1 Maintenance / 1 Other Discretionary",550
16,"2 Eating Out",2989
17,"1 Eating Out / 1 Visiting",11380
18,"1 Eating Out / 1 Other Discretionary",6214
19,"2 Visiting",4759
20,"1 Visiting / 1 Other Discretionary",385
21,"2 Other Discretionary",1630
