"District","Work","Univ","Schl"
"Anoka",16.8766486203377,10.9940436705362,8.79146071653049
"Carver",20.3852020138452,24.506727791361,10.4639793814433
"Chisago",30.5537597614653,43.0796166134185,11.8628640192539
"Dakota",15.1960840073165,10.8610718328254,7.19703661327231
"Goodhue",31.4397710214985,42.9201849710983,9.3510351377018
"Hennepin",10.6668545973948,5.69339669353849,6.34175582180223
"Isanti",30.0827253435732,43.4930520393812,10.6507768361582
"Le Sueur",35.2754373858332,54.1636261682243,8.00119047619048
"McLeod",24.9199544772922,59.451875,6.88174311926605
"Pierce",31.6181592739979,26.3242227122381,9.21995290423862
"Polk",32.7241359707908,59.2707751937984,10.498320610687
"Ramsey",10.1866645470704,4.17421733727557,5.26911109471821
"Rice",24.6026328860792,28.5222516556291,9.25653735632184
"Scott",19.2917709025092,22.7783862355384,8.83819613135403
"Sherburne",28.3643897732754,38.6491772151899,10.1767219020173
"Sibley",35.7130110352076,62.7610416666667,12.167370030581
"St. Croix",27.0251346548478,31.2500515729758,12.4696554252199
"Washington",17.7993019132411,14.4562291169451,8.09153318790901
"Wright",25.8505956513795,38.4313756419662,9.03321057321057
"Total",16.0921017562212,11.6966170174225,7.36271098858473
