"distbin","Anoka","Carver","Chisago","Dakota","Goodhue","Hennepin","Isanti","Le Sueur","McLeod","Pierce","Polk","Ramsey","Rice","Scott","Sherburne","Sibley","St. Croix","Washington","Wright","Total"
1,662,151,107,601,190,1996,77,0,235,139,44,1366,222,299,186,0,103,342,485,7205
2,626,85,27,788,54,2981,104,247,147,87,115,2201,282,254,266,14,143,339,668,9428
3,809,140,101,830,191,3300,1,99,45,86,34,2070,174,243,74,63,135,314,224,8933
4,715,118,15,808,32,2732,84,30,6,6,61,1691,126,199,57,30,74,343,238,7365
5,610,98,51,611,28,2082,77,9,4,34,38,1250,50,116,55,0,75,240,163,5591
6,565,73,82,521,98,1730,42,42,14,10,26,987,20,86,93,19,62,191,141,4802
7,451,83,45,407,91,1462,41,42,34,13,15,760,19,64,28,8,62,130,134,3889
8,366,48,39,307,60,1222,17,23,5,26,20,525,17,78,85,11,52,133,105,3139
9,313,62,21,259,17,924,29,21,24,22,21,446,19,69,27,36,49,104,68,2531
10,253,37,20,216,19,725,10,15,1,13,32,374,3,60,26,8,19,92,81,2004
11,232,37,14,207,14,636,8,9,5,10,19,275,11,57,25,6,29,93,58,1745
12,204,33,11,140,16,488,18,42,12,3,27,235,23,69,18,5,12,105,85,1546
13,172,30,16,130,3,443,7,2,8,17,13,233,38,47,38,15,18,86,70,1386
14,173,31,10,123,11,375,10,4,13,15,8,186,25,52,32,7,29,75,49,1228
15,142,31,21,101,15,366,7,17,4,7,21,156,22,50,17,7,13,59,44,1100
16,187,30,23,102,12,299,8,9,13,9,18,136,24,24,25,3,30,55,44,1051
17,189,30,8,94,8,249,11,16,5,3,11,111,23,35,24,10,31,49,46,953
18,134,29,16,92,11,254,7,4,7,8,10,85,5,44,23,5,32,44,44,854
19,144,28,9,78,5,206,10,5,5,13,7,93,17,32,26,3,33,53,45,812
20,130,31,12,74,10,207,10,7,4,6,10,61,17,42,22,9,36,45,59,792
21,130,18,11,69,8,198,7,5,5,10,13,68,25,39,25,7,25,50,44,757
22,127,29,21,61,11,131,6,4,0,7,11,42,15,27,13,2,25,35,52,619
23,92,19,6,54,6,116,10,4,1,6,5,41,15,31,14,4,16,33,33,506
24,85,25,15,35,8,115,4,5,4,8,6,39,22,17,12,8,20,30,42,500
25,67,13,7,48,8,85,5,4,3,9,2,25,16,26,16,2,11,24,30,401
26,63,16,8,47,8,95,7,6,5,5,8,27,12,22,11,10,22,33,23,428
27,44,11,7,42,8,47,6,0,5,5,1,14,21,21,18,3,18,26,29,326
28,55,17,3,19,7,41,3,3,2,4,3,11,15,18,8,2,25,10,18,264
29,28,13,9,25,8,30,7,2,2,5,2,15,10,15,13,4,19,13,28,248
30,34,10,9,22,5,28,8,1,2,4,6,5,11,12,14,1,20,11,24,227
31,27,9,8,15,7,26,2,4,2,4,2,7,3,15,8,1,8,13,23,184
32,21,9,9,10,5,25,9,1,0,3,5,5,9,7,10,1,12,7,24,172
33,15,5,6,11,0,19,3,2,0,4,5,1,5,11,8,2,11,8,24,140
34,19,6,8,7,6,15,3,4,1,9,6,6,0,7,6,5,9,2,13,132
35,13,6,6,8,6,7,3,2,2,3,6,4,7,7,4,2,5,1,10,102
36,6,8,4,7,5,10,1,4,3,5,1,0,6,6,6,3,10,3,8,96
37,10,4,3,5,10,9,2,2,1,2,2,1,6,1,4,0,10,2,2,76
38,8,7,2,2,7,9,3,3,2,3,2,0,6,4,5,0,2,2,5,72
39,9,10,3,2,9,3,2,4,3,2,3,0,1,3,2,0,6,6,10,78
40,5,5,6,5,6,2,4,2,1,1,1,1,7,2,2,1,2,4,9,66
41,3,2,5,1,1,4,5,0,0,2,0,0,1,4,4,1,3,0,9,45
42,1,0,5,1,6,4,2,0,1,0,0,3,3,0,5,2,7,2,5,47
43,4,1,5,2,1,0,5,0,3,1,0,0,2,1,2,0,7,0,4,38
44,3,0,2,0,2,3,2,0,1,0,0,0,5,1,8,0,5,0,9,41
45,1,2,2,0,2,1,4,0,1,0,1,0,6,3,1,0,2,0,7,33
46,0,0,1,0,5,0,1,0,0,1,1,0,5,0,4,1,5,1,2,27
47,1,1,2,0,1,1,0,1,2,1,2,0,2,0,3,2,5,0,3,27
48,1,1,1,1,1,0,3,1,0,1,1,0,3,0,2,1,1,0,5,23
49,0,1,1,1,1,0,1,1,2,0,0,0,4,1,1,0,3,0,3,20
50,1,1,0,1,0,1,1,0,1,0,0,0,2,0,2,0,1,0,2,13
51,5,1,8,2,10,2,11,6,8,5,10,0,10,2,10,3,12,1,16,122
