"distbin","PURPOSE","freq"
1,"work",54216
10,"work",23564
11,"work",19612
12,"work",16259
13,"work",13765
14,"work",11436
15,"work",9461
16,"work",7965
17,"work",6554
18,"work",5626
19,"work",4580
2,"work",377223
20,"work",3805
21,"work",3102
22,"work",2627
23,"work",2149
24,"work",1781
25,"work",1439
26,"work",1155
27,"work",993
28,"work",837
29,"work",689
3,"work",191189
30,"work",599
31,"work",470
32,"work",380
33,"work",327
34,"work",281
35,"work",266
36,"work",201
37,"work",154
38,"work",108
39,"work",115
4,"work",113291
40,"work",80
41,"work",67
42,"work",377
5,"work",73529
6,"work",55492
7,"work",43729
8,"work",34091
9,"work",28418
1,"univ",2165
10,"univ",1956
11,"univ",1705
12,"univ",1518
13,"univ",1380
14,"univ",1175
15,"univ",1164
16,"univ",991
17,"univ",914
18,"univ",824
19,"univ",713
2,"univ",71154
20,"univ",703
21,"univ",625
22,"univ",521
23,"univ",406
24,"univ",331
25,"univ",321
26,"univ",274
27,"univ",219
28,"univ",216
29,"univ",167
3,"univ",18923
30,"univ",133
31,"univ",123
32,"univ",100
33,"univ",108
34,"univ",95
35,"univ",56
36,"univ",63
37,"univ",63
38,"univ",43
39,"univ",27
4,"univ",11050
40,"univ",39
41,"univ",24
42,"univ",165
5,"univ",6506
6,"univ",4064
7,"univ",3198
8,"univ",2495
9,"univ",2265
1,"sch",981
10,"sch",1120
11,"sch",928
12,"sch",781
13,"sch",591
14,"sch",561
15,"sch",404
16,"sch",308
17,"sch",263
18,"sch",236
19,"sch",199
2,"sch",16902
20,"sch",151
21,"sch",121
22,"sch",110
23,"sch",95
24,"sch",106
25,"sch",64
26,"sch",53
27,"sch",34
28,"sch",33
29,"sch",26
3,"sch",8845
30,"sch",22
31,"sch",22
32,"sch",15
33,"sch",15
34,"sch",7
35,"sch",9
36,"sch",7
37,"sch",6
38,"sch",3
39,"sch",4
4,"sch",5899
40,"sch",1
41,"sch",3
42,"sch",11
5,"sch",3683
6,"sch",2907
7,"sch",2245
8,"sch",1781
9,"sch",1393
1,"esco",4424
10,"esco",4965
11,"esco",4045
12,"esco",3211
13,"esco",2561
14,"esco",2242
15,"esco",1754
16,"esco",1404
17,"esco",1164
18,"esco",886
19,"esco",731
2,"esco",55212
20,"esco",593
21,"esco",474
22,"esco",410
23,"esco",328
24,"esco",271
25,"esco",221
26,"esco",168
27,"esco",142
28,"esco",110
29,"esco",86
3,"esco",33679
30,"esco",83
31,"esco",63
32,"esco",56
33,"esco",44
34,"esco",24
35,"esco",29
36,"esco",19
37,"esco",8
38,"esco",12
39,"esco",6
4,"esco",23803
40,"esco",5
41,"esco",4
42,"esco",26
5,"esco",16078
6,"esco",12435
7,"esco",9943
8,"esco",7620
9,"esco",6039
1,"imain",19350
