"id","purpose","freq_stop","freq_trip"
1,"atwork",23,127
10,"atwork",9936,48350
11,"atwork",4367,19594
12,"atwork",1976,8425
13,"atwork",896,3464
14,"atwork",320,1276
15,"atwork",116,477
16,"atwork",85,300
17,"atwork",62,219
18,"atwork",37,142
19,"atwork",112,337
2,"atwork",21,105
3,"atwork",36,190
4,"atwork",39,259
5,"atwork",359,1854
6,"atwork",1795,10788
7,"atwork",13420,86319
8,"atwork",24927,173607
9,"atwork",21944,123350
1,"esco",1760,8618
10,"esco",17320,74252
11,"esco",17582,72746
12,"esco",14196,66826
13,"esco",8727,41179
14,"esco",6753,29699
15,"esco",5591,22469
16,"esco",5153,18229
17,"esco",3394,13427
18,"esco",2283,11123
19,"esco",16047,70133
2,"esco",5724,29769
3,"esco",40213,190357
4,"esco",23981,127494
5,"esco",5378,28156
6,"esco",3463,19090
7,"esco",5046,22186
8,"esco",5758,25037
9,"esco",7009,32054
1,"idisc",7021,31848
10,"idisc",27658,104646
11,"idisc",33592,112793
12,"idisc",30669,119998
13,"idisc",40147,167981
14,"idisc",50747,209071
15,"idisc",50751,190271
16,"idisc",48268,189490
17,"idisc",30148,131434
18,"idisc",14711,77217
19,"idisc",18208,101261
2,"idisc",8768,37332
3,"idisc",21085,84969
4,"idisc",32293,124985
5,"idisc",39503,144614
6,"idisc",31145,113080
7,"idisc",35483,126621
8,"idisc",31548,117857
9,"idisc",30744,111133
1,"imain",3314,11497
10,"imain",63126,183548
11,"imain",68120,197316
12,"imain",60055,181441
13,"imain",47619,150611
14,"imain",47516,149309
15,"imain",40463,130606
16,"imain",36507,116658
17,"imain",19465,80911
18,"imain",11144,40914
19,"imain",18131,66978
2,"imain",5703,19688
3,"imain",20381,67319
4,"imain",45989,141402
5,"imain",62021,189242
6,"imain",73080,214903
7,"imain",69285,203388
8,"imain",71711,214175
9,"imain",62856,192782
1,"jdisc",903,7159
10,"jdisc",1405,8251
11,"jdisc",1538,8682
12,"jdisc",1351,9745
13,"jdisc",2046,16037
14,"jdisc",3167,24783
15,"jdisc",4094,26023
16,"jdisc",4875,26855
17,"jdisc",3858,21036
18,"jdisc",1941,12551
19,"jdisc",1885,12992
2,"jdisc",1396,8161
3,"jdisc",2397,13462
4,"jdisc",3480,17672
5,"jdisc",2562,15725
6,"jdisc",1574,9196
7,"jdisc",1370,9669
8,"jdisc",1720,10238
9,"jdisc",1818,10225
1,"jmain",186,1134
10,"jmain",3632,14979
11,"jmain",3951,15594
12,"jmain",3768,14861
13,"jmain",2937,13561
14,"jmain",3211,14324
15,"jmain",3237,14217
16,"jmain",3404,14566
17,"jmain",2268,11977
18,"jmain",1381,6504
19,"jmain",2545,11337
2,"jmain",381,2562
3,"jmain",1730,9819
4,"jmain",4450,20615
5,"jmain",4846,24474
6,"jmain",4651,22691
7,"jmain",4397,19281
8,"jmain",4593,19432
9,"jmain",3701,16377
1,"sch",0,0
10,"sch",4483,12681
11,"sch",7321,14031
12,"sch",9010,28609
13,"sch",6435,22597
14,"sch",2969,12190
15,"sch",1045,5277
16,"sch",857,3098
17,"sch",156,1316
18,"sch",0,0
19,"sch",0,0
2,"sch",0,0
3,"sch",0,0
4,"sch",0,0
5,"sch",9220,49624
6,"sch",4119,19791
7,"sch",2571,10532
8,"sch",1744,6355
9,"sch",1015,3932
1,"univ",0,0
10,"univ",13181,41633
11,"univ",17690,62215
12,"univ",13818,55237
13,"univ",14759,57051
14,"univ",12260,52996
15,"univ",10095,44681
16,"univ",8234,40989
17,"univ",4641,37049
18,"univ",0,0
19,"univ",0,0
2,"univ",0,0
3,"univ",0,0
4,"univ",0,0
5,"univ",7486,31852
6,"univ",7474,26684
7,"univ",8299,28576
8,"univ",9343,32377
9,"univ",11702,37852
1,"work",22149,106140
10,"work",30199,80902
11,"work",40656,108157
12,"work",89242,186682
13,"work",141907,369118
14,"work",123283,351285
15,"work",121510,355631
16,"work",94816,394696
17,"work",40694,151380
18,"work",15653,57313
19,"work",24902,82596
2,"work",6873,60852
3,"work",6260,51732
4,"work",45249,218337
5,"work",176414,881176
6,"work",55650,258685
7,"work",34861,155937
8,"work",22788,90764
9,"work",18896,71507
1,"Total",35356,166523
10,"Total",170940,569242
11,"Total",194817,611128
12,"Total",224085,671824
13,"Total",265473,841599
14,"Total",250226,844933
15,"Total",236902,789652
16,"Total",202199,804881
17,"Total",104686,448749
18,"Total",47150,205764
19,"Total",81830,345634
2,"Total",28866,158469
3,"Total",92102,417848
4,"Total",155481,650764
5,"Total",307789,1366717
6,"Total",182951,694908
7,"Total",174732,662509
8,"Total",174132,689842
9,"Total",159685,599212
