"purpose","nstops","freq_out","freq_inb"
"work","1",1194475,940769
"univ","1",165458,155372
"sch","1",56454,46555
"esco","1",300648,282723
"imain","1",625499,577501
"idisc","1",691380,641771
"jmain","1",212803,171154
"jdisc","1",244670,209346
"atwork","1",176203,163673
"Total","1",3667590,3188864
"work","2",206009,341058
"univ","2",25143,30620
"sch","2",10739,14441
"esco","2",33434,42317
"imain","2",142129,167692
"idisc","2",102798,138229
"jmain","2",26022,52296
"jdisc","2",17216,40193
"atwork","2",16865,26727
"Total","2",580355,853573
"work","3",42056,108740
"univ","3",7453,10179
"sch","3",1500,5432
"esco","3",11499,13906
"imain","3",54629,68849
"idisc","3",33402,44938
"jmain","3",3081,12274
"jdisc","3",1926,9521
"atwork","3",2791,6062
"Total","3",158337,279901
"work","4",17904,69877
"univ","4",7051,8934
"sch","4",851,3116
"esco","4",8152,14787
"imain","4",40844,49059
"idisc","4",29476,32118
"jmain","4",1569,7751
"jdisc","4",997,5749
"atwork","4",3497,2894
"Total","4",110341,194285
