"purpose","nstops","freq"
"work","1",803474
"univ","1",128892
"sch","1",38271
"esco","1",245498
"imain","1",437617
"idisc","1",539807
"jmain","1",153519
"jdisc","1",194977
"atwork","1",146452
"Total","1",2688507
"work","2",371418
"univ","2",39805
"sch","2",17932
"esco","2",57508
"imain","2",196745
"idisc","2",158196
"jmain","2",59026
"jdisc","2",48880
"atwork","2",35420
"Total","2",984930
"work","3",162154
"univ","3",17764
"sch","3",8203
"esco","3",23844
"imain","3",111144
"idisc","3",80811
"jmain","3",19165
"jdisc","3",13069
"atwork","3",10383
"Total","3",446537
"work","4",88892
"univ","4",13359
"sch","4",4191
"esco","4",20343
"imain","4",80433
"idisc","4",59097
"jmain","4",8482
"jdisc","4",6478
"atwork","4",5258
"Total","4",286533
"work","5",24589
"univ","5",3543
"sch","5",743
"esco","5",4246
"imain","5",24383
"idisc","5",12961
"jmain","5",2368
"jdisc","5",999
"atwork","5",1049
"Total","5",74881
"work","6",8258
"univ","6",1052
"sch","6",162
"esco","6",1595
"imain","6",8052
"idisc","6",3568
"jmain","6",776
"jdisc","6",343
"atwork","6",449
"Total","6",24255
"work","7",1659
"univ","7",690
"sch","7",42
"esco","7",699
"imain","7",4727
"idisc","7",2616
"jmain","7",139
"jdisc","7",63
"atwork","7",345
"Total","7",10980
