"purpose","stop_purp","freq"
"work","1",194564
"univ","1",8516
"sch","1",0
"esco","1",0
"imain","1",0
"idisc","1",0
"jmain","1",0
"jdisc","1",0
"atwork","1",15767
"Total","1",218847
"work","10",0
"univ","10",0
"sch","10",0
"esco","10",0
"imain","10",0
"idisc","10",0
"jmain","10",0
"jdisc","10",0
"atwork","10",0
"Total","10",0
"work","2",1350
"univ","2",48649
"sch","2",0
"esco","2",0
"imain","2",0
"idisc","2",0
"jmain","2",0
"jdisc","2",0
"atwork","2",0
"Total","2",49999
"work","3",0
"univ","3",0
"sch","3",0
"esco","3",0
"imain","3",0
"idisc","3",0
"jmain","3",0
"jdisc","3",0
"atwork","3",0
"Total","3",0
"work","4",274944
"univ","4",39124
"sch","4",25511
"esco","4",71383
"imain","4",107079
"idisc","4",96395
"jmain","4",7709
"jdisc","4",6452
"atwork","4",7086
"Total","4",635683
"work","5",234140
"univ","5",13586
"sch","5",5185
"esco","5",46494
"imain","5",313218
"idisc","5",150670
"jmain","5",23175
"jdisc","5",13660
"atwork","5",13174
"Total","5",813302
"work","6",157904
"univ","6",6022
"sch","6",4606
"esco","6",24096
"imain","6",198800
"idisc","6",91610
"jmain","6",13128
"jdisc","6",6180
"atwork","6",15240
"Total","6",517586
"work","7",136294
"univ","7",7660
"sch","7",5589
"esco","7",26562
"imain","7",113376
"idisc","7",89449
"jmain","7",9308
"jdisc","7",6036
"atwork","7",26870
"Total","7",421144
"work","8",44058
"univ","8",7821
"sch","8",4794
"esco","8",12914
"imain","8",45043
"idisc","8",72813
"jmain","8",2853
"jdisc","8",5684
"atwork","8",1054
"Total","8",197034
"work","9",68748
"univ","9",7604
"sch","9",5260
"esco","9",13929
"imain","9",48970
"idisc","9",81552
"jmain","9",3096
"jdisc","9",5368
"atwork","9",1280
"Total","9",235807
