"id","purpose","freq_as0","freq_as1","freq_as2","freq_all"
"1","work",1173,39998,422496,463667
"10","work",0,0,0,0
"2","work",2352,25128,134522,162002
"3","work",196,13673,54883,68752
"4","work",4161,4033,3756,11950
"5","work",2614,5495,4997,13106
"6","work",192054,204734,138126,534914
"7","work",579,22672,140276,163527
"8","work",15851,12246,11725,39822
"9","work",601,1804,299,2704
"1","univ",338,771,22444,23553
"10","univ",0,0,0,0
"2","univ",421,1618,18746,20785
"3","univ",284,2525,14376,17185
"4","univ",3150,5132,15570,23852
"5","univ",258,465,3224,3947
"6","univ",16393,28526,4995,49914
"7","univ",96,6956,55337,62389
"8","univ",1400,1690,210,3300
"9","univ",0,68,112,180
"1","sch",0,5,206,211
"10","sch",1405,327,12834,14566
"2","sch",206,221,7789,8216
"3","sch",1363,483,18207,20053
"4","sch",702,67,1275,2044
"5","sch",0,41,683,724
"6","sch",1896,1987,6984,10867
"7","sch",0,171,3567,3738
"8","sch",1221,766,7138,9125
"9","sch",0,0,0,0
"1","imain",6622,12535,288741,307898
"10","imain",0,0,0,0
"2","imain",12253,36914,245699,294866
"3","imain",11129,22663,199838,233630
"4","imain",19707,2714,19572,41993
"5","imain",931,2381,7861,11173
"6","imain",107886,54713,57836,220435
"7","imain",4313,14984,12164,31461
"8","imain",5979,14666,40613,61258
"9","imain",13159,460,501,14120
"1","idisc",6381,11663,165088,183132
"10","idisc",0,0,0,0
"2","idisc",9146,7744,130115,147005
"3","idisc",15642,12704,108186,136532
"4","idisc",25574,5676,38839,70089
"5","idisc",1403,3124,9682,14209
"6","idisc",82457,57704,63378,203539
"7","idisc",9945,6161,20815,36921
"8","idisc",9646,3365,38628,51639
"9","idisc",808,3437,9745,13990
"1","jmain",0,0,0,0
"10","jmain",0,0,0,0
"2","jmain",8048,6994,106552,121594
"3","jmain",2376,5757,51097,59230
"4","jmain",2121,1174,5600,8895
"5","jmain",707,1142,1246,3095
"6","jmain",6971,5420,9058,21449
"7","jmain",10119,209,4852,15180
"8","jmain",841,7672,1203,9716
"9","jmain",0,636,3680,4316
"1","jdisc",0,0,0,0
"10","jdisc",0,0,0,0
"2","jdisc",3882,8560,119940,132382
"3","jdisc",1280,7384,57880,66544
"4","jdisc",1602,1901,7694,11197
"5","jdisc",358,1512,1168,3038
"6","jdisc",3633,7039,10418,21090
"7","jdisc",6511,279,6060,12850
"8","jdisc",504,10580,1398,12482
"9","jdisc",4,798,4424,5226
"1","atwork",10,4147,42838,46995
"10","atwork",0,0,0,0
"2","atwork",5155,12392,44244,61791
"3","atwork",4248,14174,24041,42463
"4","atwork",5482,3826,19570,28878
"5","atwork",27,0,0,27
"6","atwork",3191,1669,1727,6587
"7","atwork",802,0,0,802
"8","atwork",9447,1049,46,10542
"9","atwork",120,648,503,1271
"1","Total",14524,69119,941813,1025456
"10","Total",1405,327,12834,14566
"2","Total",41463,99571,807607,948641
"3","Total",36518,79363,528508,644389
"4","Total",62499,24523,111876,198898
"5","Total",6298,14160,28861,49319
"6","Total",414481,361792,292522,1068795
"7","Total",32365,51432,243071,326868
"8","Total",44889,52034,100961,197884
"9","Total",14692,7851,19264,41807
