"id","purpose","freq_dep","freq_arr","freq_dur"
1,"atwork",74,30,47127
1,"esc",5521,1612,137641
1,"idisc",23258,2791,30726
1,"imain",6973,1851,125704
1,"jdisc",5726,678,6556
1,"jmain",838,155,15292
1,"sch",0,0,483
1,"Total",136015,8769,393901
1,"univ",0,0,15793
1,"work",93625,1652,14579
2,"atwork",42,42,112511
2,"esc",18461,6145,95124
2,"idisc",28004,4268,137693
2,"imain",14584,1670,271764
2,"jdisc",5620,1476,27964
2,"jmain",2065,232,35759
2,"sch",0,0,840
2,"Total",115506,18630,743821
2,"univ",0,0,19731
2,"work",46730,4797,42435
3,"atwork",91,63,31178
3,"esc",103797,49644,23236
3,"idisc",58117,10339,208126
3,"imain",47284,6575,185110
3,"jdisc",7948,3315,35865
3,"jmain",7406,1091,23928
3,"sch",0,0,1454
3,"Total",260558,77382,566740
3,"univ",0,0,23885
3,"work",35915,6355,33958
4,"atwork",130,90,6468
4,"esc",46622,56225,8072
4,"idisc",75091,22030,151134
4,"imain",79827,23360,98983
4,"jdisc",6870,7129,21659
4,"jmain",11074,5396,11958
4,"sch",0,0,2439
4,"Total",400016,122389,369207
4,"univ",0,0,36582
4,"work",180402,8159,31912
5,"atwork",1268,227,1348
5,"esc",8193,13775,6383
5,"idisc",73307,32015,99699
5,"imain",89223,40811,58437
5,"jdisc",5593,7388,9711
5,"jmain",10921,8754,6449
5,"sch",47154,37,4118
5,"Total",1001277,117739,257966
5,"univ",28817,945,38804
5,"work",736801,13787,33017
6,"atwork",7647,1346,428
6,"esc",8378,7135,5633
6,"idisc",50227,31179,62746
6,"imain",93072,50411,37853
6,"jdisc",3930,3614,4259
6,"jmain",11839,6251,3842
6,"sch",12975,123,6697
6,"Total",382494,117858,180577
6,"univ",18803,1707,20321
6,"work",175623,16092,38798
7,"atwork",61614,11285,129
7,"esc",9701,6708,5294
7,"idisc",56994,34026,41004
7,"imain",68867,62514,25655
7,"jdisc",5224,3103,2220
7,"jmain",7503,7243,2521
7,"sch",5095,341,6000
7,"Total",325071,145595,154488
7,"univ",17679,2588,16002
7,"work",92394,17787,55663
8,"atwork",86857,61823,60
8,"esc",11770,7474,9325
8,"idisc",45412,37690,28752
8,"imain",64518,74183,17515
8,"jdisc",4581,3858,1384
8,"jmain",6428,8207,1566
8,"sch",2226,777,18996
8,"Total",274205,217147,175442
8,"univ",18424,3869,10404
8,"work",33989,19266,87440
9,"atwork",24766,76640,32
9,"esc",16436,8939,7308
9,"idisc",33367,44568,22822
9,"imain",59908,68973,12610
9,"jdisc",2869,5521,920
9,"jmain",5494,7058,1003
9,"sch",1071,1837,17984
9,"Total",184536,241144,229711
9,"univ",19228,6027,7688
9,"work",21397,21581,159344
10,"atwork",10288,28126,19
10,"esc",36232,20462,7060
10,"idisc",31764,44317,17548
10,"imain",56579,62986,8869
10,"jdisc",3134,3727,534
10,"jmain",5020,6314,668
10,"sch",592,7542,5989
10,"Total",176003,211629,257272
10,"univ",19805,8933,6331
10,"work",12589,29222,210254
11,"atwork",3994,11233,15
11,"esc",27776,27546,4889
11,"idisc",38132,41677,13665
11,"imain",49287,75865,6523
11,"jdisc",3877,3298,398
11,"jmain",4202,7273,465
11,"sch",234,6479,2473
11,"Total",157142,243860,273355
11,"univ",20069,22196,4621
11,"work",9571,48293,240306
12,"atwork",1486,4963,21
12,"esc",30663,22333,4241
12,"idisc",45528,44843,11410
12,"imain",39525,79407,4725
12,"jdisc",4876,3598,321
12,"jmain",3454,7578,339
12,"sch",120,19479,1470
12,"Total",151468,292419,277413
12,"univ",18505,21435,3148
12,"work",7311,88783,251738
13,"atwork",573,1995,15
13,"esc",10361,20399,3920
13,"idisc",79390,51115,9553
13,"imain",48712,55973,3370
13,"jdisc",10064,4205,233
13,"jmain",5352,5374,255
13,"sch",53,16102,601
13,"Total",177259,402123,161432
13,"univ",17540,25012,1795
13,"work",5214,221948,141690
14,"atwork",221,735,1
14,"esc",7047,15407,3867
14,"idisc",104396,51928,7193
14,"imain",42858,56106,2566
14,"jdisc",15912,5511,181
14,"jmain",5552,5463,202
14,"sch",14,9204,0
14,"Total",192452,395504,73522
14,"univ",12811,26736,0
14,"work",3641,224414,59512
15,"atwork",105,256,1
15,"esc",4738,12112,4018
15,"idisc",59233,76519,5870
15,"imain",35599,53132,1781
15,"jdisc",12091,9805,141
15,"jmain",5336,5680,130
15,"sch",9,4223,0
15,"Total",126794,420374,51617
15,"univ",7333,27104,0
15,"work",2350,231543,39676
16,"atwork",73,142,1
16,"esc",3040,9991,9425
16,"idisc",30691,107240,4299
16,"imain",26391,51175,937
16,"jdisc",8096,13736,100
16,"jmain",4722,6308,101
16,"sch",0,2241,0
16,"Total",78505,517496,24387
16,"univ",4347,28098,0
16,"work",1145,298565,9524
17,"atwork",52,105,0
17,"esc",1685,8283,13892
17,"idisc",13425,86550,2592
17,"imain",18911,41869,486
17,"jdisc",3686,13393,53
17,"jmain",3516,6127,31
17,"sch",1,1159,0
17,"Total",43703,297902,19556
17,"univ",1744,30455,0
17,"work",683,109961,2502
18,"atwork",75,255,2
18,"esc",3312,59543,4405
18,"idisc",10720,133961,2224
18,"imain",20983,56240,213
18,"jdisc",2444,19186,42
18,"jmain",3796,10014,9
18,"sch",0,0,0
18,"Total",42394,377438,14991
18,"univ",0,0,0
18,"work",1064,98239,8096
