"distbin","PURPOSE","freq"
1,"esco",33480
10,"esco",12555
11,"esco",10716
12,"esco",9119
13,"esco",7936
14,"esco",6728
15,"esco",5644
16,"esco",4728
17,"esco",4089
18,"esco",3347
19,"esco",2712
2,"esco",42364
20,"esco",2339
21,"esco",2068
22,"esco",1766
23,"esco",1591
24,"esco",1503
25,"esco",1172
26,"esco",1162
27,"esco",1040
28,"esco",911
29,"esco",777
3,"esco",41664
30,"esco",742
31,"esco",704
32,"esco",642
33,"esco",564
34,"esco",545
35,"esco",504
36,"esco",448
37,"esco",392
38,"esco",416
39,"esco",382
4,"esco",35145
40,"esco",335
41,"esco",5311
5,"esco",28911
6,"esco",24876
7,"esco",20993
8,"esco",18304
9,"esco",15108
1,"imain",64249
10,"imain",27609
11,"imain",23298
12,"imain",19528
13,"imain",17139
14,"imain",14389
15,"imain",12274
16,"imain",11090
17,"imain",10123
18,"imain",9003
19,"imain",8368
2,"imain",89745
20,"imain",7887
21,"imain",7797
22,"imain",7068
23,"imain",6290
24,"imain",5861
25,"imain",5433
26,"imain",4850
27,"imain",4477
28,"imain",4224
29,"imain",3660
3,"imain",94820
30,"imain",3589
31,"imain",3353
32,"imain",3005
33,"imain",2809
34,"imain",2530
35,"imain",2282
36,"imain",2101
37,"imain",2128
38,"imain",1880
39,"imain",1790
4,"imain",85419
40,"imain",1654
41,"imain",22723
5,"imain",74734
6,"imain",63985
7,"imain",51753
8,"imain",43292
9,"imain",34892
1,"idisc",67074
10,"idisc",28487
11,"idisc",25224
12,"idisc",22122
13,"idisc",19648
14,"idisc",17192
15,"idisc",15097
16,"idisc",13929
17,"idisc",12919
18,"idisc",11597
19,"idisc",10558
2,"idisc",77465
20,"idisc",9822
21,"idisc",9645
22,"idisc",8560
23,"idisc",7744
24,"idisc",7511
25,"idisc",6520
26,"idisc",6337
27,"idisc",6036
28,"idisc",5372
29,"idisc",5010
3,"idisc",74212
30,"idisc",4841
31,"idisc",4282
32,"idisc",4134
33,"idisc",3830
34,"idisc",3634
35,"idisc",3279
36,"idisc",3195
37,"idisc",3077
38,"idisc",2850
39,"idisc",2783
4,"idisc",69003
40,"idisc",2603
41,"idisc",43688
5,"idisc",60543
6,"idisc",54384
7,"idisc",47117
8,"idisc",41144
9,"idisc",34588
1,"jmain",14480
10,"jmain",8400
11,"jmain",7434
12,"jmain",6060
13,"jmain",5493
14,"jmain",4696
15,"jmain",3975
16,"jmain",3643
17,"jmain",3486
18,"jmain",3237
19,"jmain",2837
2,"jmain",21516
20,"jmain",2651
21,"jmain",2573
22,"jmain",2512
23,"jmain",2145
24,"jmain",1794
25,"jmain",1858
26,"jmain",1615
27,"jmain",1598
28,"jmain",1527
29,"jmain",1440
3,"jmain",24121
30,"jmain",1145
31,"jmain",1167
32,"jmain",1040
33,"jmain",1044
34,"jmain",942
35,"jmain",886
36,"jmain",830
37,"jmain",748
38,"jmain",659
39,"jmain",645
4,"jmain",22222
40,"jmain",659
41,"jmain",8579
5,"jmain",19827
6,"jmain",17288
7,"jmain",14418
8,"jmain",12152
9,"jmain",10133
1,"jdisc",19571
10,"jdisc",9178
11,"jdisc",8019
12,"jdisc",7377
13,"jdisc",6361
14,"jdisc",5628
15,"jdisc",4929
16,"jdisc",4484
17,"jdisc",4260
18,"jdisc",3969
19,"jdisc",3678
2,"jdisc",22795
20,"jdisc",3157
21,"jdisc",3086
22,"jdisc",2783
23,"jdisc",2621
24,"jdisc",2277
25,"jdisc",2117
26,"jdisc",1895
27,"jdisc",1783
28,"jdisc",1769
29,"jdisc",1607
3,"jdisc",22927
30,"jdisc",1450
31,"jdisc",1399
32,"jdisc",1248
33,"jdisc",1094
34,"jdisc",1144
35,"jdisc",1035
36,"jdisc",975
37,"jdisc",855
38,"jdisc",805
39,"jdisc",865
4,"jdisc",21295
40,"jdisc",775
41,"jdisc",11809
5,"jdisc",18867
6,"jdisc",16509
7,"jdisc",14884
8,"jdisc",12804
9,"jdisc",10725
1,"atwork",37252
10,"atwork",5787
11,"atwork",4728
12,"atwork",3731
13,"atwork",3034
14,"atwork",2602
15,"atwork",2198
16,"atwork",1971
17,"atwork",1769
18,"atwork",1572
19,"atwork",1458
2,"atwork",25309
20,"atwork",1394
21,"atwork",1307
22,"atwork",1179
23,"atwork",1026
24,"atwork",976
25,"atwork",867
26,"atwork",794
27,"atwork",693
28,"atwork",582
29,"atwork",531
3,"atwork",23104
30,"atwork",481
31,"atwork",418
32,"atwork",376
33,"atwork",350
34,"atwork",312
35,"atwork",265
36,"atwork",300
37,"atwork",242
38,"atwork",201
39,"atwork",223
4,"atwork",17812
40,"atwork",209
41,"atwork",2559
5,"atwork",14232
6,"atwork",12379
7,"atwork",9869
8,"atwork",8491
9,"atwork",6773
1,"Total",236106
10,"Total",92016
11,"Total",79419
12,"Total",67937
13,"Total",59611
14,"Total",51235
15,"Total",44117
16,"Total",39845
17,"Total",36646
18,"Total",32725
19,"Total",29611
2,"Total",279194
20,"Total",27250
21,"Total",26476
22,"Total",23868
23,"Total",21417
24,"Total",19922
25,"Total",17967
26,"Total",16653
27,"Total",15627
28,"Total",14385
29,"Total",13025
3,"Total",280848
30,"Total",12248
31,"Total",11323
32,"Total",10445
33,"Total",9691
34,"Total",9107
35,"Total",8251
36,"Total",7849
37,"Total",7442
38,"Total",6811
39,"Total",6688
4,"Total",250896
40,"Total",6235
41,"Total",94669
5,"Total",217114
6,"Total",189421
7,"Total",159034
8,"Total",136187
9,"Total",112219
