"","PERTYPE","TOURPURP","freq"
"1",1,4,99845
"2",1,5,153027
"3",1,6,83406
"4",1,7,73068
"5",1,8,39264
"6",1,9,124997
"7",2,4,57187
"8",2,5,60180
"9",2,6,33004
"10",2,7,21364
"11",2,8,10146
"12",2,9,40480
"13",3,4,16413
"14",3,5,12658
"15",3,6,4030
"16",3,7,8811
"17",3,8,5110
"18",3,9,11437
"19",4,4,95214
"20",4,5,110838
"21",4,6,67884
"22",4,7,26531
"23",4,8,22515
"24",4,9,66612
"25",5,4,17858
"26",5,5,134417
"27",5,6,76787
"28",5,7,35552
"29",5,8,29759
"30",5,9,82351
"31",6,4,4904
"32",6,5,12093
"33",6,6,5684
"34",6,7,4908
"35",6,8,9331
"36",6,9,16957
"37",7,4,31193
"38",7,5,46401
"39",7,6,19304
"40",7,7,44753
"41",7,8,21703
"42",7,9,99866
"43",8,4,31119
"44",8,5,26674
"45",8,6,16714
"46",8,7,12523
"47",8,8,10195
"48",8,9,38823
