"distbin","Anoka","Carver","Chisago","Dakota","Goodhue","Hennepin","Isanti","Le Sueur","McLeod","Pierce","Polk","Ramsey","Rice","Scott","Sherburne","Sibley","St. Croix","Washington","Wright","Total"
1,1337,660,701,1599,1005,9865,257,30,3876,270,450,3434,1393,944,1268,454,878,1155,1883,31459
2,2364,686,361,4024,247,25872,986,1256,2137,559,1250,9397,2871,818,1406,17,1042,1971,2302,59566
3,4024,1166,742,6269,1802,39756,123,300,216,411,396,15237,2194,1412,439,243,1196,2544,704,79174
4,4767,1054,358,7052,116,41643,691,209,86,149,425,16897,1918,1467,473,45,918,3132,1796,83196
5,5014,1100,585,7975,203,41096,420,61,288,416,422,18318,496,1551,786,24,688,3094,1039,83576
6,6840,1276,714,7956,1307,41879,520,202,119,103,494,16975,394,1515,955,161,805,2868,1031,86114
7,6960,1107,404,9078,916,38939,393,122,501,207,347,18132,427,1675,843,45,813,2801,1148,84858
8,6583,1449,569,8728,682,38297,188,187,340,203,405,17669,493,1662,1158,215,805,3264,1436,84333
9,7110,1558,369,9558,130,38242,349,254,429,161,372,16589,327,2029,763,316,616,3310,1043,83525
10,6505,1468,545,9864,281,36142,215,94,23,383,483,14324,94,2304,916,87,703,4252,1060,79743
11,6731,1496,379,9433,207,33632,349,63,257,315,677,13799,225,2641,830,44,558,4579,1006,77221
12,6815,1957,392,9713,197,32566,304,227,113,281,467,13182,405,3041,638,85,616,5524,1460,77983
13,6509,1870,387,10132,294,29289,250,62,313,374,282,12294,608,3162,1219,130,820,5739,1720,75454
14,6503,2014,463,9461,378,26146,258,144,118,364,261,11336,908,3296,923,126,892,5778,1402,70771
15,7223,1769,329,9741,207,23974,230,92,206,217,341,9639,488,2967,802,45,800,5213,1000,65283
16,8291,1681,434,9771,388,20385,192,244,284,225,432,8641,636,3070,1103,46,829,5259,1522,63433
17,8346,1692,562,9916,258,19147,242,234,73,176,297,7806,324,2557,1168,81,745,5062,1440,60126
18,7388,1565,416,9804,294,16833,177,250,289,268,415,6433,201,2504,805,125,896,4869,1280,54812
19,7145,1579,358,8704,111,14028,225,305,166,287,219,5121,282,2272,860,114,852,5089,1531,49248
20,6863,1433,342,7932,183,12118,181,109,105,271,260,4042,210,2378,912,32,1167,5359,1434,45331
21,6948,1574,284,7438,221,10211,233,158,232,279,322,3534,271,2556,790,127,1100,5321,1252,42851
22,6162,1741,284,6734,223,9132,166,111,190,426,263,2967,280,2605,952,57,984,5011,1365,39653
23,5043,1673,278,6843,187,7693,174,244,91,400,297,2750,212,2318,786,42,893,4564,1399,35887
24,4946,1623,354,5413,173,6503,190,151,96,480,234,2244,260,2217,762,74,749,4242,1454,32165
25,4549,1630,356,4522,231,5199,255,124,59,421,248,1901,236,2256,841,147,1112,3861,1376,29324
26,4141,1572,336,3885,276,4815,255,162,114,357,252,1545,174,2317,743,139,853,3815,1484,27235
27,3660,1588,338,3415,237,4153,318,216,79,320,212,1277,285,2139,991,47,956,3249,1443,24923
28,3559,1508,332,2980,207,3556,305,313,56,346,193,1015,316,1942,913,68,985,2515,1564,22673
29,3206,1408,385,2471,199,3079,297,139,81,303,198,799,420,1758,801,47,1083,2287,1593,20554
30,2934,1307,441,2115,216,2415,252,159,89,531,193,665,312,1370,795,63,1293,2253,2041,19444
31,2542,1119,465,1927,219,1960,254,211,103,567,194,541,308,1359,766,106,1007,2131,1850,17629
32,2335,1108,471,1885,183,1782,275,175,127,427,184,439,405,1112,849,77,1206,1780,1611,16431
33,1782,1040,527,1727,183,1378,388,168,114,446,160,321,420,1152,893,69,1015,1421,1805,15009
34,1768,947,645,1256,238,1129,341,196,150,422,165,248,412,1018,1038,95,1173,1183,1660,14084
35,1595,935,574,1228,337,967,364,209,160,350,188,255,428,858,1098,77,1040,1136,1573,13372
36,1467,789,570,876,266,830,399,246,144,403,170,179,427,750,885,77,934,1035,1361,11808
37,1264,732,555,816,243,690,352,223,171,402,164,137,513,630,799,140,1036,854,1495,11216
38,1022,556,680,730,216,538,576,148,178,456,183,122,452,564,993,86,1034,754,1432,10720
39,815,551,501,592,259,460,375,216,160,494,184,112,342,588,1011,110,927,670,1181,9548
40,686,496,607,530,328,380,438,198,196,565,223,85,461,553,855,76,934,531,1508,9650
41,595,380,561,383,301,309,426,246,163,459,184,80,521,427,960,87,1000,456,1365,8903
42,485,424,663,375,284,277,645,206,200,296,212,76,491,353,1042,89,1051,316,1142,8627
43,412,351,560,330,322,261,602,228,278,319,255,61,674,334,888,111,799,296,1018,8099
44,326,271,559,274,336,192,423,196,281,286,238,58,785,247,970,121,786,214,901,7464
45,283,240,622,237,358,155,365,246,229,398,193,40,773,299,838,93,674,190,967,7200
46,222,234,520,205,349,134,456,236,202,314,209,41,563,344,723,108,546,159,794,6359
47,194,225,451,138,353,121,407,227,243,382,286,29,389,288,710,114,583,106,727,5973
48,164,201,521,110,442,75,378,227,274,272,296,34,343,223,750,117,548,114,691,5780
49,108,149,608,94,453,81,293,236,170,243,294,35,385,139,894,124,490,90,660,5546
50,85,120,573,96,390,74,302,232,223,276,243,33,504,145,663,96,401,82,641,5179
51,495,543,4141,550,6147,600,2738,4289,3880,3326,6305,168,3748,671,5486,2393,3438,477,4559,53954
