"","Anoka","Carver","Chisago","Dakota","Goodhue","Hennepin","Isanti","Le Sueur","McLeod","Pierce","Polk","Ramsey","Rice","Scott","Sherburne","Sibley","St. Croix","Washington","Wright","Total"
"Anoka",51009,416,1092,3449,41,78999,960,5,10,31,154,36946,26,424,2152,1,198,3913,1158,180984
"Carver",344,12808,5,2278,18,28339,2,123,779,6,4,2154,39,3909,29,181,27,210,610,51865
"Chisago",2989,27,7939,548,21,4329,1828,0,5,22,1667,4555,2,34,140,0,361,2964,45,27476
"Dakota",1535,1452,26,83978,1944,77206,11,87,24,551,14,37700,1695,7022,26,21,690,6268,53,220303
"Goodhue",54,34,2,3077,15172,1534,0,21,2,563,2,1150,1369,185,0,2,163,500,0,23830
"Hennepin",23043,9554,102,26603,137,479414,75,58,228,73,28,69562,194,7529,999,45,423,4219,2795,625081
"Isanti",3571,34,1025,140,0,4522,6624,1,2,1,89,1671,2,33,977,1,18,304,197,19212
"Le Sueur",39,765,0,1165,78,2511,0,5518,44,4,0,317,1525,2181,4,396,8,45,19,14619
"McLeod",47,1838,0,241,0,3191,1,38,11798,0,0,243,4,355,11,316,3,16,755,18857
"Pierce",110,20,6,2257,2290,2291,0,1,0,5372,56,2494,47,80,3,0,3486,1868,1,20382
"Polk",753,12,1156,314,34,1606,90,0,0,129,11579,1914,2,12,24,0,2291,1901,7,21824
"Ramsey",9903,471,147,16902,134,92324,40,11,6,121,46,117541,41,707,94,4,883,12009,141,251525
"Rice",68,256,3,5395,788,4222,0,539,4,29,0,992,16688,1417,1,19,26,214,11,30672
"Scott",388,4441,5,13333,127,33830,1,711,96,37,1,3945,746,14624,10,213,57,508,76,73149
"Sherburne",5880,283,100,402,4,16047,470,2,59,3,11,2890,3,122,14277,6,26,303,6629,47517
"Sibley",13,988,1,260,4,1305,0,545,837,0,0,90,42,589,1,2886,2,11,99,7673
"St. Croix",528,40,119,2108,318,6278,5,3,0,1895,958,8975,9,68,8,0,17367,7461,10,46150
"Washington",4380,206,914,12483,427,28100,54,10,3,547,390,46532,71,333,37,1,3362,29216,61,127127
"Wright",4050,1923,28,678,9,30511,53,21,1148,10,5,3388,10,401,3126,48,27,287,22542,68265
"Total",108704,35568,12670,175611,21546,896559,10214,7694,15045,9394,15004,343059,22515,40025,21919,4140,29418,72217,35209,1876511
