"","PERTYPE","DAP","freq"
"1","1","H",12880
"2","2","H",2591
"3","3","H",776
"4","4","H",3838
"5","5","H",9250
"6","6","H",1156
"7","7","H",4770
"8","8","H",7915
"9","Total","H",43176
"10","1","M",82537
"11","2","M",10418
"12","3","M",5977
"13","4","M",0
"14","5","M",0
"15","6","M",4782
"16","7","M",24280
"17","8","M",775
"18","Total","M",128769
"19","1","N",15026
"20","2","N",6556
"21","3","N",1442
"22","4","N",21430
"23","5","N",20504
"24","6","N",602
"25","7","N",4479
"26","8","N",11264
"27","Total","N",81303
