"","PERTYPE","nmtours","freq"
"1","1","0",72573
"2","2","0",8106
"3","3","0",5528
"4","4","0",4138
"5","5","0",9287
"6","6","0",4181
"7","7","0",20880
"8","8","0",9195
"9","Total","0",133888
"10","1","1",27600
"11","2","1",5621
"12","3","1",1595
"13","4","1",12867
"14","5","1",13212
"15","6","1",1827
"16","7","1",9981
"17","8","1",8865
"18","Total","1",81568
"19","1","2",7884
"20","2","2",3622
"21","3","2",543
"22","4","2",5151
"23","5","2",5263
"24","6","2",415
"25","7","2",2394
"26","8","2",1611
"27","Total","2",26883
"28","1","3pl",2386
"29","2","3pl",2216
"30","3","3pl",529
"31","4","3pl",3112
"32","5","3pl",1992
"33","6","3pl",117
"34","7","3pl",274
"35","8","3pl",283
"36","Total","3pl",10909
